Department family,Entity,Date,Expense type,Expense area,Client Code,Transaction number,Amount,VAT registration number
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,93.2,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,73.2,
Defra,JNCC,13/10/2010,EXTERNAL CONFERENCES                                        ,Surveillance & Monitoring,BARCLAYCARD BUSINESS,Barclaycard September 2010,76.38,
Defra,JNCC,13/10/2010,AIR TRAVEL - INTER-CONTINENTAL,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,42.9,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,111.9,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,83,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,230.55,
Defra,JNCC,13/10/2010,AIR TRAVEL - EUROPE,Marine Mapping & Ecosystem Assessment,BARCLAYCARD BUSINESS,Barclaycard September 2010,66.88,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Mapping & Ecosystem Assessment,BARCLAYCARD BUSINESS,Barclaycard September 2010,29,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Mapping & Ecosystem Assessment,BARCLAYCARD BUSINESS,Barclaycard September 2010,67.8,
Defra,JNCC,13/10/2010,AIR TRAVEL - EUROPE,Marine Mapping & Ecosystem Assessment,BARCLAYCARD BUSINESS,Barclaycard September 2010,199.4,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Mapping & Ecosystem Assessment,BARCLAYCARD BUSINESS,Barclaycard September 2010,21,
Defra,JNCC,13/10/2010,RAIL TRAVEL - OVERSEAS,Marine Mapping & Ecosystem Assessment,BARCLAYCARD BUSINESS,Barclaycard September 2010,124,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Surveillance,BARCLAYCARD BUSINESS,Barclaycard September 2010,54.55,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Surveillance,BARCLAYCARD BUSINESS,Barclaycard September 2010,34,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Surveillance,BARCLAYCARD BUSINESS,Barclaycard September 2010,98,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Surveillance,BARCLAYCARD BUSINESS,Barclaycard September 2010,71.35,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Surveillance,BARCLAYCARD BUSINESS,Barclaycard September 2010,96.1,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Surveillance,BARCLAYCARD BUSINESS,Barclaycard September 2010,29.5,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Mapping & Ecosystem Assessment,BARCLAYCARD BUSINESS,Barclaycard September 2010,51.5,
Defra,JNCC,13/10/2010,RAIL TRAVEL - OVERSEAS,Marine Mapping & Ecosystem Assessment,BARCLAYCARD BUSINESS,Barclaycard September 2010,132,
Defra,JNCC,13/10/2010,RAIL TRAVEL - OVERSEAS,Marine Mapping & Ecosystem Assessment,BARCLAYCARD BUSINESS,Barclaycard September 2010,30,
Defra,JNCC,13/10/2010,RAIL TRAVEL - OVERSEAS,Marine Mapping & Ecosystem Assessment,BARCLAYCARD BUSINESS,Barclaycard September 2010,102,
Defra,JNCC,13/10/2010,BOAT TRAVEL,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,93,
Defra,JNCC,13/10/2010,BOAT TRAVEL,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,63,
Defra,JNCC,13/10/2010,AIR TRAVEL - EUROPE,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,257,
Defra,JNCC,13/10/2010,NON-JNCC EVENTS - DELEGATE ATTENDANCE COSTS                     ,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,199.1,
Defra,JNCC,13/10/2010,AIR TRAVEL - EUROPE,Marine Mapping & Ecosystem Assessment,BARCLAYCARD BUSINESS,Barclaycard September 2010,155.88,
Defra,JNCC,13/10/2010,RAIL TRAVEL - OVERSEAS,Marine Mapping & Ecosystem Assessment,BARCLAYCARD BUSINESS,Barclaycard September 2010,76,
Defra,JNCC,13/10/2010,AIR TRAVEL - EUROPE,Marine Mapping & Ecosystem Assessment,BARCLAYCARD BUSINESS,Barclaycard September 2010,47.99,
