Department family,Entity,Date,Expense type,Expenses area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Defra,JNCC,22/11/2011,CONTRACTED OUT CONSERVATION SERVICES,Surveillance and monitoring,BRITISH TRUST FOR ORNITHOLOGY,5574,"114,635.00",Bird and Environmental Monitoring services,IP24 2PU,Large,A09-0056-0259,100,Administration
Defra,JNCC,16/11/2011,CONTRACTED OUT CONSERVATION SERVICES,Surveillance and monitoring,BRITISH TRUST FOR ORNITHOLOGY,5575,"27,267.90","Licensing the capture, handling and marking of wild birds ",IP24 2PU,Large,C09-0056-0226,100,Administration
Defra,JNCC,16/11/2011,AIR TRAVEL - INTER-CONTINENTAL,Global advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,100,Corporate card expenditure,TS17 6YG,Large,,20,Administration
Defra,JNCC,16/11/2011,RAIL TRAVEL - UK,Global advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,570.55,Corporate card expenditure,TS17 6YG,Large,,20,Administration
Defra,JNCC,16/11/2011,RAIL TRAVEL - OVERSEAS,Global advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,289.56,Corporate card expenditure,TS17 6YG,Large,,20,Administration
Defra,JNCC,16/11/2011,CAR PARKING,Global advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,81.75,Corporate card expenditure,TS17 6YG,Large,,20,Administration
Defra,JNCC,16/11/2011,ACCOMMODATION - UK,Global advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,"1,095.50",Corporate card expenditure,TS17 6YG,Large,,20,Administration
Defra,JNCC,16/11/2011,ACCOMMODATION - OVERSEAS,Global advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,472.08,Corporate card expenditure,TS17 6YG,Large,,20,Administration
Defra,JNCC,16/11/2011,PROTECTIVE CLOTHING,Overseas Territories & Crown Dependancies,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,185.97,Corporate card expenditure,TS17 6YG,Large,,30,Administration
Defra,JNCC,16/11/2011,OFFICE STATIONERY& CONSUMABLES,Overseas Territories & Crown Dependancies,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,36.1,Corporate card expenditure,TS17 6YG,Large,,30,Administration
Defra,JNCC,16/11/2011,EXTERNAL NON-SCIENTIFIC CONFERENCES,Overseas Territories & Crown Dependancies,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,530,Corporate card expenditure,TS17 6YG,Large,,30,Administration
Defra,JNCC,16/11/2011,RAIL TRAVEL - UK,Overseas Territories & Crown Dependancies,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,294.9,Corporate card expenditure,TS17 6YG,Large,,30,Administration
Defra,JNCC,16/11/2011,RAIL TRAVEL - OVERSEAS,Overseas Territories & Crown Dependancies,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,16.66,Corporate card expenditure,TS17 6YG,Large,,30,Administration
Defra,JNCC,16/11/2011,ACCOMMODATION - OVERSEAS,Overseas Territories & Crown Dependancies,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,"1,332.63",Corporate card expenditure,TS17 6YG,Large,,30,Administration
Defra,JNCC,16/11/2011,SUBSISTENCE - OVERSEAS,Overseas Territories & Crown Dependancies,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,38.31,Corporate card expenditure,TS17 6YG,Large,,30,Administration
Defra,JNCC,16/11/2011,NON-JNCC EVENTS - DELEGATE ATTENDANCE COSTS,Overseas Territories & Crown Dependancies,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,677.61,Corporate card expenditure,TS17 6YG,Large,,30,Administration
Defra,JNCC,16/11/2011,EXTERNAL SCIENTIFIC CONFERENCES,Overseas Territories & Crown Dependancies,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,30,Corporate card expenditure,TS17 6YG,Large,,30,Administration
Defra,JNCC,16/11/2011,JOURNALS,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,965.78,Corporate card expenditure,TS17 6YG,Large,,50,Administration
Defra,JNCC,16/11/2011,TELEPHONE MOBILE,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,36.87,Corporate card expenditure,TS17 6YG,Large,,50,Administration
Defra,JNCC,16/11/2011,AIR TRAVEL - EUROPE,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,981.01,Corporate card expenditure,TS17 6YG,Large,,50,Administration
Defra,JNCC,16/11/2011,RAIL TRAVEL - UK,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,192.6,Corporate card expenditure,TS17 6YG,Large,,50,Administration
Defra,JNCC,16/11/2011,RAIL TRAVEL - OVERSEAS,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,844.29,Corporate card expenditure,TS17 6YG,Large,,50,Administration
Defra,JNCC,16/11/2011,ACCOMMODATION - UK,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,222.09,Corporate card expenditure,TS17 6YG,Large,,50,Administration
Defra,JNCC,16/11/2011,ACCOMMODATION - OVERSEAS,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,673.56,Corporate card expenditure,TS17 6YG,Large,,50,Administration
Defra,JNCC,16/11/2011,SUBSISTENCE - OVERSEAS,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,5.34,Corporate card expenditure,TS17 6YG,Large,,50,Administration
Defra,JNCC,16/11/2011,HOSPITALITY,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,29.85,Corporate card expenditure,TS17 6YG,Large,,50,Administration
Defra,JNCC,16/11/2011,EXTERNAL NON-SCIENTIFIC CONFERENCES,Sustainability advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,214.8,Corporate card expenditure,TS17 6YG,Large,,61,Administration
Defra,JNCC,16/11/2011,RAIL TRAVEL - UK,Sustainability advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,69.65,Corporate card expenditure,TS17 6YG,Large,,61,Administration
Defra,JNCC,16/11/2011,ACCOMMODATION - UK,Sustainability advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,60,Corporate card expenditure,TS17 6YG,Large,,61,Administration
Defra,JNCC,16/11/2011,EXTERNAL SCIENTIFIC CONFERENCES,Sustainability advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,202.5,Corporate card expenditure,TS17 6YG,Large,,61,Administration
Defra,JNCC,16/11/2011,RAIL TRAVEL - UK,Conservation advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,215.15,Corporate card expenditure,TS17 6YG,Large,,63,Administration
Defra,JNCC,16/11/2011,CAR PARKING,Conservation advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,29.5,Corporate card expenditure,TS17 6YG,Large,,63,Administration
Defra,JNCC,16/11/2011,ACCOMMODATION - OVERSEAS,Conservation advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,119.77,Corporate card expenditure,TS17 6YG,Large,,63,Administration
Defra,JNCC,16/11/2011,HOSPITALITY,Conservation advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,39.6,Corporate card expenditure,TS17 6YG,Large,,63,Administration
Defra,JNCC,16/11/2011,BOOKS,Marine management advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,46.88,Corporate card expenditure,TS17 6YG,Large,,65,Administration
Defra,JNCC,16/11/2011,TELEPHONE MOBILE,Marine management advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,5,Corporate card expenditure,TS17 6YG,Large,,65,Administration
Defra,JNCC,16/11/2011,CORPORATE SUBSCRIPTIONS,Marine management advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,135,Corporate card expenditure,TS17 6YG,Large,,65,Administration
Defra,JNCC,16/11/2011,COMPUTER EQUIPMENT (H&S/WARE),Marine management advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,"2,297.47",Corporate card expenditure,TS17 6YG,Large,,65,Administration
Defra,JNCC,16/11/2011,AIR TRAVEL - UK,Marine management advice,BARCLAYCARD BUSINESS,Barclaycard Oct 2011,"2,905.79",Corporate card expenditure,TS17 6YG,Large,,65,Administration
