EXAMPLES OF GPC EXPENDITURE,

Merchant Category Group/Code narrative,Examples of Expenditure

"Bars, restaurants and nightclubs",ˇ         Small hotels provided by our Hotel provider are classed under this heading 
,"ˇ         Meals/subsistence while on detached duty, military operations and training exercises "
Fireplace,ˇ         Repairs to ovens in kitchens
Gifts/cards/novelty shops and video amusement game supply,ˇ         Trainee visits to the Royal Armouries as part of their training to see the history of weaponry and guns.
,"ˇ         Video Games, puzzles etc for rest and recuperation for personnel serving in Afghanistan"
"Hobby, Toys and games",ˇ         For schools educating Service children overseas
Florists,ˇ         Wreaths for Military personnel killed while in Service 
,"ˇ         Upkeep of the Defence estate, particularly military establishments"
Music shops and Bands/Orchestras,ˇ         Musical instruments purchased for the various military bands and the Royal School of Music
Dry cleaning,"ˇ         The procurement, rental and maintenance of washing machines  "
,ˇ         The provision of laundry facilities for Military personnel
Jewellery,ˇ         Maintenance of clocking-in machines at MOD establishments
,ˇ         New location signs
,ˇ         The provision of dog tags for military personnel 
,ˇ         Warrant card holders for the MOD Police
,ˇ         Kilt pins for school uniforms
Gym equipment,ˇ         The purchase of physical training equipment for military gyms and schools
Arts and Craft Shops,ˇ         Insignia for military band instruments
,ˇ         Mock up models for military visits to schools 
,ˇ         Military recruitment banners
Cinema trips,ˇ         Hire of venues by the Army Presentation team 
,ˇ         Leisure activity as part of the training for new junior soldiers
Tourist attractions and exhibits,ˇ         Acquaint visits for potential recruits to the Royal Navy
,ˇ         Costs related to the annual Navy Day
,ˇ         Adventure training courses including hire of facilities and instruction
Cosmetics,ˇ         Demineralised water for radar systems
,ˇ         Air fresheners for waiting areas and toilets in Military Careers Offices
Leisure Activities/Recreation services,"ˇ         Payment to local radio companies for ""advertising space"" by the Military Recruiting Teams"
,ˇ         Payment for a Mountain Rescue Winter Climbing Training Courses for the Search and Rescue Teams
,ˇ         Coach hire for pre deployment training
,ˇ         Diving courses for Army divers
Theatrical Producers,ˇ         Ferry bookings
,ˇ         Venues for MOD Recruiting Teams and Presentation Teams
,ˇ         Army Officer training as part of cultural awareness
Bowling Alleys,ˇ         Leisure activities/team building for junior soldiers as part of their Army training programme
Health and Beauty Spas,ˇ         Some of the hotels booked by our Hotel provider for staff on detached duty fall into this category
Shoe Stores,ˇ         Specialist boots on health grounds for Military staff
Pet stores/Food & Supply,ˇ         Food and Supplies for the Defence Animal Centre and MOD Police and guard dogs
Books and Periodicals,"ˇ         Books and publications for our libraries and schools that are not available on contract e.g. second hand books, "
Beauty and Barber shops,ˇ         Specialist Medical and trauma training
Speciality Cleaning/Polishing,"ˇ         Industrial leak and spill management, industrial safety and plant maintenance products"
Tailor/Seamstress/Alters,"ˇ         Ceremonial clothing e.g. Trooping the Colour, Queens Birthday parade"
,ˇ         Mounting  of military medals on uniforms
Children/Infants wear stores,ˇ         Some retailers in this category also supply adult clothing/products 
,ˇ         Specialist clothing requiring motifs e.g. t-shirts for the Red Arrows
,ˇ         Equipment for battle field tests
,ˇ         Items for our schools and sponsorship of sports clothing for local schools with military logos
Mens/Womens Clothing Stores,ˇ         Specialist Outdoor Clothing e.g. adventure training clothing
,ˇ         Purchase of items of uniform from specialist Suppliers
Advertising Services,"ˇ         Payment to local radio companies and Newspapers for ""advertising space"" by the Military Recruiting Teams   "
,ˇ         Sign making Services
,ˇ         Exhibition displays
Commercial Photo/Art/Graph,ˇ         Safety Sign making Services
Management/Consult/Public Relations Services,ˇ         Specialist training providers
,ˇ         Payments to Professional Bodies
Civic/Social/Fraternal Associations,ˇ         Payments to Professional Bodies
,ˇ         Payments to Local Councils
Statutory Bodies - Fines,ˇ         Payments to the Police for advanced driving courses
Cable/Pay TV Services,ˇ         Sky installations for MOD establishments and ships
Boat Dealers,ˇ         Repairs to ships and boats
,ˇ         Purchase of specialist paint for ships,,,,
Dentists/Orthodontists,ˇ         Dental equipment for Military staff dental check ups,,,,
General Retail  Womens Access/Speciality,ˇ         Waterproof Clothing and products for Adventure training ,,,,
,ˇ         Waterproof Clothing for Search and Rescue teams ,,,,

MoD GPC TRANSPARENCY DATA FOR JULY 2012,,,,,

UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC35583,02-Jul-12,Auto Rental                        ,Auto Rental                        ,Ł726.96,35583
MODGPC35584,02-Jul-12,Auto Rental                        ,Auto Rental                        ,Ł865.62,35584
MODGPC35585,11-Jul-12,Auto Rental                        ,Auto Rental                        ,Ł708.16,35585
MODGPC35586,03-Jul-12,Auto Rental                        ,Auto Rental                        ,"Ł2,658.38",35586
MODGPC35587,10-Jul-12,Auto Rental                        ,Auto Rental                        ,Ł670.48,35587
MODGPC35588,02-Jul-12,Auto Rental                        ,Auto Rental                        ,"Ł1,530.89",35588
MODGPC35589,03-Jul-12,Auto Rental                        ,Auto Rental                        ,"Ł1,004.76",35589
MODGPC35590,02-Jul-12,Auto Rental                        ,Auto Rental                        ,"Ł3,880.80",35590
MODGPC35591,02-Jul-12,Auto Rental                        ,Auto Rental                        ,"Ł1,293.60",35591
MODGPC35592,03-Jul-12,Auto Rental                        ,Auto Rental                        ,"Ł1,330.56",35592
MODGPC35593,03-Jul-12,Auto Rental                        ,Auto Rental                        ,"Ł4,680.96",35593
MODGPC35594,02-Jul-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł675.84,35594
MODGPC35595,09-Jul-12,Books and Periodicals              , BOOK STORES,"Ł1,983.10",35595
MODGPC35596,06-Jul-12,Books and Periodicals              , BOOK STORES,Ł960.00,35596
MODGPC35597,10-Jul-12,Books and Periodicals              , BOOK STORES,Ł541.40,35597
MODGPC35598,03-Jul-12,Books and Periodicals              , BOOK STORES,"Ł8,993.16",35598
MODGPC35599,03-Jul-12,Books and Periodicals              , BOOK STORES,Ł897.60,35599
MODGPC35600,06-Jul-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"Ł2,186.62",35600
MODGPC35601,09-Jul-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł623.34,35601
MODGPC35602,05-Jul-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł861.73,35602
MODGPC35603,03-Jul-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł853.23,35603
MODGPC35604,06-Jul-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł561.55,35604
MODGPC35605,03-Jul-12,Books and Periodicals              , NEWS DEALERS/NEWSSTANDS,Ł510.60,35605
MODGPC35606,10-Jul-12,Books and Periodicals              , BOOK STORES,Ł883.74,35606
MODGPC35607,06-Jul-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"Ł1,173.85",35607
MODGPC35608,09-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł4,608.43",35608
MODGPC35609,02-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł739.58,35609
MODGPC35610,12-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł3,019.04",35610
MODGPC35611,10-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,276.22",35611
MODGPC35612,02-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł512.82,35612
MODGPC35613,05-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł719.82,35613
