Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Home Office,Home Office,21/06/2011,Grants,OSCT - Office of Security and Counter-Terrorism,METROPOLITAN POLICE AUTHORITY  (G),1993605,4767030.00
Home Office,Home Office,21/06/2011,Grants,OSCT - Office of Security and Counter-Terrorism,METROPOLITAN POLICE AUTHORITY  (G),1993608,2828268.00
Home Office,Home Office,21/06/2011,Grants,OSCT - Office of Security and Counter-Terrorism,METROPOLITAN POLICE AUTHORITY  (G),1995437,990967.00
Home Office,Home Office,09/06/2011,Grants,OSCT - Office of Security and Counter-Terrorism,LONDON ORGANISING COMMITTEE OF THE OLYMPIC GAMES AND PARALYMPIC GAMES (G),1992733,679374.00
Home Office,Home Office,09/06/2011,Grants,OSCT - Office of Security and Counter-Terrorism,NPIA (G),1992735,661888.00
Home Office,Home Office,21/06/2011,Grants,OSCT - Office of Security and Counter-Terrorism,METROPOLITAN POLICE AUTHORITY  (G),1995435,226692.00
Home Office,Home Office,24/06/2011,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),2000371,69702.00
Home Office,Home Office,16/06/2011,Grants,OSCT - Office of Security and Counter-Terrorism,CITY OF LONDON POLICE AUTHORITY (G),1997580,43394.00
Home Office,Home Office,21/06/2011,Grants,OSCT - Office of Security and Counter-Terrorism,METROPOLITAN POLICE AUTHORITY  (G),1993603,40256.00
Home Office,Home Office,24/06/2011,Grants,OSCT - Office of Security and Counter-Terrorism,THAMES VALLEY POLICE (G),2000361,35098.00
Home Office,Home Office,29/06/2011,Grants,CPG - Crime & Policing Group,NPIA (G),1996467,35000000.00
Home Office,Home Office,29/06/2011,Grants,CPG - Crime & Policing Group,INDEPENDENT POLICE COMPLAINTS COMISSION (G),1996468,2000000.00
Home Office,Home Office,21/06/2011,Grants,CPG - Crime & Policing Group,MERSEYSIDE POLICE AUTHORITY 1 (G),1999508,179768.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1961303,93977997.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,WEST MIDLANDS POLICE AUTHORITY 1 (G),1961320,22740680.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,GREATER MANCHESTER POLICE AUTHORITY (G),1961291,20705963.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,WEST YORKSHIRE POLICE (G),1961321,16054480.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,THAMES VALLEY POLICE (G),1961317,13179571.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,HAMPSHIRE POLICE AUTHORITY 1 (G),1961294,11497255.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,MERSEYSIDE POLICE AUTHORITY 1 (G),1961302,11480388.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,NORTHUMBRIA POLICE (G),1961308,10357098.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,AVON & SOMERSET POLICE AUTHORITY 1 (G),1961265,10077352.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,DEVON & CORNWALL POLICE AUTHORITY 1 (G),1961280,9911628.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,KENT POLICE AUTHORITY 1 (G),1961298,9823144.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,ESSEX POLICE AUTHORITY (G),1961288,9800828.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,LANCASHIRE POLICE AUTHORITY 1 (G),1961299,9528222.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,SOUTH YORKSHIRE POLICE AUTHORITY 1 (G),1961311,9230816.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,SUSSEX POLICE AUTHORITY 1 (G),1961316,9081460.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,SOUTH WALES POLICE AUTHORITY 1 (G),1961310,8387288.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,NOTTINGHAMSHIRE POLICE AUTHORITY 2 (G),1961309,7237470.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,HERTFORDSHIRE POLICE AUTHORITY 1 (G),1961295,6623331.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,HUMBERSIDE POLICE AUTHORITY 1 (G),1961297,6232921.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,STAFFORDSHIRE POLICE AUTHORITY (G),1961313,6180975.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,NEW WEST MERCIA POLICE AUTHORITY (G),1961319,6178620.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,LEICESTERSHIRE POLICE AUTHORITY (G),1961300,6036080.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,DERBYSHIRE POLICE AUTHORITY 1 (G),1961275,5846241.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,SURREY POLICE AUTHORITY 1 (G),1961315,5835740.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,CHESHIRE POLICE AUTHORITY 2 (G),1961269,5792834.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,NORFOLK POLICE AUTHORITY 1 (G),1961304,4805069.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,NORTH WALES POLICE AUTHORITY (G),1961305,4677883.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE AUTHORITY 1 (G),1961268,4478210.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,CLEVELAND POLICE AUTHORITY 1 (G),1961273,4279609.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,NORTHAMPTONSHIRE POLICE 1 (G),1961307,4046674.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,GWENT POLICE AUTHORITY 1 (G),1961293,4012840.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,DURHAM POLICE AUTHORITY 1 (G),1961285,3982069.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,NORTH YORKSHIRE POLICE AUTHORITY (G),1961306,3937104.00
Home Office,Home Office,06/06/2011,Grants,CPG - Crime & Policing Group,SUFFOLK POLICE AUTHORITY (G),1961314,3825493.00
