Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend
Home Office,IPCC - Independent Police Complaints Commission,06/06/2012,IT Charges,IPCC - Independent Police Complaints Commission,STERIA,RCT0040050,"Ł78,094.00"
Home Office,IPCC - Independent Police Complaints Commission,06/06/2012,IT Charges,IPCC - Independent Police Complaints Commission,STERIA,RCT0040050,"Ł83,042.34"
Home Office,IPCC - Independent Police Complaints Commission,18/06/2012,IT Charges,IPCC - Independent Police Complaints Commission,STERIA,RCT0040224,"Ł330,592.00"
Home Office,IPCC - Independent Police Complaints Commission,18/06/2012,Service Charges,IPCC - Independent Police Complaints Commission,OMD SERVICES LIMITED,RCT0040216,"Ł121,728.53"
Home Office,IPCC - Independent Police Complaints Commission,18/06/2012, IT Charges,IPCC - Independent Police Complaints Commission,STERIA,RCT0040224,"Ł27,550.74"
Home Office,IPCC - Independent Police Complaints Commission,18/06/2012,Rent ,IPCC - Independent Police Complaints Commission,OMD SERVICES LIMITED,RCT0040216,"Ł599,452.32"
Home Office,IPCC - Independent Police Complaints Commission,18/06/2012,Rent ,IPCC - Independent Police Complaints Commission,HARTNELL TAYLOR COOK LLP,RCT0040188,"Ł39,573.30"
Home Office,IPCC - Independent Police Complaints Commission,20/06/2012,IT Charges,IPCC - Independent Police Complaints Commission,STERIA,RCT0040280,"Ł330,592.00"
Home Office,Home Office,29/06/2012,Consulltancy Procurement Advice ,"SIIG - Strategy, Immigration & International Group",ATOS I T SERVICES UK LTD,1001276030,"Ł35,395.20"
Home Office,Home Office,12/06/2012,Grants,"SIIG - Strategy, Immigration & International Group",INDEPENDENT SAFEGUARDING AUTHORITY (G),3000044914,"Ł900,610.00"
Home Office,Home Office,08/06/2012,"IT, TelecommsManaged Service.Support (General)","SIIG - Strategy, Immigration & International Group",LOGICA UK LTD,1001266439,"Ł25,435.20"
Home Office,Home Office,08/06/2012,"IT, TelecommsManaged Service.Support (General)","SIIG - Strategy, Immigration & International Group",LOGICA UK LTD,1001266439,"Ł60,335.74"
Home Office,ISA - Independent Safeguarding Authority,07/06/2012,IT & Telephony,ISA - Independent Safeguarding Authority,Home Office  ,4719,"Ł26,606.37"
Home Office,ISA - Independent Safeguarding Authority,20/06/2012,Rent,ISA - Independent Safeguarding Authority,City & Northen,4746,"Ł140,188.22"
Home Office,IPS - Identity & Passport Services,12/06/2012,Passport Production.Passport Application Form,IPS - Identity & Passport Services,ADARE LTD,1001267394,"Ł219,512.83"
Home Office,IPS - Identity & Passport Services,13/06/2012,Passport Production.Passport Application Form,IPS - Identity & Passport Services,ADARE LTD,1001268388,"Ł57,697.50"
Home Office,IPS - Identity & Passport Services,25/06/2012,Rent & Service Charges,IPS - Identity & Passport Services,C B RICHARD ELLIS LTD,4000004145,"Ł777,843.00"
Home Office,IPS - Identity & Passport Services,12/06/2012,"IT,TelecomTelephNtworkTelephon.Infrastructure Support",IPS - Identity & Passport Services,COMPUTACENTER (UK) LTD,1001267426,"Ł25,115.47"
Home Office,IPS - Identity & Passport Services,13/06/2012,IT Run Cost,IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,6200027304,"-Ł8,616.93"
Home Office,IPS - Identity & Passport Services,15/06/2012,"IT, TelecommsSoftware (COTS).System Software ",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001269539,"Ł80,762.76"
Home Office,IPS - Identity & Passport Services,15/06/2012,"IT, TelecommsSoftware (COTS).System Software ",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001269539,"Ł63,287.65"
Home Office,IPS - Identity & Passport Services,15/06/2012,"IT, TelecommsSoftware (COTS).System Software",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001269539,"Ł53,643.66"
Home Office,IPS - Identity & Passport Services,15/06/2012,"IT, Broadcasting & Telecomms.IT Run Costs other",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001269539,"Ł54,478.56"
Home Office,IPS - Identity & Passport Services,13/06/2012,"IT, TelecommsManaged Service",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001268417,"Ł1,562,792.11"
Home Office,IPS - Identity & Passport Services,13/06/2012,"IT, TelecommsManaged Service",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001268417,"Ł903,132.41"
Home Office,IPS - Identity & Passport Services,13/06/2012,"IT, TelecommsManaged Service",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001268417,"Ł755,918.41"
Home Office,IPS - Identity & Passport Services,13/06/2012,"IT, TelecommsManaged Service",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001268417,"Ł853,790.41"
Home Office,IPS - Identity & Passport Services,13/06/2012,"IT, TelecommsManaged Service",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001268417,"Ł892,058.41"
Home Office,IPS - Identity & Passport Services,13/06/2012,"IT, TelecommsManaged Service",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001268417,"Ł881,662.30"
Home Office,IPS - Identity & Passport Services,13/06/2012,"IT, TelecommsManaged Service",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001268417,"Ł857,897.12"
Home Office,IPS - Identity & Passport Services,13/06/2012,"IT, TelecommsManaged Service",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001268417,"Ł867,605.34"
Home Office,IPS - Identity & Passport Services,13/06/2012,Service Charge,IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001268417,"Ł582,683.25"
Home Office,IPS - Identity & Passport Services,18/06/2012,"IT, TelecommsManaged Service.Support (General)",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001270099,"Ł162,181.54"
Home Office,IPS - Identity & Passport Services,18/06/2012,Passport Production.BPO Volumetric Charges,IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001270099,"Ł138,477.72"
Home Office,IPS - Identity & Passport Services,18/06/2012,"IT, TelecommsManaged Service.Support (General)",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001270099,"Ł71,237.66"
Home Office,IPS - Identity & Passport Services,18/06/2012,"IT, TelecommsManaged Service.Support (General)",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001270099,"Ł396,758.00"
Home Office,IPS - Identity & Passport Services,18/06/2012,"IT, TelecommsManaged Service.Support (General)",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001270099,"Ł81,085.31"
Home Office,IPS - Identity & Passport Services,18/06/2012,"IT, TelecommsManaged Service.Support (General)",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001270099,"Ł41,648.87"
Home Office,IPS - Identity & Passport Services,18/06/2012,"IT, TelecommsManaged Service.Support (General)",IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001270099,"Ł80,024.33"
Home Office,IPS - Identity & Passport Services,15/06/2012,IT & Telecoms Components,IPS - Identity & Passport Services,CSC COMPUTER SCIENCES CORPORATION,1001269539,"Ł646,491.60"
