Department Family,Entity,Date,Account code description,Expense area,Supplier,Transaction number,Amount
Defra,Royal Botanic Gardens Kew,04/01/2011,"Computer eqpt under £2,000","Herbarium, Library, Art & Archives Biodiversity, Information & Conventions Digitisation Non-core GPI Specimen 1",BECHTLE DIRECT LTD,MS0190041,22100
Defra,Royal Botanic Gardens Kew,11/01/2011,Garden machinery & equipt     ,Wakehurst Place Gardens Section Core -----,Haynes,MS0190135,47450
Defra,Royal Botanic Gardens Kew,11/01/2011,"Computer eqpt under £2,000",IT Computing IT Corporate Core CORE NETWORK UPGRADE,COMPUTACENTER (UK) LIMITED,MS0190195,281050
Defra,Royal Botanic Gardens Kew,11/01/2011,Conservation (External),"Herbarium, Library, Art & Archives Library Services Core MARIANNE NORTH GALLERY REFURB",Plowden & Smith Ltd,MS0190221,48789
Defra,Royal Botanic Gardens Kew,11/01/2011,Reactive Maintenance -Building ,Estates Wakehurst Section Core -----,ELLIS BUILDING CONTRACTORS LIMITED,MS0190238,22107.11
Defra,Royal Botanic Gardens Kew,11/01/2011,Maintenance & repairs         ,IT Computing IT Corporate Core CORE NETWORK UPGRADE,COMPUTACENTER (UK) LIMITED,MS0190271,51158.04
Defra,Royal Botanic Gardens Kew,11/01/2011,Software maintenance,IT Computing IT Corporate Core CORE NETWORK UPGRADE,COMPUTACENTER (UK) LIMITED,MS0190271,5115.82
Defra,Royal Botanic Gardens Kew,11/01/2011,"Computer eqpt £2,000 and over   ",IT Computing IT Corporate Core CORE NETWORK UPGRADE,COMPUTACENTER (UK) LIMITED,MS0190271,68392.62
Defra,Royal Botanic Gardens Kew,11/01/2011,"Computer eqpt under £2,000",IT Computing IT Corporate Core CORE NETWORK UPGRADE,COMPUTACENTER (UK) LIMITED,MS0190271,26908.02
Defra,Royal Botanic Gardens Kew,11/01/2011,Computer Software Revenue             ,IT Computing IT Corporate Core CORE NETWORK UPGRADE,COMPUTACENTER (UK) LIMITED,MS0190271,8288.42
Defra,Royal Botanic Gardens Kew,11/01/2011,Office and window cleaning,Estates Kew Section Core -----,Design Clean Limited,MS0190294,34427.26
Defra,Royal Botanic Gardens Kew,13/01/2011,Electricity                   ,Estates Kew Section Core -----,EDF Energy Customers plc,MS0190366,46904.72
Defra,Royal Botanic Gardens Kew,18/01/2011,Photo machinery & equipt      ,"Herbarium, Library, Art & Archives Library Services Core -----",Best-Tec Ltd,MS0190402,22000
Defra,Royal Botanic Gardens Kew,25/01/2011,Equipment less than £2000     ,"Herbarium, Library, Art & Archives Biodiversity, Information & Conventions Digitisation Non-core GPI Specimen 1",HerbScan Engineering,MS0190509,30000
Defra,Royal Botanic Gardens Kew,25/01/2011,"Computer eqpt £2,000 and over   ",IT Computing IT Corporate Core CORE NETWORK UPGRADE,COMPUTACENTER (UK) LIMITED,MS0190709,197946.8
Defra,Royal Botanic Gardens Kew,18/01/2011,Non-Kew Project Costs         ,Seed Conservation Collecting and Network Support Australia Core NEW SOUTH WALES,Botanic Gardens Trust,MS0190826,57068.24
Defra,Royal Botanic Gardens Kew,07/01/2011,Non-Kew Project Costs         ,Seed Conservation Collecting and Network Support Mali Non-core Useful Plants,PROGRAMME RESSOURCES FORESTIERES,MS0190842,29105
Defra,Royal Botanic Gardens Kew,19/01/2011,Non-Kew Project Costs         ,Seed Conservation Collecting and Network Support Chile Non-core Arcadia Money,INSTITUTO DE INVESTIGACIONES AGROPECUARI,MS0190855,27119.08
