Department Family,Entity,Date,Expense type,Expense area,Supplier,Transaction no,Amount
Defra,Royal Botanic Gardens Kew,01/03/2011,Office and window cleaning,Defra Royal Botanic Gardens Kew 40603 Office and window cleaning,Design Clean Limited,MS0191744,33241.89
Defra,Royal Botanic Gardens Kew,01/03/2011,Planned Maintenance,Defra Royal Botanic Gardens Kew 40603 Planned Maintenance,Norland Managed Services,MS0191747,28832
Defra,Royal Botanic Gardens Kew,01/03/2011,Planned Maintenance,Defra Royal Botanic Gardens Kew 40603 Planned Maintenance,Norland Managed Services,MS0191748,23310
Defra,Royal Botanic Gardens Kew,01/03/2011,Planned Maintenance,Defra Royal Botanic Gardens Kew 40603 Planned Maintenance,Norland Managed Services,MS0191749,147040.56
Defra,Royal Botanic Gardens Kew,01/03/2011,New works-Pt I-other costs    ,Defra Royal Botanic Gardens Kew 40603 New works-Pt I-other costs    ,Unigro Ltd,MS0191977,223100
Defra,Royal Botanic Gardens Kew,07/03/2011,Electricity                   ,Defra Royal Botanic Gardens Kew 40609 Electricity                   ,EDF Energy Customers plc,MS0192160,48458.42
Defra,Royal Botanic Gardens Kew,15/03/2011,Gas                           ,Defra Royal Botanic Gardens Kew 40617 Gas                           ,CORONA ENERGY RETAIL 4 LIMITED,MS0192309,21716.25
Defra,Royal Botanic Gardens Kew,15/03/2011,Planned Maintenance,Defra Royal Botanic Gardens Kew 40617 Planned Maintenance,Norland Managed Services,MS0192327,147040.56
Defra,Royal Botanic Gardens Kew,15/03/2011,Office and window cleaning,Defra Royal Botanic Gardens Kew 40617 Office and window cleaning,Design Clean Limited,MS0192411,33241.89
Defra,Royal Botanic Gardens Kew,22/03/2011,Maintenance & repairs         ,Defra Royal Botanic Gardens Kew 40624 Maintenance & repairs         ,Omniticket Network Ltd,MS0192342,23481.26
Defra,Royal Botanic Gardens Kew,31/03/2011,Electricity                   ,Defra Royal Botanic Gardens Kew 40633 Electricity                   ,EDF Energy Customers plc,MS0193121,45551.22
Defra,Royal Botanic Gardens Kew,08/03/2011,Garden machinery & equipt     ,Defra Royal Botanic Gardens Kew 40610 Garden machinery & equipt     ,HARPER & EEDE LTD,MS0192128,34000
Defra,Royal Botanic Gardens Kew,25/03/2011,Non-Kew Project Costs         ,Defra Royal Botanic Gardens Kew 40627 Non-Kew Project Costs         ,MUSEO NACIONAL DE CIENCIAS NATURALES,MS0193223,25391.07
