Department Family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount 
Defra,Royal Botanic Gardens Kew,13/04/2011,Software maintenance,IT Computing IT Corporate Core IT Strategy Project,Oracle Corporation UK Limited,MS0193434," 167,293.72 "
Defra,Royal Botanic Gardens Kew,13/04/2011,Computer Software Capital,IT Computing IT Corporate Core IT Strategy Project,Oracle Corporation UK Limited,MS0193434," 172,208.86 "
Defra,Royal Botanic Gardens Kew,19/04/2011,"Computer eqpt under £2,000",IT Computing IT Corporate Core CORE NETWORK UPGRADE,COMPUTACENTER (UK) LIMITED,MS0193855," 57,554.84 "
Defra,Royal Botanic Gardens Kew,05/04/2011,Statutory compliance ,Estates Kew Section Core Asbestos management and remedial works,Ashton Environmental Services Ltd,MS0193403," 25,650.00 "
Defra,Royal Botanic Gardens Kew,05/04/2011,New works-Pt I-other costs    ,Estates Capital Projects Section Core Quarantine House,Unigro Ltd,MS0193462," 388,000.00 "
Defra,Royal Botanic Gardens Kew,12/04/2011,Statutory compliance ,Estates Kew Section Core -----,Cofely Ltd,MS0193561," 79,108.33 "
Defra,Royal Botanic Gardens Kew,12/04/2011,Office and window cleaning,Estates Kew Section Core -----,Design Clean Limited,MS0193685," 34,427.26 "
Defra,Royal Botanic Gardens Kew,12/04/2011,Planned Maintenance,Estates Kew Section Core -----,Norland Managed Services,MS0193737," 147,040.56 "
Defra,Royal Botanic Gardens Kew,19/04/2011,Professional Services – Digital Media,Content & Learning Digital Media Web Publishing Core Intranet Project ,Mouchel Management Consulting Limited,MS0193512," 42,985.00 "
Defra,Royal Botanic Gardens Kew,19/04/2011,Professional Services – Digital Media,Content & Learning Digital Media Web Publishing Core Website Development 2010,Mouchel Management Consulting Limited,MS0193512," 76,830.00 "
Defra,Royal Botanic Gardens Kew,26/04/2011,New works-Pt I-other costs    ,Estates Capital Projects Section Core Quarantine House,Unigro Ltd,MS0193996," 87,300.00 "
Defra,Royal Botanic Gardens Kew,05/04/2011,New Works – Part 1 – Consultancy Advice ,Wakehurst Place Gardens Section Core Landscape Architects,GROSS.MAX. Ltd,MS0193444," 33,360.67 "
Defra,Royal Botanic Gardens Kew,12/04/2011,Laboratory machinery & equipt ,Jodrell Head Head Core -----,Waters Ltd,MS0193610," 64,676.99 "
Defra,Royal Botanic Gardens Kew,12/04/2011,Garden machinery & equipt     ,Horticulture & Public Experience Arboretum Section Core -----,T H White Ltd,MS0193623," 100,209.92 "
Defra,Royal Botanic Gardens Kew,21/04/2011,Non-Kew Project Costs         ,Seed Conservation Collecting and Network Support RSA Non-core Arcadia Money,SOUTH AFRICAN NATIONAL BIODIVERSITY INST,MS0194060," 40,530.47 "
