Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Home Office,CRB - Criminal Records Bureau,29/03/2011,Public Private Partnership contract / agreement,Finance,Capita Business Services Ltd,15826  40,"£516,220.68"
Home Office,CRB - Criminal Records Bureau,25/03/2011,Police costs per check,Police Data Source,Essex Police Authority,15786  9,"£399,297.81"
Home Office,CRB - Criminal Records Bureau,25/03/2011,Police costs per check,Police Data Source,Devon & Cornwall Police Authority,15786  5,"£38,554.74"
Home Office,CRB - Criminal Records Bureau,25/03/2011,Police costs per check,Police Data Source,West Mercia Police,15786  28,"£34,450.36"
Home Office,CRB - Criminal Records Bureau,25/03/2011,Police costs per check,Police Data Source,Warwickshire Police Authority,15786  26,"£39,004.02"
Home Office,CRB - Criminal Records Bureau,25/03/2011,Police costs per check,Police Data Source,Thames Valley Police Authority,15786  23,"£182,141.15"
Home Office,CRB - Criminal Records Bureau,25/03/2011,Police costs per check,Police Data Source,Sussex Police,15786  22,"£71,154.18"
Home Office,CRB - Criminal Records Bureau,25/03/2011,Police costs per check,Police Data Source,States Of Jersey Police,15786  21,"£33,628.42"
Home Office,CRB - Criminal Records Bureau,25/03/2011,Police costs per check,Police Data Source,Avon & Somerset Police,15786  19,"£59,728.47"
Home Office,CRB - Criminal Records Bureau,25/03/2011,Police costs per check,Police Data Source,North Yorkshire Police Authority,15786  18,"£43,686.26"
Home Office,CRB - Criminal Records Bureau,25/03/2011,Police costs per check,Police Data Source,Nottinghamshire Police Authority,15786  17,"£38,905.69"
Home Office,CRB - Criminal Records Bureau,25/03/2011,Police costs per check,Police Data Source,Northumbria Police Authority,15786  16,"£38,095.93"
Home Office,CRB - Criminal Records Bureau,25/03/2011,Police costs per check,Police Data Source,Norfolk Police Authority,15786  15,"£30,876.31"
Home Office,CRB - Criminal Records Bureau,25/03/2011,Police costs per check,Police Data Source,Northants Police Authority,15786  14,"£32,772.86"
Home Office,CRB - Criminal Records Bureau,25/03/2011,Police costs per check,Police Data Source,Lancashire Police Authority,15786  12,"£49,640.30"
Home Office,CRB - Criminal Records Bureau,25/03/2011,IT costs,Finance,Home Office,15786  11,"£210,547.72"
Home Office,CRB - Criminal Records Bureau,25/03/2011,Police costs per check,Police Data Source,Gwent Police Authority,15786  10,"£29,309.85"
Home Office,CRB - Criminal Records Bureau,18/03/2011,Legal Services,Professional Services,Treasury Solicitors,15767  39,"£40,000.00"
Home Office,CRB - Criminal Records Bureau,18/03/2011,Police costs per check,Police Data Source,South Wales Police,15767  36,"£29,135.47"
Home Office,CRB - Criminal Records Bureau,18/03/2011,Police costs per check,Police Data Source,Kent Constabulary,15767  20,"£77,502.68"
Home Office,CRB - Criminal Records Bureau,18/03/2011,Police costs per check,Police Data Source,Bedfordshire Police,15767  2,"£26,973.10"
Home Office,CRB - Criminal Records Bureau,18/03/2011,Police costs per check,Police Data Source,Durham Police Authority,15767  11,"£30,176.66"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Public Private Partnership contract / agreement,Finance,Capita Business Services Ltd,15757  13,"£244,407.61"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Cheshire Police Authority,15737  8,"£55,859.56"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Cambridgeshire Police Auth,15737  5,"£57,330.26"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,West Yorkshire Police Authority,15737  44,"£246,934.90"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,West Midlands Police Authority,15737  43,"£129,785.12"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Surrey Police Authority,15737  40,"£42,287.89"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Staffordshire Police Authority,15737  39,"£32,700.52"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,South Yorkshire Police,15737  38,"£35,540.53"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Avon & Somerset Police,15737  37,"£64,766.45"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Serious Organised Crime Agency,15737  36,"£139,663.50"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Police Service of N.I.,15737  33,"£29,600.73"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,North Yorkshire Police Authority,15737  30,"£45,891.58"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,British Transport Police,15737  3,"£25,490.23"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Nottinghamshire Police Authority,15737  29,"£40,809.62"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Northumbria Police Authority,15737  28,"£38,095.93"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Norfolk Police Authority,15737  27,"£33,852.57"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Northants Police Authority,15737  26,"£32,775.87"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,The Met Police,15737  25,"£748,039.03"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Lancashire Police Authority,15737  22,"£58,005.74"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Humberside Police Authority,15737  20,"£72,064.84"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Hertfordshire Police Authority,15737  17,"£55,820.29"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Durham Police Authority,15737  12,"£29,289.91"
Home Office,CRB - Criminal Records Bureau,10/03/2011,Police costs per check,Police Data Source,Devon & Cornwall Police Authority,15737  10,"£39,276.30"
Home Office,CRB - Criminal Records Bureau,04/03/2011,Police costs per check,Police Data Source,Gwent Police Authority,15711  9,"£29,309.85"
Home Office,CRB - Criminal Records Bureau,04/03/2011,Rent for India Buildings,Accommodation,CB Richard Ellis,15711  6,"£57,594.00"
Home Office,CRB - Criminal Records Bureau,04/03/2011,Police costs per check,Police Data Source,West Mercia Police,15711  25,"£33,508.24"
Home Office,CRB - Criminal Records Bureau,04/03/2011,Police costs per check,Police Data Source,West Midlands Police Authority,15711  24,"£128,790.09"
Home Office,CRB - Criminal Records Bureau,04/03/2011,PNC charges,Direct Costs,NPIA,15711  15,"£199,510.29"
Home Office,CRB - Criminal Records Bureau,04/03/2011,Consultancy,Pay costs,Parity Resources Ltd,15711  14,"£52,188.93"
Home Office,CRB - Criminal Records Bureau,04/03/2011,Police costs per check,Police Data Source,Nottinghamshire Police Authority,15711  13,"£39,545.77"
Home Office,CRB - Criminal Records Bureau,04/03/2011,Police costs per check,Police Data Source,Kent Constabulary,15711  11,"£74,390.79"
Home Office,Home Office,31/03/2011,GRANTS,CPG - Crime & Policing Group,FORENSIC SCIENCE SERVICE 2 (G),1949325,"£8,700,000.00"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,BIRMINGHAM CITY COUNCIL (G),1948837,"£54,661.57"
Home Office,Home Office,31/03/2011,Professional & Admin Services.Consultancy - Advice - PROG,CPG - Crime & Policing Group,INSTITUTE OF MATERIALS MINERALS AND MINING,1948818,"£52,440.00"
Home Office,Home Office,31/03/2011,Management & Admin Serv.Corp & Bus Org Structure- PROG,CPG - Crime & Policing Group,LIVERPOOL JOHN MOORES  UNIVERSITY,1948756,"£47,501.37"
Home Office,Home Office,31/03/2011,Management & Admin Serv.Corp & Bus Org Structure- PROG,CPG - Crime & Policing Group,LIVERPOOL JOHN MOORES  UNIVERSITY,1948750,"£33,764.50"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,SOUTH TYNESIDE MBC 1 (G),1948717,"£27,281.00"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,LONDON BOROUGH OF BARKING & DAGENHAM (G),1948716,"£34,027.50"
Home Office,Home Office,24/03/2011,GRANTS,CPG - Crime & Policing Group,METROPOLITAN POLICE AUTHORITY  (G),1946938,"£30,000.00"
Home Office,Home Office,30/03/2011,Education & Training Services.Training Dev External - PROG,CPG - Crime & Policing Group,WALKER MORRIS,1946898,"£37,000.00"
Home Office,Home Office,29/03/2011,GRANTS,CPG - Crime & Policing Group,LONDON BOROUGH  WALTHAM FOREST (G),1946708,"£25,000.00"
Home Office,Home Office,29/03/2011,GRANTS,CPG - Crime & Policing Group,SOUTH TYNESIDE MBC 1 (G),1946701,"£50,000.00"
Home Office,Home Office,29/03/2011,GRANTS,CPG - Crime & Policing Group,SHEFFIELD CITY COUNCIL 1 (G),1946694,"£30,000.00"
Home Office,Home Office,29/03/2011,GRANTS,CPG - Crime & Policing Group,SALFORD CITY COUNCIL (G),1946688,"£25,000.00"
Home Office,Home Office,29/03/2011,GRANTS,CPG - Crime & Policing Group,NORTHAMPTON BOROUGH COUNCIL (G),1946683,"£46,345.64"
Home Office,Home Office,29/03/2011,GRANTS,CPG - Crime & Policing Group,LONDON BOROUGH OF NEWHAM (G),1946679,"£25,000.00"
Home Office,Home Office,29/03/2011,GRANTS,CPG - Crime & Policing Group,KNOWSLEY MBC (G),1946675,"£50,000.00"
Home Office,Home Office,29/03/2011,GRANTS,CPG - Crime & Policing Group,LONDON BOROUGH OF LEWISHAM 1 (G),1946673,"£50,000.00"
Home Office,Home Office,29/03/2011,GRANTS,CPG - Crime & Policing Group,LONDON BOROUGH OF GREENWICH 1 (G),1946657,"£26,025.80"
Home Office,Home Office,29/03/2011,GRANTS,CPG - Crime & Policing Group,LONDON BOROUGH OF BRENT (G),1946654,"£50,000.00"
Home Office,Home Office,30/03/2011,Published Products.Printed publications - ADMN,CPG - Crime & Policing Group,THE STATIONERY OFFICE LTD,1946616,"£45,520.92"
Home Office,Home Office,30/03/2011,"Building, Construction Service.Maintenance & Repair services",PFD*,AMEY COMMUNITY,1946454,"£70,500.00"
Home Office,Home Office,11/03/2011,Other Government Departments,CPG - Crime & Policing Group,COMMUNITIES & LOCAL GOVERNMENT (G),1946403,"£50,250.00"
Home Office,Home Office,11/03/2011,Other Government Departments,CPG - Crime & Policing Group,COMMUNITIES & LOCAL GOVERNMENT (G),1946402,"£251,397.50"
Home Office,Home Office,11/03/2011,Other Government Departments,CPG - Crime & Policing Group,COMMUNITIES & LOCAL GOVERNMENT (G),1946399,"£2,804,152.00"
Home Office,Home Office,29/03/2011,Fleet,PFD*,ARVAL UK LTD,1945609,"£67,155.59"
Home Office,Home Office,29/03/2011,Asylum Services.Public Expense Removals,PFD*,CARLSON WAGONLIT TRAVEL,1945602,"£123,074.60"
Home Office,Home Office,29/03/2011,"Transport, Storage & Mail Serv.Visa stock",PFD*,3M SECURITY PRINTING & SYSTEMS LTD,1945432,"£53,152.06"
Home Office,Home Office,25/03/2011,GRANTS,CPG - Crime & Policing Group,PEMBROKESHIRE COUNTY COUNCIL1 (G),1945336,"£33,668.04"
Home Office,Home Office,25/03/2011,GRANTS,CPG - Crime & Policing Group,NEATH & PORT TALBOT BOROUGH (G),1945334,"£73,921.04"
Home Office,Home Office,25/03/2011,GRANTS,CPG - Crime & Policing Group,ISLE OF ANGLESEY COUNTY COUNCIL 1 (G),1945332,"£31,863.00"
Home Office,Home Office,25/03/2011,GRANTS,CPG - Crime & Policing Group,FLINTSHIRE COUNTY COUNCIL 1 (G),1945328,"£53,499.59"
Home Office,Home Office,25/03/2011,GRANTS,CPG - Crime & Policing Group,CARDIFF COUNTY COUNCIL 1 (G),1945326,"£137,737.46"
Home Office,Home Office,29/03/2011,Defense & Law Enforcement.Police Liaison Officers,CPG - Crime & Policing Group,SOUTH YORKSHIRE POLICE,1945316,"£94,000.00"
Home Office,Home Office,25/03/2011,GRANTS,CPG - Crime & Policing Group,PNB STAFF SIDE (G),1945315,"£32,398.13"
Home Office,Home Office,25/03/2011,GRANTS,CPG - Crime & Policing Group,POLICE FEDERATION OF ENGLAND & WALES (G),1945314,"£51,270.48"
Home Office,Home Office,25/03/2011,GRANTS,CPG - Crime & Policing Group,PNB OFFICIAL SIDE SECRETARIAL (G),1945309,"£78,930.76"
Home Office,Home Office,25/03/2011,GRANTS,CPG - Crime & Policing Group,SUPERINTENDENTS ASSOCIATION (G),1945305,"£171,075.05"
Home Office,Home Office,25/03/2011,GRANTS,CPG - Crime & Policing Group,CARDIFF COUNTY COUNCIL 1 (G),1945296,"£37,194.00"
Home Office,Home Office,29/03/2011,Defense & Law Enforcement.Police Liaison Officers,CPG - Crime & Policing Group,SERIOUS ORGANISED CRIME AGENCY,1945286,"£33,959.94"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,WEST YORKSHIRE POLICE (G),1945284,"£212,219.64"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,WEST MIDLANDS POLICE AUTHORITY 1 (G),1945282,"£225,767.23"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,NEW WEST MERCIA POLICE AUTHORITY (G),1945280,"£77,005.74"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,SUSSEX POLICE AUTHORITY 1 (G),1945273,"£176,907.11"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,SURREY POLICE AUTHORITY 1 (G),1945260,"£28,240.64"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,SUFFOLK POLICE AUTHORITY (G),1945258,"£30,441.91"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,STAFFORDSHIRE POLICE AUTHORITY (G),1945255,"£49,543.59"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,SOUTH YORKSHIRE POLICE AUTHORITY 1 (G),1945253,"£47,660.83"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,SOUTH WALES POLICE AUTHORITY 1 (G),1945251,"£43,855.34"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,NOTTINGHAMSHIRE POLICE AUTHORITY 2 (G),1945249,"£27,028.10"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,NORTHUMBRIA POLICE (G),1945246,"£83,978.45"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,NORTHAMPTONSHIRE POLICE 1 (G),1945244,"£58,182.28"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,NORTH WALES POLICE AUTHORITY (G),1945241,"£77,591.29"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,NORTH YORKSHIRE POLICE AUTHORITY (G),1945238,"£40,069.27"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,METROPOLITAN POLICE SERVICE (G),1945234,"£1,421,397.81"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,MERSEYSIDE POLICE AUTHORITY 1 (G),1945231,"£70,364.44"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,LEICESTERSHIRE POLICE AUTHORITY (G),1945227,"£187,137.76"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,LANCASHIRE POLICE AUTHORITY 1 (G),1945223,"£184,372.42"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,KENT POLICE AUTHORITY 1 (G),1945221,"£203,950.73"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,HUMBERSIDE POLICE AUTHORITY 1 (G),1945218,"£193,900.45"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,HERTFORDSHIRE POLICE AUTHORITY 1 (G),1945216,"£29,479.81"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,HAMPSHIRE POLICE AUTHORITY 1 (G),1945214,"£62,365.22"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,GWENT POLICE AUTHORITY 1 (G),1945212,"£68,046.28"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,GREATER MANCHESTER POLICE AUTHORITY (G),1945210,"£572,384.65"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,GLOUCESTERSHIRE POLICE AUTHORITY (G),1945207,"£30,465.87"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,ESSEX POLICE AUTHORITY (G),1945180,"£25,017.29"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,DORSET POLICE AUTHORITY 1 (G),1945174,"£61,520.68"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,DEVON & CORNWALL CONSTABULARY 4 (G),1945173,"£120,886.45"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,DERBYSHIRE POLICE AUTHORITY 1 (G),1945171,"£69,888.86"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,CUMBRIA POLICE AUTHORITY 1 (G),1945169,"£57,679.86"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,CLEVELAND POLICE AUTHORITY 1 (G),1945168,"£70,540.66"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,CHESHIRE POLICE AUTHORITY 2 (G),1945167,"£91,520.79"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,BEDFORDSHIRE POLICE AUTHORITY 1 (G),1945161,"£105,502.55"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,AVON & SOMERSET CONSTABULARY (G),1945158,"£99,609.72"
Home Office,Home Office,28/03/2011,GRANTS,CPG - Crime & Policing Group,DERBYSHIRE POLICE AUTHORITY 1 (G),1945101,"£740,000.00"
Home Office,Home Office,28/03/2011,GRANTS,CPG - Crime & Policing Group,LINCOLNSHIRE POLICE AUTHORITY 1 (G),1945079,"£125,000.00"
Home Office,Home Office,28/03/2011,GRANTS,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1945076,"£39,932.94"
Home Office,Home Office,28/03/2011,GRANTS,CPG - Crime & Policing Group,HAMPSHIRE POLICE AUTHORITY 1 (G),1945075,"£105,422.26"
Home Office,Home Office,28/03/2011,GRANTS,CPG - Crime & Policing Group,NORTH YORKSHIRE POLICE AUTHORITY (G),1945072,"£125,000.00"
Home Office,Home Office,28/03/2011,GRANTS,CPG - Crime & Policing Group,HUMBERSIDE POLICE AUTHORITY 1 (G),1945069,"£124,995.71"
Home Office,Home Office,28/03/2011,GRANTS,CPG - Crime & Policing Group,WEST MIDLANDS POLICE AUTHORITY 1 (G),1945068,"£800,000.00"
Home Office,Home Office,25/03/2011,GRANTS,CPG - Crime & Policing Group,KENT POLICE AUTHORITY 1 (G),1945061,"£258,259.68"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,BRITISH TRANSPORT POLICE AUTHORITY (G),1945019,"£30,784.94"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,ENVIRONMENT AGENCY (G),1945016,"£57,710.25"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,FINANCIAL SERVICES AUTHORITY (G),1945014,"£79,893.77"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,SOCA (G),1945012,"£1,176,412.81"
Home Office,Home Office,30/03/2011,GRANTS,CPG - Crime & Policing Group,POLICE SERVICE OF NORTHERN IRELAND (G),1945003,"£184,761.96"
Home Office,Home Office,24/03/2011,Other Government Departments,Group HR,NATIONAL SCHOOL OF GOVERNMENT,1945000,"£43,875.00"
Home Office,UKBA - UK Border Agency,29/03/2011,Professional & Admin Services.Seconded in Staff costs - ADMN,UKBA - UK Border Agency,SERIOUS ORGANISED CRIME AGENCY,1944313,"£51,060.08"
Home Office,Home Office,28/03/2011,GRANTS,CPG - Crime & Policing Group,SUFFOLK POLICE AUTHORITY (G),1944143,"£76,767.00"
Home Office,Home Office,25/03/2011,GRANTS,CPG - Crime & Policing Group,JSSC (SKILLS FOR JUSTICE) (G),1944042,"£27,575.00"
Home Office,Home Office,25/03/2011,GRANTS,CPG - Crime & Policing Group,JSSC (SKILLS FOR JUSTICE) (G),1944041,"£25,190.00"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,BUCKINGHAMSHIRE COUNTY COUNCIL 1 (G),1943878,"£86,302.50"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,LONDON BOROUGH OF HOUNSLOW 1 (G),1943876,"£36,088.88"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,LONDON BOROUGH  WALTHAM FOREST (G),1943872,"£34,549.13"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,LIVERPOOL CITY COUNCIL 1 (G),1943871,"£27,186.38"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,HAMPSHIRE CC (HAMPSHIRE DAT) (G),1943861,"£44,796.50"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,WEST SUSSEX COUNTY COUNCIL 1 (G),1943852,"£30,214.38"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,SURREY COUNTY COUNCIL 1 (G),1943849,"£40,025.00"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,KENT COUNTY COUNCIL 1 (G),1943848,"£54,875.25"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,MANCHESTER CITY COUNCIL (G),1943846,"£37,437.00"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,NOTTINGHAMSHIRE COUNTY COUNCIL 2 (G),1943834,"£35,607.88"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,NORFOLK COUNTY COUNCIL 1 (G),1943801,"£31,203.50"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,SUFFOLK COUNTY COUNCIL (G),1943798,"£25,573.25"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,LANCASHIRE COUNTY COUNCIL 1 (G),1943777,"£49,301.13"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,STAFFORDSHIRE COUNTY COUNCIL 1 (G),1943749,"£35,708.00"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,BIRMINGHAM CITY COUNCIL (G),1943738,"£61,660.13"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,GLOUCESTERSHIRE COUNTY COUNCIL 1 (G),1943720,"£25,519.13"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,DEVON COUNTY COUNCIL 1 (G),1943717,"£27,229.63"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,BRISTOL CITY COUNCIL 1 (G),1943714,"£27,911.63"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,OXFORDSHIRE COUNTY COUNCIL 1 (G),1943695,"£25,171.75"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,NORTHAMPTONSHIRE COUNTY COUNCIL (G),1943623,"£30,894.13"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,LINCOLNSHIRE COUNTY COUNCIL 1 (G),1943621,"£26,131.00"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,LEICESTERSHIRE COUNTY COUNCIL 1 (G),1943620,"£27,537.25"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,DERBYSHIRE COUNTY COUNCIL 1 (G),1943618,"£32,371.25"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,HERTFORDSHIRE COUNTY COUNCIL 1 (G),1943614,"£41,853.38"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,ESSEX COUNTY COUNCIL 1 (G),1943613,"£46,957.50"
Home Office,Home Office,25/03/2011,Professional & Admin Services.Seconded in Staff costs - PROG,CPG - Crime & Policing Group,BIRMINGHAM CITY COUNCIL,1943056,"£61,707.18"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,REFUGE (G),1942735,"£62,500.00"
Home Office,Home Office,23/03/2011,GRANTS,CPG - Crime & Policing Group,WEST MERCIA POLICE AUTHORITY 1 (G),1942729,"£75,000.00"
Home Office,Home Office,24/03/2011,GRANTS,CPG - Crime & Policing Group,OLDHAM MBC 1 (G),1942719,"£53,422.50"
Home Office,Home Office,25/03/2011,Other Government Departments,CPG - Crime & Policing Group,SANDWELL PRIMARY CARE TRUST (G),1942701,"£456,030.00"
Home Office,Home Office,11/03/2011,GRANTS,CPG - Crime & Policing Group,CLINKS (G),1942662,"£59,500.00"
Home Office,Home Office,28/03/2011,GRANTS,CPG - Crime & Policing Group,SOCA (G),1942582,"£74,143.60"
Home Office,Home Office,28/03/2011,GRANTS,CPG - Crime & Policing Group,NATIONAL POLICING IMPROVEMENT AGENCY (G),1942581,"£156,772.27"
Home Office,Home Office,28/03/2011,GRANTS,CPG - Crime & Policing Group,SUSSEX POLICE AUTHORITY 1 (G),1942578,"£228,189.00"
Home Office,Home Office,28/03/2011,GRANTS,CPG - Crime & Policing Group,METROPOLITAN POLICE SERVICE (G),1942576,"£434,356.85"
Home Office,Home Office,28/03/2011,GRANTS,CPG - Crime & Policing Group,LANCASHIRE POLICE AUTHORITY 1 (G),1942574,"£291,325.00"
Home Office,Home Office,28/03/2011,GRANTS,CPG - Crime & Policing Group,LEICESTERSHIRE POLICE AUTHORITY (G),1942571,"£256,798.00"
