Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend,
Home Office,CRB - Criminal Records Bureau,08/03/2012,IT & Telephony ,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001226149,"156,890.00",
Home Office,CRB - Criminal Records Bureau,12/03/2012,IT & Telephony ,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001227237,"69,376.32",
Home Office,CRB - Criminal Records Bureau,12/03/2012,IT & Telephony ,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001227237,"1,525,684.95",
Home Office,UKBA - UK Border Agency,19/03/2012,"Public Order, Security, Safety.Domestic Escort Services",UKBA - UK Border Agency,IOM INTERNATIONAL ORGANIZATION FOR MIGRATION,7000006653,"1,951,820.21",
Home Office,CRB - Criminal Records Bureau,19/03/2012,Police Authorities,CRB - Criminal Records Bureau,AVON & SOMERSET POLICE AUTHORITY,1001230760,"52,236.43",
Home Office,CRB - Criminal Records Bureau,27/03/2012,Police Authorities,CRB - Criminal Records Bureau,AVON & SOMERSET POLICE AUTHORITY,1001236460,"50,628.82",
Home Office,CRB - Criminal Records Bureau,14/03/2012,Police Authorities,CRB - Criminal Records Bureau,CAMBRIDGESHIRE POLICE AUTHORITY,1001228706,"70,487.27",
Home Office,CRB - Criminal Records Bureau,27/03/2012,Police Authorities,CRB - Criminal Records Bureau,CAMBRIDGESHIRE POLICE AUTHORITY,1001236471,"35,296.51",
Home Office,CRB - Criminal Records Bureau,02/03/2012,One Stop Service,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001223179,"-79,260.56",
Home Office,CRB - Criminal Records Bureau,02/03/2012,One Stop Service,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001223179,"1,377,366.75",
Home Office,CRB - Criminal Records Bureau,12/03/2012,One Stop Service,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001227237,"208,882.34",
Home Office,CRB - Criminal Records Bureau,12/03/2012,One Stop Service,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001227237,"2,339,484.66",
Home Office,CRB - Criminal Records Bureau,12/03/2012,One Stop Service,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001227237,"2,339,484.67",
Home Office,CRB - Criminal Records Bureau,12/03/2012,One Stop Service,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001227237,"2,339,484.67",
Home Office,CRB - Criminal Records Bureau,02/03/2012,Police Authorities,CRB - Criminal Records Bureau,CHESHIRE POLICE AUTHORITY,1001223185,"85,378.84",
Home Office,CRB - Criminal Records Bureau,27/03/2012,Police Authorities,CRB - Criminal Records Bureau,CHESHIRE POLICE AUTHORITY,1001236477,"42,419.41",
Home Office,CRB - Criminal Records Bureau,19/03/2012,Police Authorities,CRB - Criminal Records Bureau,CLEVELAND POLICE AUTHORITY,1001230789,"44,095.94",
Home Office,CRB - Criminal Records Bureau,21/03/2012,Police Authorities,CRB - Criminal Records Bureau,DERBYSHIRE POLICE AUTHORITY,1001232571,"40,869.89",
Home Office,CRB - Criminal Records Bureau,26/03/2012,Police Authorities,CRB - Criminal Records Bureau,DERBYSHIRE POLICE AUTHORITY,1001235198,"41,408.19",
Home Office,CRB - Criminal Records Bureau,19/03/2012,Police Authorities,CRB - Criminal Records Bureau,DEVON & CORNWALL POLICE AUTHORITY,1001230804,"68,244.06",
Home Office,CRB - Criminal Records Bureau,26/03/2012,Police Authorities,CRB - Criminal Records Bureau,DURHAM POLICE AUTHORITY,1001235203,"47,019.19",
Home Office,CRB - Criminal Records Bureau,26/03/2012,Police Authorities,CRB - Criminal Records Bureau,ESSEX POLICE AUTHORITY,1001235207,"79,451.28",
Home Office,CRB - Criminal Records Bureau,27/03/2012,Police Authorities,CRB - Criminal Records Bureau,ESSEX POLICE AUTHORITY,1001236501,"71,273.72",
Home Office,CRB - Criminal Records Bureau,19/03/2012,Police Authorities,CRB - Criminal Records Bureau,GLOUCESTERSHIRE POLICE AUTHORITY,1001230825,"29,440.41",
Home Office,CRB - Criminal Records Bureau,19/03/2012,Police Authorities,CRB - Criminal Records Bureau,GREATER MANCHESTER POLICE,1001230827,"84,257.52",
Home Office,CRB - Criminal Records Bureau,26/03/2012,Police Authorities,CRB - Criminal Records Bureau,GREATER MANCHESTER POLICE,1001235219,"171,479.54",
Home Office,CRB - Criminal Records Bureau,19/03/2012,Police Authorities,CRB - Criminal Records Bureau,GUERNSEY POLICE FORCE,1001230829,"29,219.17",
Home Office,CRB - Criminal Records Bureau,26/03/2012,Police Authorities,CRB - Criminal Records Bureau,HAMPSHIRE CONSTABULARY,1001235222,"43,049.88",
Home Office,CRB - Criminal Records Bureau,27/03/2012,Police Authorities,CRB - Criminal Records Bureau,HAMPSHIRE CONSTABULARY,1001236511,"42,663.07",
Home Office,CRB - Criminal Records Bureau,02/03/2012,Police Authorities,CRB - Criminal Records Bureau,HERTFORDSHIRE CONSTABULARY,1001223235,"41,631.62",
Home Office,CRB - Criminal Records Bureau,19/03/2012,Police Authorities,CRB - Criminal Records Bureau,HERTFORDSHIRE CONSTABULARY,1001230833,"40,888.45",
Home Office,CRB - Criminal Records Bureau,26/03/2012,Police Authorities,CRB - Criminal Records Bureau,HUMBERSIDE POLICE AUTHORITY,1001235229,"50,306.12",
Home Office,CRB - Criminal Records Bureau,27/03/2012,Police Authorities,CRB - Criminal Records Bureau,HUMBERSIDE POLICE AUTHORITY,1001236515,"44,836.90",
Home Office,CRB - Criminal Records Bureau,19/03/2012,Police Authorities,CRB - Criminal Records Bureau,KENT POLICE AUTHORITY,1001230843,"59,959.86",
Home Office,CRB - Criminal Records Bureau,27/03/2012,Police Authorities,CRB - Criminal Records Bureau,LANCASHIRE POLICE AUTHORITY,1001236529,"46,589.55",
Home Office,CRB - Criminal Records Bureau,26/03/2012,Police Authorities,CRB - Criminal Records Bureau,LEICESTERSHIRE CONSTABULARY,1001235238,"65,336.84",
Home Office,CRB - Criminal Records Bureau,27/03/2012,Police Authorities,CRB - Criminal Records Bureau,LEICESTERSHIRE CONSTABULARY,1001236532,"31,345.01",
Home Office,CRB - Criminal Records Bureau,02/03/2012,Police Authorities,CRB - Criminal Records Bureau,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001223259,"541,874.51",
Home Office,CRB - Criminal Records Bureau,23/03/2012,Police Authorities,CRB - Criminal Records Bureau,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001234266,"554,907.41",
Home Office,CRB - Criminal Records Bureau,26/03/2012,Police Authorities,CRB - Criminal Records Bureau,MERSEYSIDE POLICE AUTHORITY,1001235244,"50,413.00",
