Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Amount (Sterling) 
DFID,DFID,18/03/2011,Accommodation costs,Asia Division,Angela Cheung,400149622,"27,497.88"
DFID,DFID,09/03/2011,Accommodation costs,East and Central Africa,Azalech Tibebu,400147515,"29,671.43"
DFID,DFID,08/03/2011,Accommodation costs,Asia Division,BRITISH HIGH COMMISSION,400147116,"46,598.35"
DFID,DFID,26/03/2011,Accommodation costs,Human Resources Division,CITY OF WESTMINSTER,400151526,"35,875.00"
DFID,DFID,28/03/2011,Accommodation costs,Human Resources Division,CITY OF WESTMINSTER,400151739,"2,483,919.70"
DFID,DFID,09/03/2011,Accommodation costs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",FOREIGN AND COMMONWEALTH OFFICE,400147520,7.46
DFID,DFID,09/03/2011,Accommodation costs,International Relations Division,FOREIGN AND COMMONWEALTH OFFICE,400147520,141.15
DFID,DFID,14/03/2011,Accommodation costs,West and Southern Africa,JAT Constroi,400147976,"20,756.85"
DFID,DFID,14/03/2011,Accommodation costs,West and Southern Africa,JAT Constroi,400147976,"8,895.79"
DFID,DFID,18/03/2011,Accommodation costs,Asia Division,Jia Ao Real Extate Development,400149569,"11,821.33"
DFID,DFID,18/03/2011,Accommodation costs,Asia Division,Jia Ao Real Extate Development,400149569,"23,642.67"
DFID,DFID,16/03/2011,Accommodation costs,Human Resources Division,MITIE Technical Facilities Management Ltd,400149032,"15,741.77"
DFID,DFID,16/03/2011,Accommodation costs,Human Resources Division,MITIE Technical Facilities Management Ltd,400149032,"9,184.06"
DFID,DFID,31/03/2011,Accommodation costs,Human Resources Division,Natwest Government Procurement Card,100037,551.92
DFID,DFID,31/03/2011,Accommodation costs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",Natwest Government Procurement Card,100037,"-1,246.20"
DFID,DFID,18/03/2011,Accommodation costs,Human Resources Division,ROBSON ASSOCIATES,400149790,"1,210,540.00"
DFID,DFID,18/03/2011,Accommodation costs,Human Resources Division,ROBSON ASSOCIATES,400149792,"100,881.00"
DFID,DFID,25/03/2011,Aid to civil society organisations / NGOs,East and Central Africa, BASEL INSTITUTE ON GOVERNANCE,400150986,"45,694.34"
DFID,DFID,31/03/2011,Aid to civil society organisations / NGOs,East and Central Africa, EASSI,400152500,"41,620.00"
DFID,DFID,25/03/2011,Aid to civil society organisations / NGOs,East and Central Africa, HANDICAP INTERNATIONAL,400150973,"45,381.76"
DFID,DFID,04/03/2011,Aid to civil society organisations / NGOs,Asia Division, MERLIN,400146785,"136,669.00"
DFID,DFID,23/03/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate, Natural Environment Research Council,400150594,"122,074.83"
DFID,DFID,15/03/2011,Aid to civil society organisations / NGOs,International Relations Division, New York University,400148400,"200,000.00"
DFID,DFID,30/03/2011,Aid to civil society organisations / NGOs,West and Southern Africa, OXFAM,400151381,"200,484.54"
DFID,DFID,17/03/2011,Aid to civil society organisations / NGOs,Asia Division, SOLIDARITES INTERNATIONAL(GBP),400149057,"488,381.00"
