Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Home Office,Home Office,13/05/2010,"Science, Technical & Research.Social Research",CPG - Crime & Policing Group,MATRIX RESEARCH AND CONSULTANCY LTD,1715492,"35,177.15"
Home Office,Home Office,14/05/2010,Grant,CPG - Crime & Policing Group,HAMPSHIRE POLICE AUTHORITY 1 (G),372696,"67,571.34"
Home Office,Home Office,14/05/2010,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",CPG - Crime & Policing Group,ALTIUS CONSULTING LTD,1673343,"30,667.50"
Home Office,Home Office,17/05/2010,Grant,CPG - Crime & Policing Group,KIRKLEES METROPOLITAN COUNCIL 2 (G,377374,"30,000.00"
Home Office,Home Office,17/05/2010,Grant,CPG - Crime & Policing Group,SAFE ISLAND SARC(G),377342,"26,290.00"
Home Office,Home Office,17/05/2010,Grant,CPG - Crime & Policing Group,ISA (G),376650,"1,399,400.00"
Home Office,Home Office,17/05/2010,Grant,CPG - Crime & Policing Group,SECURITY INDUSTRY AUTHORITY 1 (G),365122,"38,073.00"
Home Office,Home Office,17/05/2010,Lab & Scientific Equip (FA).Laboratory & scientific equip,CPG - Crime & Policing Group,CONCATENO UK LIMITED,1716679,"174,802.40"
Home Office,Home Office,18/05/2010,IT & Telecoms Components.Computer Equip (FA),CPG - Crime & Policing Group,HEWLETT PACKARD,1702110,"264,080.08"
Home Office,Home Office,19/05/2010,Defense & Law Enforcement.Police Liaison Officers,CPG - Crime & Policing Group,DEVON & CORNWALL POLICE AUTHORITY,1718078,"45,000.00"
Home Office,Home Office,19/05/2010,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE POLICE AUTHORITY 2,380930,"30,000.00"
Home Office,Home Office,19/05/2010,Grant,CPG - Crime & Policing Group,MERSEYSIDE POLICE AUTHORITY 1 (G),380930,"97,623.56"
Home Office,Home Office,19/05/2010,Management & Admin Serv.Temporary Manager Staff - PROG,CPG - Crime & Policing Group,DERBYSHIRE POLICE AUTHORITY,1718109,"30,076.85"
Home Office,Home Office,20/05/2010,Grant,CPG - Crime & Policing Group,MERSEYSIDE POLICE AUTHORITY 1 (G),380930-1,"35,000.00"
Home Office,Home Office,20/05/2010,Grant,CPG - Crime & Policing Group,LEICESTERSHIRE CONSTABULARY 1 (G),380930,"35,000.00"
Home Office,Home Office,20/05/2010,Grant,CPG - Crime & Policing Group,DURHAM POLICE AUTHORITY 1 (G),380930,"35,000.00"
Home Office,Home Office,20/05/2010,Grant,CPG - Crime & Policing Group,DEVON & CORNWALL CONSTABULARY (G),380930,"35,000.00"
Home Office,Home Office,20/05/2010,Grant,CPG - Crime & Policing Group,SOUTH YORKSHIRE POLICE AUTHORITY 1,380930,"47,500.00"
Home Office,Home Office,20/05/2010,Grant,CPG - Crime & Policing Group,LANCASHIRE POLICE AUTHORITY 1 (G),380930,"60,000.00"
Home Office,Home Office,20/05/2010,Grant,CPG - Crime & Policing Group,NEIGHBOURHOOD AND HOMEWATCH NETWOR,2010-11Q1,"45,000.00"
Home Office,Home Office,20/05/2010,Laboratory & Scientific Equip.Dimension measuring equip,CPG - Crime & Policing Group,CONCATENO UK LIMITED,1720790,"45,855.32"
Home Office,Home Office,20/05/2010,Laboratory & Scientific Equip.Dimension measuring equip,CPG - Crime & Policing Group,CONCATENO UK LIMITED,1697627,"46,305.11"
Home Office,Home Office,20/05/2010,ESTATES AND FACILITIES.ESTATES & FACILITIES,CPG - Crime & Policing Group,LAMBERT SMITH HAMPTON,1720723,"140,828.45"
Home Office,Home Office,21/05/2010,Education & Training Services.Training Dev External - PROG,CPG - Crime & Policing Group,SAFETY NET ASSOCIATES LTD,1721539,"27,909.19"
