1 Department Family,2 Entity,3 Date,4 Expense Type,5 Expense Area,6 Supplier,7 Transaction No,8 Amount
DEFRA,Marine Management Organisation,Jun-10,Aerial Surveillance Costs,Newcastle DCMO & Management Team,Directflight Ltd,215,"106,639.51"
DEFRA,Marine Management Organisation,Jun-10,Clearing Construction in Progress (I.T.),IT & Data Directorate,IBM United Kingdom Ltd,5804101276,"43,787.28"
DEFRA,Marine Management Organisation,Jun-10,Grant Payments,Grants Team,North Sunderland Harbour Comrs,FEF0261,"29,250.00"
DEFRA,Marine Management Organisation,Jun-10,Contracted out services non IT,MMO Establishment,DEFRA,191973,"120,903.00"
DEFRA,Marine Management Organisation,Jun-10,GPC Card,Various cost centres,Barclaycard Business Issuing,4.7156500878e+021,"44,485.07"
DEFRA,Marine Management Organisation,Jun-10,Clearing Construction in Progress (I.T.),IT & Data Directorate,IBM United Kingdom Ltd,5805100506,"88,624.39"
DEFRA,Marine Management Organisation,Jun-10,Grant Payments,Grants Team,Sam Cole Food Group Limited,FEF0192150610,"50,075.98"
DEFRA,Marine Management Organisation,Jun-10,Satellite Surveillance Costs,IT Operations,C E F A S,SI0004882,"40,949.00"
DEFRA,Marine Management Organisation,Jun-10,Clearing Construction in Progress (I.T.),IT & Data Directorate,IBM United Kingdom Ltd,5805101526,"40,010.07"
DEFRA,Marine Management Organisation,Jun-10,Clearing Construction in Progress (I.T.),IT & Data Directorate,IBM United Kingdom Ltd,5805100515,"39,740.85"
DEFRA,Marine Management Organisation,Jun-10,Hardware Services/Standard Hardware Items,IT & Data Directorate,IBM United Kingdom Ltd,5805100516,"32,056.35"
DEFRA,Marine Management Organisation,Jun-10,Grant Payments,Grants Team,North Shields Fish Quay Co Ltd,FEF0178220610,"275,355.83"
DEFRA,Marine Management Organisation,Jun-10,Grant Payments,Grants Team,North Shields Fish Quay Co Ltd,FEF0178230610,"212,522.69"
DEFRA,Marine Management Organisation,Jun-10,Grant Payments,Grants Team,Seafood Training Centre,220610,"34,051.72"
