Department,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
Ministry of Justice,HM Courts and Tribunals Service,15-Apr-11,DZ999-South West Region,130001-Other Income,MARSTON GROUP,1571531,"£31,479.20"
Ministry of Justice,HM Courts and Tribunals Service,15-Apr-11,GZ999-North West Region,130001-Other Income,MARSTON GROUP,1571531,"£134,383.99"
Ministry of Justice,HM Courts and Tribunals Service,15-Apr-11,AR999-HMCS Central Budgets,211000-Judicial Salaries - Salaried,JUDICIAL PENSIONS SCHEME,1571462,"£4,804,820.27"
Ministry of Justice,HM Courts and Tribunals Service,19-Apr-11,TR130-Finance & Resources,211000-Judicial Salaries - Salaried,JUDICIAL PENSIONS SCHEME,1091,"£1,322,051.72"
Ministry of Justice,HM Courts and Tribunals Service,05-Apr-11,TR200-Regional South,221000-Property Rent and Rates,EDDISONS,1553455,"£40,368.52"
Ministry of Justice,HM Courts and Tribunals Service,12-Apr-11,TR200-Regional South,221000-Property Rent and Rates,CBRE CB RICHARD ELLIS,1564078,"£48,960.00"
Ministry of Justice,HM Courts and Tribunals Service,15-Apr-11,TR190-Regional North,221000-Property Rent and Rates,LANDA ASSET MANAGEMENT PLC,6346,"£173,862.00"
Ministry of Justice,HM Courts and Tribunals Service,01-Apr-11,HZ999-North East and Yorkshire,223000-Other Expenditure,NEOPOST LTD,1550504,"£41,671.82"
Ministry of Justice,HM Courts and Tribunals Service,12-Apr-11,HZ999-North East and Yorkshire,223001-Printing Postage and Office expenditure,XEROX (UK) LTD,1565093,"£27,097.32"
Ministry of Justice,HM Courts and Tribunals Service,13-Apr-11,TR120-Corporate,223001-Printing Postage and Office expenditure,XEROX (UK) LTD,1569611,"£38,740.18"
Ministry of Justice,HM Courts and Tribunals Service,19-Apr-11,CZ999-South East Region,223001-Printing Postage and Office expenditure,XEROX (UK) LTD,1575415,"£31,126.91"
Ministry of Justice,HM Courts and Tribunals Service,21-Apr-11,BZ999-London Region,223001-Printing Postage and Office expenditure,XEROX (UK) LTD,1581791,"£47,144.78"
Ministry of Justice,HM Courts and Tribunals Service,21-Apr-11,TR120-Corporate,223001-Printing Postage and Office expenditure,XEROX (UK) LTD,1581791,"£50,518.14"
Ministry of Justice,HM Courts and Tribunals Service,21-Apr-11,BZ999-London Region,222002-Other Property Costs,DERBYSHIRE COURTS LTD,1580021,"£546,154.97"
Ministry of Justice,HM Courts and Tribunals Service,08-Apr-11,IZ999-RCJ Group,222001-Maintenance,PRIME ESTATES PROPERTY MANAGEMENT,1562181,"£31,834.75"
Ministry of Justice,HM Courts and Tribunals Service,12-Apr-11,IZ999-RCJ Group,222001-Maintenance,WICHFORD TEMPLE BACK BRISTOL LTD,1565055,"£85,000.00"
Ministry of Justice,HM Courts and Tribunals Service,01-Apr-11,EZ999-Wales Region,222001-Maintenance,REGTON LTD,1550669,"£31,811.40"
Ministry of Justice,HM Courts and Tribunals Service,05-Apr-11,CZ999-South East Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1553864,"£25,472.04"
