DEPARTMENT FAMILY,ENTITY,DATE,EXPENSE_AREA,EXPENSE_TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
Ministry of Justice,HMCS,02-Aug-10,DZ999-South West Region,222001-Maintenance,FRAY DESIGN LIMITED,1295734,"£32,413.35"
Ministry of Justice,MoJ HQ,02-Aug-10,ZZ900-MoJ HQ,223000-Other Expenditure,LEX AUTOLEASE LTD,1026461,"£97,741.83"
Ministry of Justice,MoJ HQ,02-Aug-10,ZZ900-MoJ HQ,223001-Printing Postage and Office expenditure,GOVERNMENT CAR & DESPATCH AGENCY,1026434,"£26,934.00"
Ministry of Justice,MoJ HQ,02-Aug-10,ZZ900-MoJ HQ,223001-Printing Postage and Office expenditure,GOVERNMENT CAR & DESPATCH AGENCY,1026434,"£41,228.17"
Ministry of Justice,MoJ HQ,02-Aug-10,ZZ900-MoJ HQ,261000-Fuel and Utilities,EDF ENERGY LTD,1026425,"£70,594.40"
Ministry of Justice,MoJ HQ,02-Aug-10,ZZ900-MoJ HQ,532000-Tangible GBV - Additions,M J FERGUSON LTD,1026467,"£29,880.91"
Ministry of Justice,MoJ HQ,02-Aug-10,ZZ900-MoJ HQ,532000-Tangible GBV - Additions,M J FERGUSON LTD,1026467,"£48,100.90"
Ministry of Justice,MoJ HQ,02-Aug-10,ZZ900-MoJ HQ,264000-Consultancy,PA CONSULTING SERVICES LTD,1026485,"£46,367.85"
Ministry of Justice,MoJ HQ,02-Aug-10,ZZ900-MoJ HQ,212001-Agency staff,CAPGEMINI UK PLC,1026406,"£48,116.25"
Ministry of Justice,MoJ HQ,02-Aug-10,ZZ900-MoJ HQ,212001-Agency staff,CAPGEMINI UK PLC,1026406,"£27,142.50"
Ministry of Justice,MoJ HQ,02-Aug-10,ZZ900-MoJ HQ,212001-Agency staff,CAPGEMINI UK PLC,1026406,"£37,482.50"
Ministry of Justice,MoJ HQ,02-Aug-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,CABLE & WIRELESS,1026403,"£199,345.02"
Ministry of Justice,MoJ HQ,02-Aug-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,CABLE & WIRELESS,1026403,"£83,979.60"
Ministry of Justice,MoJ HQ,02-Aug-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,CABLE & WIRELESS,1026403,"£83,979.60"
Ministry of Justice,MoJ HQ,02-Aug-10,ZZ900-MoJ HQ,262000-SCA Costs,HP ENTERPRISE SERVICES UK LTD,1026445,"£55,624.50"
Ministry of Justice,MoJ HQ,02-Aug-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,VODAFONE CORPORATE LTD,1026531,"£25,235.04"
Ministry of Justice,Tribunals,03-Aug-10,TR140-Finance & Resources (Estates),222002-Other Property Costs,DEPARTMENT FOR WORK & PENSIONS (DWP),1040321,"£999,961.73"
Ministry of Justice,HMCS,04-Aug-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,DTZ DEBENHAM TIE LEUNG,1299426,"£210,752.75"
Ministry of Justice,HMCS,04-Aug-10,BZ999-London Region,532000-Tangible GBV - Additions,PARKERAY LTD,1299898,"£60,898.90"
Ministry of Justice,HMCS,04-Aug-10,BZ999-London Region,532000-Tangible GBV - Additions,DH FATHERS LTD,1299411,"£91,950.96"
Ministry of Justice,HMCS,04-Aug-10,CZ999-South East Region,222001-Maintenance,COFELY LTD,1299319,"£124,785.39"
Ministry of Justice,HMCS,04-Aug-10,DZ999-South West Region,222001-Maintenance,KIER BUILDING SERVICES ENG,165050,"£33,676.43"
Ministry of Justice,HMCS,04-Aug-10,FZ999-Midlands Region,265000-IT & Telecommunications,CABLE & WIRELESS,1299265,"£48,993.97"
Ministry of Justice,HMCS,04-Aug-10,FZ999-Midlands Region,265000-IT & Telecommunications,CABLE & WIRELESS,1299265,"£48,993.97"
Ministry of Justice,HMCS,04-Aug-10,FZ999-Midlands Region,222001-Maintenance,EMCOR FACILITIES SERVICES LTD,1299462,"£122,091.22"
Ministry of Justice,HMCS,04-Aug-10,FZ999-Midlands Region,222001-Maintenance,SITEC INTERIORS LTD,1300082,"£25,692.55"
Ministry of Justice,HMCS,04-Aug-10,IZ999-RCJ Group,532000-Tangible GBV - Additions,COFELY LTD,1299319,"£76,814.43"
Ministry of Justice,HMCS,04-Aug-10,IZ999-RCJ Group,234000-Profit/Loss on Disposal of Fixed Assets,DEVELOPMENT PLANNING PARTNERSHIP,1299408,"£32,312.50"
Ministry of Justice,HMCS,04-Aug-10,IZ999-RCJ Group,311200-Criminal Legal Aid,WILLIAM BOYCE QC#200801838-B5,165068,"£41,125.00"
Ministry of Justice,HMCS,04-Aug-10,IZ999-RCJ Group,311200-Criminal Legal Aid,PHILIP EVANS#200801838-B5,165069,"£27,025.00"
Ministry of Justice,HMCS,04-Aug-10,IZ999-RCJ Group,311200-Criminal Legal Aid,CHRIS SALTRESE SOLICITORS#200901936B4,165078,"£40,600.00"
Ministry of Justice,HMCS,04-Aug-10,IZ999-RCJ Group,311200-Criminal Legal Aid,IVAN PEARCE#GB37170507,165180,"£47,127.96"
Ministry of Justice,HMCS,04-Aug-10,IZ999-RCJ Group,311200-Criminal Legal Aid,SIMON FARRELL QC#GB37170508,165181,"£70,773.50"
Ministry of Justice,MoJ HQ,04-Aug-10,ZZ900-MoJ HQ,245000-Grants in Aid to NDPBs,LEGAL SERVICES COMMISSION,6188,"£7,000,000.00"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS BLAKE LAPTHORN SOLICITORS#DX 155850,168510,"£75,533.69"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS CAPSTICKS#DX 300118,168528,"£67,069.00"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS DARBYS#DX 145840,168549,"£39,513.40"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS DWF LLP#DX 14313,168568,"£216,643.28"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS EVERSHEDS#DX 33016,168580,"£207,135.51"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS LEWIS FRANCIS BLACKBURN BRAY#DX 10506,168683,"£53,853.32"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS PENMAN JOHNSON LLP#DX 4509,168742,"£25,055.94"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS THE BEST CONNECTION#B65 3HN,168802,"£132,286.71"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,B C L BURTON COPELAND#DX 37981,1300285,"£141,785.34"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,MCGRATH & CO#DX 13010,1300327,"£26,900.60"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS HUSSAIN SOLICITORS LTD#B10 0JS,1300413,"£41,850.48"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS IBB SOLICITORS#DX 45105,1300415,"£32,284.32"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS MANN & CO#DX 22561,1300438,"£34,170.99"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS NOBLE#DX 153444,1300457,"£95,089.93"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS TUCKERS#DX 14451,1300517,"£33,453.74"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,KRISTINA HARRISON#M3 6BF,168470,"£25,596.49"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS AHMED & CO#DX121903,168484,"£95,996.12"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS BERRYMANS LACE MAWER#DX 33861,168505,"£42,853.13"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS KENNEDYS#DX 766,168667,"£115,861.70"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS LLOYDS PR SOLICITORS (ADVOCATES)#NW10 4TE,168688,"£53,055.89"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS PATTICHI HILL & CROQUES#IG1 2NY,168740,"£42,707.21"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,B C L BURTON COPELAND#DX 37981,1300285,"£33,915.87"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,B C L BURTON COPELAND#DX 37981,1300285,"£145,377.15"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,DAVID PHILLIPS & PARTNERS#DX 18806,1300297,"£29,289.97"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,FRISBY SOLICITORS LTD T/A FRISBY & CO#DX 14564,1300303,"£170,395.49"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS DWF LLP#DX 728240,1300380,"£73,061.15"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS FISHER MEREDITH#DX 37050,1300385,"£25,019.56"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS JOSEPH HILL & CO (ADVOCATES)#DX 55603,1300422,"£40,086.06"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS LANSBURY WORTHINGTON#DX 32756,1300429,"£67,031.44"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS PETERS & PETERS#DX 407,1300469,"£28,413.53"
Ministry of Justice,HMCS,05-Aug-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS CARTWRIGHT KING#DX 10032,1300362,"£28,550.67"
Ministry of Justice,HMCS,05-Aug-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,166667,"£45,417.24"
Ministry of Justice,HMCS,05-Aug-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,167742,"£31,167.21"
Ministry of Justice,HMCS,05-Aug-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,168421,"£33,573.31"
Ministry of Justice,MoJ HQ,05-Aug-10,ZZ900-MoJ HQ,311100-Legal Aid,LEGAL SERVICES COMMISSION,6190,"£80,800,000.00"
Ministry of Justice,MoJ HQ,05-Aug-10,ZZ900-MoJ HQ,223000-Other Expenditure,TNT UK LTD,1026815,"£89,508.64"
