ENTITY,DATE,EXPENSE_AREA_3,EXPENSE_TYPE_3,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
HMCS,08/Dec/2010 ,DZ999-South West Region,130001-Other Income,MARSTON GROUP,1428043,"£27,147.49"
HMCS,15/Dec/2010 ,GZ999-North West Region,130001-Other Income,MARSTON GROUP,1435376,"£98,305.98"
HMCS,17/Dec/2010 ,GZ999-North West Region,130001-Other Income,MARSTON GROUP,1438583,"£68,981.72"
HMCS,23/Dec/2010 ,CZ999-South East Region,130001-Other Income,MARSTON GROUP,1445814,"£102,225.34"
HMCS,10/Dec/2010 ,AR999-HMCS Central Budgets,211000-Judicial Salaries - Salaried,JUDICIAL PENSIONS SCHEME,1430446,"£4,845,812.44"
HMCS,10/Dec/2010 ,AV329-CP-Mag. Courts Operational Bus.sys,212001-Agency staff,HM PRISON SERVICE,1430403,"£76,541.85"
HMCS,01/Dec/2010 ,GZ999-North West Region,222002-Other Property Costs,GARTSIDE LTD,1420084,"£2,172,948.06"
HMCS,15/Dec/2010 ,GZ999-North West Region,222001-Maintenance,DRIVERS JONAS DELOITTE,1435032,"£63,900.35"
HMCS,15/Dec/2010 ,AG999-Estates Directorate HMCS HQ,222001-Maintenance,VALUATION OFFICE AGENCY,1436652,"£58,750.00"
HMCS,31/Dec/2010 ,AG999-Estates Directorate HMCS HQ,222001-Maintenance,VALUATION OFFICE AGENCY,1450616,"£58,750.00"
HMCS,23/Dec/2010 ,FZ999-Midlands Region,222001-Maintenance,EMCOR FACILITIES SERVICES LTD,1445694,"£25,563.07"
HMCS,23/Dec/2010 ,CZ999-South East Region,222001-Maintenance,ACCLAIM CONTRACTS LTD,1445557,"£71,080.70"
HMCS,23/Dec/2010 ,CZ999-South East Region,222001-Maintenance,BAILEY MAINTENANCE LTD,1445581,"£31,857.78"
HMCS,29/Dec/2010 ,BZ999-London Region,222001-Maintenance,SKANSEN INTERIORS LTD,1449460,"£81,208.53"
HMCS,31/Dec/2010 ,IZ999-RCJ Group,222001-Maintenance,SYKES & SON LTD,1450597,"£53,969.88"
HMCS,15/Dec/2010 ,BZ999-London Region,261000-Fuel and Utilities,BRITISH GAS BUSINESS,1434882,"£33,460.40"
HMCS,15/Dec/2010 ,DZ999-South West Region,261000-Fuel and Utilities,BRITISH GAS BUSINESS,1434883,"£30,524.28"
HMCS,15/Dec/2010 ,CZ999-South East Region,261000-Fuel and Utilities,BRITISH GAS BUSINESS,1434883,"£53,196.98"
HMCS,15/Dec/2010 ,HZ999-North East and Yorkshire,261000-Fuel and Utilities,BRITISH GAS BUSINESS,1434883,"£29,413.26"
HMCS,17/Dec/2010 ,GZ999-North West Region,261000-Fuel and Utilities,BRITISH GAS BUSINESS,1438271,"£26,056.50"
HMCS,17/Dec/2010 ,IZ999-RCJ Group,261000-Fuel and Utilities,EDF ENERGY LTD,1438373,"£43,259.07"
HMCS,23/Dec/2010 ,CZ999-South East Region,261000-Fuel and Utilities,E.ON UK PLC,1445687,"£37,418.04"
HMCS,23/Dec/2010 ,GZ999-North West Region,261000-Fuel and Utilities,BRITISH GAS BUSINESS,1445609,"£65,000.00"
HMCS,01/Dec/2010 ,BZ999-London Region,261000-Fuel and Utilities,CORONA ENERGY,1419912,"£61,847.69"
HMCS,29/Dec/2010 ,HZ999-North East and Yorkshire,261000-Fuel and Utilities,CORONA ENERGY,1449165,"£62,085.99"
HMCS,29/Dec/2010 ,GZ999-North West Region,261000-Fuel and Utilities,CORONA ENERGY,1449165,"£72,151.85"
HMCS,31/Dec/2010 ,EZ999-Wales Region,261000-Fuel and Utilities,CORONA ENERGY,1450307,"£26,192.70"
HMCS,31/Dec/2010 ,DZ999-South West Region,261000-Fuel and Utilities,CORONA ENERGY,1450307,"£37,885.94"
HMCS,01/Dec/2010 ,FZ999-Midlands Region,222002-Other Property Costs,MITIE SECURITY LTD,1420402,"£31,490.14"
HMCS,10/Dec/2010 ,DZ999-South West Region,222002-Other Property Costs,MITIE SECURITY LTD,1430507,"£301,040.42"
HMCS,10/Dec/2010 ,EZ999-Wales Region,222002-Other Property Costs,MITIE SECURITY LTD,1430507,"£188,693.85"
HMCS,10/Dec/2010 ,FZ999-Midlands Region,222002-Other Property Costs,MITIE SECURITY LTD,1430507,"£442,451.58"
HMCS,15/Dec/2010 ,BZ999-London Region,222002-Other Property Costs,MITIE SECURITY LTD,1435420,"£30,700.45"
HMCS,15/Dec/2010 ,CZ999-South East Region,222002-Other Property Costs,MITIE SECURITY LTD,1435420,"£564,571.77"
HMCS,17/Dec/2010 ,GZ999-North West Region,222002-Other Property Costs,MITIE SECURITY LTD,1438613,"£430,845.92"
HMCS,17/Dec/2010 ,HZ999-North East and Yorkshire,222002-Other Property Costs,MITIE SECURITY LTD,1438613,"£417,083.95"
HMCS,21/Dec/2010 ,BZ999-London Region,222002-Other Property Costs,MITIE SECURITY LTD,1440817,"£750,735.99"
HMCS,08/Dec/2010 ,HZ999-North East and Yorkshire,222002-Other Property Costs,RENTOKIL INITIAL UK LIMITED,1428264,"£54,881.81"
HMCS,08/Dec/2010 ,GZ999-North West Region,222002-Other Property Costs,RENTOKIL INITIAL UK LIMITED,1428265,"£57,503.10"
HMCS,08/Dec/2010 ,CZ999-South East Region,222002-Other Property Costs,HI-SPEC FACILITIES SUPPORT CO PLC,1427853,"£253,161.11"
HMCS,15/Dec/2010 ,EZ999-Wales Region,222002-Other Property Costs,OCS SUPPORT SERVICES LTD,1435477,"£92,427.15"
HMCS,15/Dec/2010 ,HZ999-North East and Yorkshire,222002-Other Property Costs,ELITE CLEANING & ENV SERVICES LTD,1435058,"£135,494.91"
HMCS,15/Dec/2010 ,BZ999-London Region,222002-Other Property Costs,MACLELLAN INTERNATIONAL LTD,1435356,"£322,341.71"
HMCS,15/Dec/2010 ,GZ999-North West Region,222002-Other Property Costs,"OCS GROUP UK LTD, OCS ENGINEERING",1435476,"£27,160.71"
HMCS,17/Dec/2010 ,GZ999-North West Region,222002-Other Property Costs,ELITE CLEANING & ENV SERVICES LTD,1438377,"£174,468.46"
HMCS,17/Dec/2010 ,FZ999-Midlands Region,222002-Other Property Costs,REGENT OFFICE CARE LTD,1438710,"£254,053.78"
HMCS,17/Dec/2010 ,DZ999-South West Region,222002-Other Property Costs,REGENT OFFICE CARE LTD,1438710,"£143,349.83"
HMCS,29/Dec/2010 ,BZ999-London Region,222002-Other Property Costs,MACLELLAN INTERNATIONAL LTD,1449332,"£322,341.71"
HMCS,01/Dec/2010 ,BZ999-London Region,222001-Maintenance,EC HARRIS LLP,1420011,"£95,472.84"
HMCS,01/Dec/2010 ,GZ999-North West Region,222001-Maintenance,DTZ DEBENHAM TIE LEUNG,1419998,"£66,048.21"
HMCS,03/Dec/2010 ,FZ999-Midlands Region,222001-Maintenance,EC HARRIS LLP,1422594,"£94,536.06"
HMCS,03/Dec/2010 ,CZ999-South East Region,222001-Maintenance,EC HARRIS LLP,1422594,"£149,812.50"
HMCS,08/Dec/2010 ,DZ999-South West Region,222001-Maintenance,ATKINS,1427440,"£113,539.96"
HMCS,15/Dec/2010 ,DZ999-South West Region,222001-Maintenance,ATKINS,1434799,"£113,539.96"
HMCS,17/Dec/2010 ,GZ999-North West Region,222001-Maintenance,DTZ DEBENHAM TIE LEUNG,1438361,"£66,048.21"
HMCS,23/Dec/2010 ,FZ999-Midlands Region,222001-Maintenance,EC HARRIS LLP,1445688,"£94,536.06"
HMCS,31/Dec/2010 ,EZ999-Wales Region,222001-Maintenance,WYG MANAGEMENT SERVICES LTD,1450652,"£35,250.00"
