DEPARTMENTAL FAMILY,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION NUMBER,AMOUNT
Ministry of Justice,HM Courts Service,01-Feb-11,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,MANCHESTER CITY COUNCIL,1478965,"£92,731.89"
Ministry of Justice,HM Courts Service,01-Feb-11,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,MANCHESTER CITY COUNCIL,1478965,"£77,185.42"
Ministry of Justice,HM Courts Service,02-Feb-11,AG999-Estates Directorate HMCS HQ,222001-Maintenance,DEVELOPMENT PLANNING PARTNERSHIP,1481302,"£49,350.00"
Ministry of Justice,HM Courts Service,02-Feb-11,BZ999-London Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1481794,"£123,150.00"
Ministry of Justice,HM Courts Service,02-Feb-11,BZ999-London Region,222001-Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1481743,"£119,782.00"
Ministry of Justice,HM Courts Service,02-Feb-11,BZ999-London Region,265000-IT & Telecommunications,INFORM COMMUNICATIONS PLC,1481555,"£132,782.00"
Ministry of Justice,HM Courts Service,02-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,TURNER & TOWNSEND PROJECT MANAGEMENT,1482789,"£72,554.00"
Ministry of Justice,HM Courts Service,02-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,CHILLMECH LTD,1481200,"£44,720.00"
Ministry of Justice,HM Courts Service,02-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,ARK BUILD PLC,1481032,"£168,995.00"
Ministry of Justice,HM Courts Service,02-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,SYKES & SON LTD,1482743,"£79,145.00"
Ministry of Justice,HM Courts Service,02-Feb-11,CZ999-South East Region,222001-Maintenance,EUROPEAN ASBESTOS SERVICES,1481365,"£30,015.00"
Ministry of Justice,HM Courts Service,02-Feb-11,CZ999-South East Region,532000-Tangible GBV - Additions,ARK BUILD PLC,1481032,"£86,400.00"
Ministry of Justice,HM Courts Service,02-Feb-11,DZ999-South West Region,222001-Maintenance,KIER BUILDING SERVICES ENG,301940,"£36,944.00"
Ministry of Justice,HM Courts Service,02-Feb-11,DZ999-South West Region,222001-Maintenance,KIER BUILDING SERVICES ENG,301940,"£33,486.00"
Ministry of Justice,HM Courts Service,02-Feb-11,DZ999-South West Region,223001-Printing Postage and Office expenditure,ROYAL MAIL,1482643,"£56,590.00"
Ministry of Justice,HM Courts Service,02-Feb-11,EZ999-Wales Region,222001-Maintenance,KIER BUILDING SERVICES ENG,301940,"£32,045.00"
Ministry of Justice,HM Courts Service,02-Feb-11,EZ999-Wales Region,222001-Maintenance,KIER BUILDING SERVICES ENG,301940,"£50,104.00"
Ministry of Justice,HM Courts Service,02-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,SC MOORE LTD,1482658,"£55,326.00"
Ministry of Justice,HM Courts Service,02-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,SC MOORE LTD,1482657,"£46,001.00"
Ministry of Justice,HM Courts Service,02-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,F P HURLEY & SONS LTD,1481371,"£32,325.00"
Ministry of Justice,HM Courts Service,02-Feb-11,FZ999-Midlands Region,262000-SCA Costs,H & W COURTS LIMITED,1481453,"£548,655.00"
Ministry of Justice,HM Courts Service,02-Feb-11,FZ999-Midlands Region,265000-IT & Telecommunications,CABLE & WIRELESS GLOBAL CARD SERVICES,1481161,"£25,655.00"
Ministry of Justice,HM Courts Service,02-Feb-11,FZ999-Midlands Region,532000-Tangible GBV - Additions,SITEC INTERIORS LTD,1482692,"£37,008.00"
Ministry of Justice,HM Courts Service,02-Feb-11,FZ999-Midlands Region,532000-Tangible GBV - Additions,MCDOWALL AIR CONDITIONING (UK) LTD,1481710,"£249,559.00"
Ministry of Justice,HM Courts Service,02-Feb-11,GZ999-North West Region,222001-Maintenance,BAILEY MAINTENANCE LTD,1481048,"£59,892.00"
Ministry of Justice,HM Courts Service,02-Feb-11,GZ999-North West Region,532000-Tangible GBV - Additions,CARILLION PLANNED MAINTENANCE,1481176,"£25,445.00"
Ministry of Justice,HM Courts Service,02-Feb-11,GZ999-North West Region,532000-Tangible GBV - Additions,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1481744,"£41,913.00"
Ministry of Justice,HM Courts Service,02-Feb-11,GZ999-North West Region,532000-Tangible GBV - Additions,CARILLION PLANNED MAINTENANCE,1481175,"£29,444.00"
Ministry of Justice,HM Courts Service,02-Feb-11,HZ999-North East and Yorkshire,222001-Maintenance,BAILEY MAINTENANCE LTD,1481048,"£47,944.00"
Ministry of Justice,HM Courts Service,02-Feb-11,HZ999-North East and Yorkshire,223001-Printing Postage and Office expenditure,HM PRISON SERVICE,1481525,"£83,035.00"
Ministry of Justice,HM Courts Service,02-Feb-11,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1481743,"£145,448.00"
Ministry of Justice,HM Courts Service,02-Feb-11,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,HOWARD RUSSEL CONSTRUCTION LTD,1481544,"£57,153.00"
Ministry of Justice,HM Courts Service,02-Feb-11,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1481743,"£42,108.00"
Ministry of Justice,HM Courts Service,02-Feb-11,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1481743,"£34,802.00"
Ministry of Justice,HM Courts Service,02-Feb-11,IZ999-RCJ Group,222001-Maintenance,CARILLION PLANNED MAINTENANCE,1481175,"£65,976.00"
Ministry of Justice,HM Courts Service,02-Feb-11,IZ999-RCJ Group,710800-Creditor <1 yr - Third Party Monies,THE OFFICIAL RECEIVER,302209,"£73,050.00"
Ministry of Justice,HM Courts Service,02-Feb-11,IZ999-RCJ Group,710800-Creditor <1 yr - Third Party Monies,THE OFFICIAL RECEIVER,302209,"£99,000.00"
Ministry of Justice,HM Courts Service,03-Feb-11,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,305550,"£27,770.00"
Ministry of Justice,HM Courts Service,03-Feb-11,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,304788,"£28,698.00"
Ministry of Justice,HM Courts Service,03-Feb-11,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,303364,"£25,005.00"
Ministry of Justice,HM Courts Service,03-Feb-11,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,303661,"£41,217.00"
Ministry of Justice,HM Courts Service,03-Feb-11,WW010-Balance Sheet HMCS,721200-Creditors > 1 year - Other,CUMBRIA COUNTY COUNCIL,305594,"£31,485.00"
Ministry of Justice,HM Courts Service,04-Feb-11,AG999-Estates Directorate HMCS HQ,532000-Tangible GBV - Additions,ALL SECURITY SYSTEMS LTD,1484253,"£90,544.00"
Ministry of Justice,HM Courts Service,04-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,R&M CLARKSON LTD,1484835,"£29,545.00"
Ministry of Justice,HM Courts Service,04-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,R&M CLARKSON LTD,1484834,"£171,100.00"
Ministry of Justice,HM Courts Service,04-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,ROLFE CONTRACTING LTD,1484874,"£50,541.00"
Ministry of Justice,HM Courts Service,04-Feb-11,CZ999-South East Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1484759,"£28,934.00"
Ministry of Justice,HM Courts Service,04-Feb-11,CZ999-South East Region,222002-Other Property Costs,HI-SPEC FACILITIES SUPPORT CO PLC,1484552,"£258,548.00"
Ministry of Justice,HM Courts Service,04-Feb-11,CZ999-South East Region,222001-Maintenance,EC HARRIS LLP,1484450,"£153,000.00"
Ministry of Justice,HM Courts Service,04-Feb-11,DZ999-South West Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1484758,"£38,874.00"
Ministry of Justice,HM Courts Service,04-Feb-11,DZ999-South West Region,532000-Tangible GBV - Additions,STRUCTURA UK LIMITED,1484943,"£106,786.00"
Ministry of Justice,HM Courts Service,04-Feb-11,DZ999-South West Region,532000-Tangible GBV - Additions,AC MECHANICAL SERVICES LTD,305908,"£54,613.00"
Ministry of Justice,HM Courts Service,04-Feb-11,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,GVA GRIMLEY LTD,1484516,"£29,940.00"
Ministry of Justice,HM Courts Service,04-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,HENSTAFF CONSTRUCTION LTD,1484546,"£90,692.00"
Ministry of Justice,HM Courts Service,04-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,SC MOORE LTD,1484885,"£73,139.00"
Ministry of Justice,HM Courts Service,04-Feb-11,GZ999-North West Region,222001-Maintenance,CARILLION PLANNED MAINTENANCE,1484351,"£29,762.00"
Ministry of Justice,HM Courts Service,04-Feb-11,GZ999-North West Region,532000-Tangible GBV - Additions,BASTION SECURITY INSTALLATIONS,1484289,"£27,567.00"
Ministry of Justice,HM Courts Service,04-Feb-11,GZ999-North West Region,610300-Debtors < 1 Year - Deposits & Advances,NEOPOST LTD,1484749,"£141,475.00"
Ministry of Justice,HM Courts Service,04-Feb-11,HZ999-North East and Yorkshire,222001-Maintenance,DTZ DEBENHAM TIE LEUNG,1484440,"£59,402.00"
Ministry of Justice,HM Courts Service,04-Feb-11,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,ASSURED FIRE & SECURITY LTD,1484240,"£27,195.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS TAYLOR HALDANE BARLEX LLP#CM77 8YG,306730,"£35,733.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,FRISBY SOLICITORS LTD T/A FRISBY & CO#DX 14564,1485086,"£80,584.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS NORTON ROSE SOLICITORS#DX 85,1485276,"£32,729.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS NORTON ROSE SOLICITORS#DX 85,1485276,"£305,211.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS KEOGHS LLP#DX 723540,306481,"£25,354.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS KEOGHS LLP#DX 721682,306480,"£58,418.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS JANES SOLICITORS#DX 140544,1485232,"£25,147.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS GEOFFREY MILLER SOLICITORS#DX 14426,1485193,"£26,715.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS DAVENPORT LYONS#W1S 3NL,306278,"£376,867.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS MORRISON & MASTERS#DX 132171,306559,"£32,861.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS ROHAN & CO#DX 155890,1485305,"£76,564.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS WILLIAM BACHE & CO#DX 124686,306799,"£36,434.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS PANNONE LLP#WC2A 1HR,1485285,"£906,143.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS PETERS & PETERS#DX 407,1485293,"£63,512.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS LT LAW#W1D 3QL,306518,"£32,840.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS TANK JOWETT#DX 51150,1485347,"£43,281.00"
