DEPARTMENT FAMILY,ENTITY,DATE,EXPENSE_AREA,EXPENSE_TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
Ministry of Justice,HMCS,01-Jul-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,139537,"£52,369.47"
Ministry of Justice,HMCS,01-Jul-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,140648,"£37,893.23"
Ministry of Justice,HMCS,01-Jul-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,141314,"£27,876.87"
Ministry of Justice,HMCS,01-Jul-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,141431,"£33,329.45"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,263000-Other Contracted Out Services,STAFFORDSHIRE COUNTY COUNCIL,1023830,"£176,206.53"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,223000-Other Expenditure,TNT UK LTD,1023844,"£61,095.56"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,223001-Printing Postage and Office expenditure,GOVERNMENT CAR & DESPATCH AGENCY,1023733,"£34,655.24"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,261000-Fuel and Utilities,EDF ENERGY LTD,1023713,"£62,607.80"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,261000-Fuel and Utilities,EDF ENERGY LTD,1023713,"£61,334.49"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,532000-Tangible GBV - Additions,HEWLETT PACKARD LTD,1023744,"£151,815.17"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1023670,"£30,158.34"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1023670,"£35,385.13"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1023670,"£25,439.93"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1023670,"£94,787.25"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1023727,"£61,523.00"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1023727,"£120,620.56"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1023727,"£962,451.75"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1023727,"£96,823.39"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1023727,"£148,421.04"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1023727,"£392,290.97"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,532000-Tangible GBV - Additions,ATOS ORIGIN IT SERVICES UK LTD,1023670,"£799,288.06"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1023770,"£27,025.00"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,STERIA LTD,1023831,"£31,991.67"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,STERIA LTD,1023831,"£37,726.59"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1023670,"£27,791.10"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,CABLE & WIRELESS,1023689,"£103,635.00"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,VODAFONE CORPORATE LTD,1023853,"£25,246.40"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,246000-Current Grants,VICTIM SUPPORT,1023852,"£2,000,000.00"
Ministry of Justice,MoJ HQ,01-Jul-10,ZZ900-MoJ HQ,246000-Current Grants,VICTIM SUPPORT,1023852,"£9,237,499.00"
Ministry of Justice,HMCS,02-Jul-10,AA499-HMCS Change Programme,265000-IT & Telecommunications,LOGICA UK LTD,1264009,"£89,932.86"
Ministry of Justice,HMCS,02-Jul-10,AU999-National Taxing Teams,226000-Court Costs,SANDERS WITHERSPOON LLP,1264197,"£36,990.73"
Ministry of Justice,HMCS,02-Jul-10,AV329-CP-Mag. Courts Operational Bus.sys,532000-Tangible GBV - Additions,LOGICA UK LTD,1264009,"£79,912.92"
Ministry of Justice,HMCS,02-Jul-10,BZ999-London Region,532000-Tangible GBV - Additions,COFELY LTD,1263761,"£110,922.71"
Ministry of Justice,HMCS,02-Jul-10,BZ999-London Region,532000-Tangible GBV - Additions,GEOFFREY OSBORNE LTD,1263870,"£142,228.39"
Ministry of Justice,HMCS,02-Jul-10,BZ999-London Region,532000-Tangible GBV - Additions,TURNER & TOWNSEND PROJECT MANAGEMENT,1264279,"£132,615.94"
Ministry of Justice,HMCS,02-Jul-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,ESSEX COUNTY COUNCIL,1263836,"£110,560.62"
Ministry of Justice,HMCS,02-Jul-10,CZ999-South East Region,222001-Maintenance,BAILEY MAINTENANCE LTD,1263673,"£30,481.03"
Ministry of Justice,HMCS,02-Jul-10,DZ999-South West Region,222001-Maintenance,KIER BUILDING SERVICES ENG,141750,"£33,676.43"
Ministry of Justice,HMCS,02-Jul-10,DZ999-South West Region,223001-Printing Postage and Office expenditure,ROYAL MAIL,1264189,"£75,432.72"
Ministry of Justice,HMCS,02-Jul-10,DZ999-South West Region,532000-Tangible GBV - Additions,ROKFORCE,1264182,"£30,923.05"
Ministry of Justice,HMCS,02-Jul-10,DZ999-South West Region,532000-Tangible GBV - Additions,CEI ELECTRICAL LTD,1263749,"£66,880.35"
Ministry of Justice,HMCS,02-Jul-10,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,GLOUCESTERSHIRE COUNTY COUNCIL,1263874,"£32,414.50"
Ministry of Justice,HMCS,02-Jul-10,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,GLOUCESTERSHIRE COUNTY COUNCIL,1263874,"£54,634.24"
Ministry of Justice,HMCS,02-Jul-10,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,GLOUCESTERSHIRE COUNTY COUNCIL,1263874,"£101,901.48"
Ministry of Justice,HMCS,02-Jul-10,EZ999-Wales Region,222001-Maintenance,KIER BUILDING SERVICES ENG,141750,"£50,020.06"
Ministry of Justice,HMCS,02-Jul-10,EZ999-Wales Region,532000-Tangible GBV - Additions,WB GRIFFITHS & SON LTD,1264307,"£55,342.88"
