DEPARTMENTAL FAMILY,ENTITY,DATE,EXPENSE_AREA_3,EXPENSE_TYPE_3,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
Ministry of Justice,MoJ HQ,14-Jul-11,PZ501-MoJ ICT Feeder,212001-Agency staff,METHODS CONSULTING,1053446,"£26,664.00"
Ministry of Justice,MoJ HQ,28-Jul-11,PZ501-MoJ ICT Feeder,212001-Agency staff,CAPITA RESOURCING LTD,1054442,"£61,931.52"
Ministry of Justice,MoJ HQ,05-Jul-11,PZ501-MoJ ICT Feeder,212001-Agency staff,CAPITA RESOURCING LTD,1052705,"£26,061.59"
Ministry of Justice,MoJ HQ,07-Jul-11,PZ501-MoJ ICT Feeder,212001-Agency staff,CAPITA RESOURCING LTD,1052833,"£31,789.13"
Ministry of Justice,MoJ HQ,14-Jul-11,PZ501-MoJ ICT Feeder,212001-Agency staff,CAPITA RESOURCING LTD,1053288,"£36,792.64"
Ministry of Justice,MoJ HQ,14-Jul-11,PZ501-MoJ ICT Feeder,212001-Agency staff,CAPITA RESOURCING LTD,1053288,"£37,065.17"
Ministry of Justice,MoJ HQ,18-Jul-11,PZ501-MoJ ICT Feeder,212001-Agency staff,CAPITA RESOURCING LTD,1053680,"£34,535.83"
Ministry of Justice,MoJ HQ,18-Jul-11,PZ501-MoJ ICT Feeder,212001-Agency staff,CAPITA RESOURCING LTD,1053680,"£36,987.30"
Ministry of Justice,MoJ HQ,21-Jul-11,PZ501-MoJ ICT Feeder,212001-Agency staff,CAPITA RESOURCING LTD,1053904,"£34,079.98"
Ministry of Justice,MoJ HQ,25-Jul-11,LZ600-Transforming Justice,212001-Agency staff,CENTRAL OFFICE OF INFORMATION (COI),1054203,"£26,901.00"
Ministry of Justice,MoJ HQ,28-Jul-11,PZ501-MoJ ICT Feeder,212001-Agency staff,CAPITA RESOURCING LTD,1054442,"£38,016.48"
