Departmental Family,ENTITY,DATE,EXPENSE_AREA_1,EXPENSE_TYPE_3,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
Ministry of Justice,HMCTS,07/Jun/2011 ,AZ999-HMCS Total,130001-Other Income,MARSTON GROUP,1627803,"Ł25,081.56"
Ministry of Justice,HMCTS,10/Jun/2011 ,AZ999-HMCS Total,130001-Other Income,MARSTON GROUP,1633196,"Ł77,045.05"
Ministry of Justice,HMCTS,14/Jun/2011 ,AZ999-HMCS Total,130001-Other Income,MARSTON GROUP,1635927,"Ł100,785.96"
Ministry of Justice,HMCTS,10/Jun/2011 ,AZ999-HMCS Total,211000-Judicial Salaries - Salaried,JUDICIAL PENSIONS SCHEME,1633117,"Ł1,314,121.75"
Ministry of Justice,HMCTS,10/Jun/2011 ,AZ999-HMCS Total,211000-Judicial Salaries - Salaried,JUDICIAL PENSIONS SCHEME,1633117,"Ł4,732,771.36"
Ministry of Justice,HMCTS,21/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,212001-Agency staff,THE SCOTTISH GOVERNMENT,1645344,"Ł42,000.00"
Ministry of Justice,HMCTS,07/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,CBRE CB RICHARD ELLIS,1627460,"Ł34,431.76"
Ministry of Justice,HMCTS,07/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,MAPELEY STEPS CONTRACTOR LTD,1627798,"Ł73,649.18"
Ministry of Justice,HMCTS,07/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,SANDERSON WEATHERALL,1628066,"Ł84,450.00"
Ministry of Justice,HMCTS,07/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,LAND SECURITIES PROPERTIES LTD,1627751,"Ł95,177.77"
Ministry of Justice,HMCTS,07/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,COLLIER & MADGE PLC,1627487,"Ł172,350.00"
Ministry of Justice,HMCTS,07/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,ROSEMOUNT POCOCK STREET LLP,1628056,"Ł71,656.80"
Ministry of Justice,HMCTS,08/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,EDDISONS,1630315,"Ł40,397.00"
Ministry of Justice,HMCTS,10/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,CUSHMAN & WAKEFIELD,1632890,"Ł189,990.30"
Ministry of Justice,HMCTS,10/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,DERWENT LONDON PLC T/A DERWENT LONDON PROPERTY MANAGEMENT,1632907,"Ł104,750.00"
Ministry of Justice,HMCTS,10/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,CAPITA SYMONDS,1632836,"Ł588,367.20"
Ministry of Justice,HMCTS,10/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,PHOENIX BEARD,1633510,"Ł218,939.26"
Ministry of Justice,HMCTS,10/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,MONTAGU EVANS,1633245,"Ł85,625.00"
Ministry of Justice,HMCTS,10/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,JONES LANG LASALLE LTD,1633103,"Ł121,018.80"
Ministry of Justice,HMCTS,10/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,HELIX PROPERTIES,1633048,"Ł35,920.80"
Ministry of Justice,HMCTS,14/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,CITY OF LONDON,1635571,"Ł187,500.00"
Ministry of Justice,HMCTS,14/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,ABERDEEN PROPERTY INVESTORS,1635423,"Ł92,911.50"
Ministry of Justice,HMCTS,17/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,HMRC,1641423,"Ł27,354.10"
Ministry of Justice,HMCTS,17/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,MARDAN NORWICH LTD,411346,"Ł144,000.00"
Ministry of Justice,HMCTS,17/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,ASHWELL ROGERS LLP,1641157,"Ł278,250.00"
Ministry of Justice,HMCTS,17/Jun/2011 ,TZ999-TS Consolidated Agency Accounts,221000-Property Rent and Rates,SAVILLS COMMERCIAL LTD,1641790,"Ł54,744.00"
