ENTITY,OU,DATE,BE_LEVEL_7,EXPENSE_AREA_1,EXPENSE_AREA_3,EXPENSE_TYPE_3,EXPENSE_TYPE_6,PROG / ADMIN?,PROJECT_CODE,SPEND_CATEGORY,DESCRIPTION,DISTRIBUTION_AMOUNT,Contract Number,SUPPLIER,SUPPLIER_POSTCODE,SUPPLIER_TYPE,INV_NUM,TRANSACTION_NUMBER,TOTAL_INVOICE_VALUE
HMCTS,20,18-Nov-11,WW000,ZZ900-MoJ HQ,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,710112-Taxation - Income Tax - Local Fees,Balance Sheet,0,ITEM,,$350.00 ,,HMRC,BD98 8AA-PAYE,,WW00001101,1166,"$9,471,702.73 "
HMCTS,20,18-Nov-11,WW000,ZZ900-MoJ HQ,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,710112-Taxation - Income Tax - Local Fees,Balance Sheet,0,ITEM,,"$1,527,740.08 ",,HMRC,BD98 8AA-PAYE,,WW00001101,1166,"$9,471,702.73 "
HMCTS,20,18-Nov-11,WW000,ZZ900-MoJ HQ,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,710116-Income Tax - Student Loans Ng 2,Balance Sheet,0,ITEM,,"$25,901.00 ",,HMRC,BD98 8AA-PAYE,,WW00001101,1166,"$9,471,702.73 "
HMCTS,20,18-Nov-11,WW000,ZZ900-MoJ HQ,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,710114-Income Tax -  Main Payroll - Ng 2,Balance Sheet,0,ITEM,,"$2,598,261.88 ",,HMRC,BD98 8AA-PAYE,,WW00001101,1166,"$9,471,702.73 "
HMCTS,20,18-Nov-11,WW000,ZZ900-MoJ HQ,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,710115-Income Tax - Student Loans Ng 1,Balance Sheet,0,ITEM,,"$32,197.00 ",,HMRC,BD98 8AA-PAYE,,WW00001101,1166,"$9,471,702.73 "
HMCTS,20,18-Nov-11,WW000,ZZ900-MoJ HQ,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,710111-Taxation - Income Tax - Main Payroll NG1,Balance Sheet,0,ITEM,,"$5,295,752.89 ",,HMRC,BD98 8AA-PAYE,,WW00001101,1166,"$9,471,702.73 "
HMCTS,20,18-Nov-11,WW000,ZZ900-MoJ HQ,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,710122-National Insurance - Local Fees,Balance Sheet,0,ITEM,,"$846,803.63 ",,HMRC,BD98 8AA-PAYE,,WW00001102,1167,"$7,026,238.67 "
HMCTS,20,18-Nov-11,WW000,ZZ900-MoJ HQ,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,710126-NI Statutory Recoveries (Local Fees),Balance Sheet,0,ITEM,,"($1,883.46)",,HMRC,BD98 8AA-PAYE,,WW00001102,1167,"$7,026,238.67 "
HMCTS,20,18-Nov-11,WW000,ZZ900-MoJ HQ,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,710123-National Insurance -Main Payroll Ng 2,Balance Sheet,0,ITEM,,"$2,456,196.73 ",,HMRC,BD98 8AA-PAYE,,WW00001102,1167,"$7,026,238.67 "
HMCTS,20,18-Nov-11,WW000,ZZ900-MoJ HQ,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,710125-National Insurance - Statutory Recoveries Ng 2,Balance Sheet,0,ITEM,,"($139,251.63)",,HMRC,BD98 8AA-PAYE,,WW00001102,1167,"$7,026,238.67 "
HMCTS,20,18-Nov-11,WW000,ZZ900-MoJ HQ,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,710121-National Insurance - Main Payroll NG1,Balance Sheet,0,ITEM,,"$3,984,091.94 ",,HMRC,BD98 8AA-PAYE,,WW00001102,1167,"$7,026,238.67 "
HMCTS,20,18-Nov-11,WW000,ZZ900-MoJ HQ,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,710124-National Insurance - Statutory Recoveries Ng 1,Balance Sheet,0,ITEM,,"($114,254.62)",,HMRC,BD98 8AA-PAYE,,WW00001102,1167,"$7,026,238.67 "
HMCTS,20,15-Nov-11,SL201,XZ999-Total HMCTS,SL999-Centralised Frontline,211000-Judicial Salaries - Salaried,211323-Judicial Superannuation Higher,Programme,0,ITEM,Monthly payment of Judicial pensions,"$3,402,866.13 ",,JUDICIAL PENSIONS SCHEME,SW1H 9AJ,,AR10110291,1161,"$6,093,614.02 "
HMCTS,20,15-Nov-11,SL201,XZ999-Total HMCTS,SL999-Centralised Frontline,211000-Judicial Salaries - Salaried,211322-Judicial Superannuation Lower,Programme,0,ITEM,Monthly payment of Judicial pensions,"$2,690,747.89 ",,JUDICIAL PENSIONS SCHEME,SW1H 9AJ,,AR10110291,1161,"$6,093,614.02 "
HMCTS,21,15-Nov-11,CD113,XZ999-Total HMCTS,CZ999-South East Region,532000-Tangible GBV - Additions,532603-TA GBV Add CIS Labour Costs,Programme,F080,ITEM,CIS Labour - Chelmsford and Colchester - Construction,"$899,532.46 ",,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,CIS-LE10 3JF,,CN2513-01-17266,1815328,"$1,079,438.95 "
HMCTS,21,15-Nov-11,CD113,XZ999-Total HMCTS,CZ999-South East Region,532000-Tangible GBV - Additions,532603-TA GBV Add CIS Labour Costs,Programme,F080,VAT,,"$179,906.49 ",,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,CIS-LE10 3JF,,CN2513-01-17266,1815328,"$1,079,438.95 "
HMCTS,21,15-Nov-11,CD113,XZ999-Total HMCTS,CZ999-South East Region,532000-Tangible GBV - Additions,532603-TA GBV Add CIS Labour Costs,Programme,F080,ITEM,CIS Labour - Chelmsford and Colchester - Construction,"$873,038.15 ",,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,CIS-LE10 3JF,,CN2512-01-17265,1815328,"$1,047,645.78 "
HMCTS,21,15-Nov-11,CD113,XZ999-Total HMCTS,CZ999-South East Region,532000-Tangible GBV - Additions,532603-TA GBV Add CIS Labour Costs,Programme,F080,VAT,,"$174,607.63 ",,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,CIS-LE10 3JF,,CN2512-01-17265,1815328,"$1,047,645.78 "
HMCTS,20,18-Nov-11,WW000,ZZ900-MoJ HQ,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,710112-Taxation - Income Tax - Local Fees,Balance Sheet,0,ITEM,,"$918,388.55 ",,HMRC,BD98 8AA-PAYE,,WW00001099,1164,"$918,388.55 "
HMCTS,21,29-Nov-11,TC150,XZ999-Total HMCTS,AG999-HQ - Estates,222002-Other Property Costs,222171-TS PRIME FUP Costs,Programme,0,ITEM,TS FACILITY UNIT PRICE COSTS,"$732,922.90 ",,DEPARTMENT FOR WORK & PENSIONS (DWP),CF14 3UW,,5024527,1832408,"$890,871.50 "
