DEPARTMENT FAMILY,ENTITY,DATE,EXPENSE_AREA,EXPENSE_TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
Ministry of Justice,HMCS,01-Sep-10,AV332-CBMP Civil Bus Mod Programme,532000-Tangible GBV - Additions,ARK BUILD PLC,1325086,"£159,744.27"
Ministry of Justice,HMCS,01-Sep-10,BZ999-London Region,222002-Other Property Costs,MITIE SECURITY LTD,1325443,"£754,764.11"
Ministry of Justice,HMCS,01-Sep-10,BZ999-London Region,532000-Tangible GBV - Additions,TURNER & TOWNSEND PROJECT MANAGEMENT,1326283,"£128,028.74"
Ministry of Justice,HMCS,01-Sep-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,DURKAN ESTATES LTD,1325230,"£83,718.75"
Ministry of Justice,HMCS,01-Sep-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,CBRE RICHARD ELLIS,1325154,"£124,041.81"
Ministry of Justice,HMCS,01-Sep-10,DZ999-South West Region,222001-Maintenance,KIER BUILDING SERVICES ENG,185486,"£33,676.43"
Ministry of Justice,HMCS,01-Sep-10,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,KING STURGE LLP,1325376,"£40,063.68"
Ministry of Justice,HMCS,01-Sep-10,EZ999-Wales Region,532000-Tangible GBV - Additions,WB GRIFFITHS & SON LTD,1326302,"£54,247.82"
Ministry of Justice,HMCS,01-Sep-10,EZ999-Wales Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON & CAPITAL PROPERTIES LTD,1325412,"£219,002.96"
Ministry of Justice,HMCS,01-Sep-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON & CAPITAL PROPERTIES LTD,1325412,"£222,307.80"
Ministry of Justice,HMCS,01-Sep-10,GZ999-North West Region,610300-Debtors < 1 Year - Deposits & Advances,NEOPOST LTD,1325468,"£100,000.00"
Ministry of Justice,HMCS,01-Sep-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON & CAPITAL PROPERTIES LTD,1325412,"£134,745.92"
Ministry of Justice,HMCS,01-Sep-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON & CAPITAL PROPERTIES LTD,1325412,"£130,994.44"
Ministry of Justice,HMCS,01-Sep-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON & CAPITAL PROPERTIES LTD,1325412,"£135,283.92"
Ministry of Justice,HMCS,01-Sep-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON & CAPITAL PROPERTIES LTD,1325412,"£100,443.41"
Ministry of Justice,HMCS,01-Sep-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,LAMBERT SMITH HAMPTON,1325385,"£30,498.01"
Ministry of Justice,HMCS,01-Sep-10,HZ999-North East and Yorkshire,610400-Debtors <1 year - Prepayments & Accrued Income,MPS2 LTD,1325459,"£46,206.88"
Ministry of Justice,HMCS,01-Sep-10,IZ999-RCJ Group,610400-Debtors <1 year - Prepayments & Accrued Income,EDDISONS,1325236,"£33,999.81"
