Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type,Contract Number,Supplier Type
Ministry of Justice,HMCTS,19-Dec-11,710100-Creditors < 1 year - Other Taxation & Social Security,WW000-Balance Sheet,HMRC,1178,"-£134,395.89",,BD98 8AA-PAYE,0,Balance Sheet,,
Ministry of Justice,HMCTS,19-Dec-11,710100-Creditors < 1 year - Other Taxation & Social Security,WW000-Balance Sheet,HMRC,1178,"-£96,712.37",,BD98 8AA-PAYE,0,Balance Sheet,,
Ministry of Justice,HMCTS,13-Dec-11,222002-Other Property Costs,BZ999-London Region,SANDERSON WEATHERALL,1850273,"-£70,375.00",,LS1 4WG-RENT,0,Programme,,
Ministry of Justice,MoJ HQ,23-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,ATOS IT SERVICES UK LTD,1064641,"-£66,648.20",Computer services supplied to the specification of the recipient,WV10 6UH,0,Balance Sheet,,
Ministry of Justice,HMCTS,29-Dec-11,223001-Printing Postage and Office expenditure,FZ999-Midlands Region,ROYAL MAIL GROUP PLC,543399,"-£58,027.22",,PE4 5BR,0,Programme,,
Ministry of Justice,HMCTS,29-Dec-11,223001-Printing Postage and Office expenditure,FZ999-Midlands Region,ROYAL MAIL GROUP PLC,543399,"-£58,027.00",,PE4 5BR,0,Programme,,
Ministry of Justice,HMCTS,29-Dec-11,223001-Printing Postage and Office expenditure,FZ999-Midlands Region,ROYAL MAIL GROUP PLC,543399,"-£56,027.00",,PE4 5BR,0,Programme,,
Ministry of Justice,MoJ HQ,29-Dec-11,223000-Other Expenditure,QY300-Fleet Car Mgmt,WILLIS LTD,1064850,"-£55,875.60",,EC3M 7DQ,0,Admin,,
Ministry of Justice,MoJ HQ,29-Dec-11,223000-Other Expenditure,QY300-Fleet Car Mgmt,WILLIS LTD,1064850,"-£55,875.60",,EC3M 7DQ,0,Admin,,
Ministry of Justice,MoJ HQ,08-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1063180,"-£45,622.32",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet,,
Ministry of Justice,MoJ HQ,19-Dec-11,710100-Creditors < 1 year - Other Taxation & Social Security,WW000-Balance Sheet,HMRC,1183,"-£38,433.45","Payments in relation to PAYE, NIC and Corporation Tax",BD98 8AA-PAYE,0,Balance Sheet,,
Ministry of Justice,HMCTS,13-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,MITIE SECURITY LTD,1849936,"-£29,766.31",Security Services,MK6 2WX,0,Balance Sheet,,
Ministry of Justice,HMCTS,02-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,MITIE SECURITY LTD,1838110,"-£29,628.79",Security Services,MK6 2WX,0,Balance Sheet,,
Ministry of Justice,HMCTS,02-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,MITIE SECURITY LTD,1838110,"-£29,530.18",Security Services,MK6 2WX,0,Balance Sheet,,
Ministry of Justice,MoJ HQ,23-Dec-11,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,HEWLETT PACKARD LTD,1064690,"-£26,254.43",,RG12 1HN,0,Admin,,
Ministry of Justice,MoJ HQ,22-Dec-11,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,1064421,"-£25,558.20",,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,15-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1063676,"£25,000.00",CCN-A-R-02510-01 V05-LSC - Provide and support Infrastructure for Oracle Business Intelligence in Andover and Birmingham- PO400- Ann Olajide,WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,22-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,ATOS IT SERVICES UK LTD,1064278,"£25,000.00",CCN-A-R-02510-01 V05-LSC - Provide and support Infrastructure for Oracle Business Intelligence in Andover and Birmingham,WV10 6UH,0,Balance Sheet
Ministry of Justice,MoJ HQ,22-Dec-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,ATOS IT SERVICES UK LTD,1064278,"£25,000.00",Computer services supplied to the specification of the recipient,WV10 6UH,0,Balance Sheet
Ministry of Justice,MoJ HQ,22-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,GLOBAL CROSSING (UK) TELECOMMUNICATIONS LTD,1064392,"£25,025.00",DISC to MINT - Global Crossing - one-off Charge (Service Wrap CCN 005)),RG24 8NA,E023,Programme
Ministry of Justice,HMCTS,08-Dec-11,710800-Creditor <1 yr - Third Party Monies,SL999-Centralised Frontline,ONE TIME CAPS,529872,"£25,042.65",,BD1 4XZ,0,Programme
Ministry of Justice,HMCTS,21-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,HZ999-North East Region,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1860165,"£25,088.89",,RATES,0,Programme
Ministry of Justice,MoJ HQ,23-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1064747,"£25,139.44",,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,01-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1062459,"£25,202.11",CCN 1650-01 LSC (Legal Services Commission) Main Project CCN Fixed Charges,WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,01-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1062459,"£25,202.11",CCN 1650-01 LSC (Legal Services Commission) Main Project CCN Fixed Charges,WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,19-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1064001,"£25,202.11",CCN 1650-01 LSC (Legal Services Commission) Main Project CCN Fixed Charges,WV10 6UH,0,Programme
Ministry of Justice,HMCTS,06-Dec-11,610400-Debtors <1 year - Prepayments & Accrued Income,GZ999-North West Region,LONDON & CAPITAL PROPERTIES LTD,1841190,"£25,226.74",,NW1 3HG,0,Programme
Ministry of Justice,MoJ HQ,01-Dec-11,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1062531,"£25,234.00",PO301 - CCN F378 Security Service,WA3 9BD,0,Programme
