Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Description,Supplier Postcode ,Project Code,Expenditure Type
Ministry of Justice,MoJ HQ,17-Dec-12,266000-Judicial Costs,RG999-CFLAP Accumulator,CALDER CONFERENCES LTD,1089489,"27,207.50",Venues for MoJ Coroner training courses throughout 2012/13,LS16 6RF,0,Admin
Ministry of Justice,MoJ HQ,06-Dec-12,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1088592,"33,781.63",Venue Hire relating to training events for Judiciary,LS16 6RF,0,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (COOKHAM WOOD) LTD,1089296,"43,302.09","Operation Delivery services in respect of Prisons, YOIs or STCs",WR12 7LJ,0,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),1088438,"487,682.00",Escorting contract for YOIs - FY 12-13,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,MEDOMSLEY TRAINING SERVICES LTD,1088762,"649,427.98","Operation Delivery services in respect of Prisons, YOIs or STCs",RG29 9XB,0,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (ONLEY) LTD,1089297,"1,237,694.10","Operation Delivery services in respect of Prisons, YOIs or STCs",WR12 7LJ,0,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (COOKHAM WOOD) LTD,1089296,"1,321,985.62","Operation Delivery services in respect of Prisons, YOIs or STCs",WR12 7LJ,0,Programme
Ministry of Justice,MoJ HQ,04-Dec-12,245000-Grants in Aid to NDPBs,RC999-Criminal Justice Group - OMS,YOUTH JUSTICE BOARD FOR ENGLAND & WALES,2395,"14,650,000.00",Grant-in-aid requirement for Arm's Length Body,SW1H 9AJ,0,Grant
Ministry of Justice,MoJ HQ,03-Dec-12,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,CRIMINAL CASES REVIEW COMMISSION#KY14620001,2383,"430,000.00",Grant-in-aid requirement for Arm's Length Body,B3 2PW,0,Grant
Ministry of Justice,MoJ HQ,31-Dec-12,223000-Other Expenditure,LZ600-Transforming Justice,TNT UK LTD,1090613,"41,283.44",Monthly 'storage' and 'activity' costs for paper records stored by TNT on MoJ's behalf at its secure repositories at Swadlincote. £75k per month,BL8 9AR,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,LZ600-Transforming Justice,SPECIALIST COMPUTER CENTRES PLC (SCC),1090038,"75,000.00",Squiz Enterprise - Service Level Agreement SLA 01 April 2012 - 31 Mar 2013,B11 2LE,0,Admin
Ministry of Justice,MoJ HQ,12-Dec-12,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,2422,"100,531.00",Repayment to National Savings and Investments of loan to pay for modernisation development costs.,SW1V 2QX,0,Admin
Ministry of Justice,MoJ HQ,06-Dec-12,266000-Judicial Costs,LZ600-Transforming Justice,THOMSON REUTERS T/A SWEET & MAXWELL LTD,1088839,"108,836.00",Legal publications for the judiciary and courts,SP10 9AG,0,Admin
Ministry of Justice,MoJ HQ,03-Dec-12,266000-Judicial Costs,LZ600-Transforming Justice,OXFORD UNIVERSITY PRESS,1088459,"111,197.00",Legal publications for the judiciary and courts,OX2 6DP,0,Admin
Ministry of Justice,MoJ HQ,21-Dec-12,263000-Other Contracted Out Services,LZ600-Transforming Justice,STAFFORDSHIRE COUNTY COUNCIL,1090226,"173,780.83",Staffordshire Council County provides the Claims Management Regulation Monitoring and Compliance Unit under contract to the MOJ.,ST16 2LG,0,Admin
Ministry of Justice,MoJ HQ,21-Dec-12,263000-Other Contracted Out Services,LZ600-Transforming Justice,STAFFORDSHIRE COUNTY COUNCIL,1090226,"173,780.83",Staffordshire Council County provides the Claims Management Regulation Monitoring and Compliance Unit under contract to the MOJ.,ST16 2LG,0,Admin
Ministry of Justice,MoJ HQ,12-Dec-12,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,2421,"531,732.40",Provision of Court Funds Office service for the 2012/13 Financial Year,SW1V 2QX,0,Admin
Ministry of Justice,MoJ HQ,03-Dec-12,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,CICA#KY14720001,2384,"15,000,000.00",Grant-in-aid requirement for Arm's Length Body,G2 4LN,0,Grant
Ministry of Justice,MoJ HQ,03-Dec-12,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,THE PAROLE BOARD#KY14820001,2385,"900,000.00",Grant-in-aid requirement for Arm's Length Body,SW1P 2DX,0,Grant
Ministry of Justice,MoJ HQ,20-Dec-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1089865,"26,489.50","Rent & Services charges - Axis, Birmingham",BS8 9AQ,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1089865,"27,623.75","Rent & Services charges - Axis, Birmingham",BS8 9AQ,0,Admin
Ministry of Justice,MoJ HQ,06-Dec-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,2404,"30,992.86",Quarter 1 2012-13,HP2 4XN,0,Admin
Ministry of Justice,MoJ HQ,06-Dec-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,2404,"30,992.86",Quarter 2 2012-13,HP2 4XN,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,CBRE LTD,1089718,"40,071.00",Rent & Services charges - 30 Millbank,G2 6UA-COLUMBIN,0,Admin
Ministry of Justice,MoJ HQ,17-Dec-12,222001-Maintenance,NZ406-Strategic Estates Feeder,GLENBEIGH CONSTRUCTION LTD T/A GLENBEIGH OFF SITE LTD,1089525,"44,615.21","Refurbish the 3 floors of Hunters Walk in Chester, including fitting a DDA compliant lift to support the 3 floors of the building.",CIS-SO18 2RZ,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1089865,"45,431.34","Rent & Services charges - Axis, Birmingham",BS8 9AQ,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1089865,"49,326.06","Rent & Services charges - Axis, Birmingham",BS8 9AQ,0,Admin
Ministry of Justice,MoJ HQ,17-Dec-12,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1089514,"51,026.37","Electricity supply in 2012-13 to: 102 Petty France, Steel House and Clive House.",PL3 5XQ,0,Admin
Ministry of Justice,MoJ HQ,06-Dec-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,HP ENTERPRISE SERVICES UK LTD,1088700,"51,487.81","RFS_9032	 Move of AMP House personell into GH. 						 			",RG12 1HN,0,Admin
Ministry of Justice,MoJ HQ,06-Dec-12,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,MITIE JUSTICE LTD,1088767,"57,802.50",TFM Project YJB Relocation Space Planning for MoJ HQ Estate Soft Services (Security and Internal Moves),CIS-BS16 7FH,0,Admin
Ministry of Justice,MoJ HQ,21-Dec-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,CITY OF WESTMINSTER,1090144,"60,945.00",Business Rates - Ashley House,,0,Admin
Ministry of Justice,MoJ HQ,28-Dec-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,BNP PARIBAS REAL ESTATE,1090403,"62,500.00",Rent - 2 Carlton Gardens,B3 2BJ,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1089665,"69,694.50",CCN A-R-03104-02-v03 - YJB to MOJ ICT Transition - Design and Transition,WV10 6UH,0,Admin
