Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type,Contract Number,Supplier Type
Ministry of Justice,HMCTS,17-Jan-12,532000-Tangible GBV - Additions,CZ999-South East Region,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,1885851,"-£889,666.37",,CIS-LE10 3JF,F081,Programme,,
Ministry of Justice,HMCTS,17-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,UK COURT SERVICES LTD,1886769,"-£95,185.97",Provision under a PFI agreement of accommodation for office or other governmental use,WR12 7LJ,0,Balance Sheet,,
Ministry of Justice,HMCTS,27-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,DERBYSHIRE COURTS LTD,1900507,"-£93,342.07",Provision under a PFI agreement of accommodation for office or other governmental use,SE1 9RA,0,Balance Sheet,,
Ministry of Justice,HMCTS,27-Jan-12,222002-Other Property Costs,BZ999-London Region,DERBYSHIRE COURTS LTD,1900507,"-£89,342.07",,SE1 9RA,0,Programme,,
Ministry of Justice,HMCTS,06-Jan-12,222002-Other Property Costs,BZ999-London Region,DERBYSHIRE COURTS LTD,1875513,"-£88,213.63",,SE1 9RA,0,Programme,,
Ministry of Justice,HMCTS,06-Jan-12,222002-Other Property Costs,BZ999-London Region,DERBYSHIRE COURTS LTD,1875513,"-£87,448.57",,SE1 9RA,0,Programme,,
Ministry of Justice,HMCTS,17-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,MITIE SECURITY LTD,1886285,"-£55,670.30",Security Services,MK6 2WX,0,Balance Sheet,,
Ministry of Justice,MoJ HQ,16-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,DETICA LTD,1065900,"-£35,384.93",Computer services supplied to the specification of the recipient,GU2 7YP,0,Balance Sheet,,
Ministry of Justice,MoJ HQ,16-Jan-12,266000-Judicial Costs,LZ600-Transforming Justice,COUNCIL OF LAW REPORTING,1065891,"-£31,482.00",,WC2A 1PP,0,Admin,,
Ministry of Justice,HMCTS,10-Jan-12,223001-Printing Postage and Office expenditure,AQ999-HQ - Finance & Governance,ROYAL MAIL GROUP PLC,1878297,"-£31,346.92",,BL4 9XX,0,Admin,,
Ministry of Justice,HMCTS,03-Jan-12,261000-Fuel and Utilities,FZ999-Midlands Region,CORONA ENERGY,1872320,"-£30,695.16",,NW4 3RJ-RET 4,0,Programme,,
Ministry of Justice,HMCTS,13-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,MITIE SECURITY LTD,1882586,"-£29,766.31",Security Services,MK6 2WX,0,Balance Sheet,,
Ministry of Justice,HMCTS,04-Jan-12,222002-Other Property Costs,SL999-Centralised Frontline,UKI CHARITABLE FOUNDATION,1874436,"-£26,093.12",,LE1 7GJ,0,Programme,,
Ministry of Justice,MoJ HQ,30-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,ATOS IT SERVICES UK LTD,1066885,"£25,000.00",Computer services supplied to the specification of the recipient,WV10 6UH,0,Balance Sheet,,
Ministry of Justice,HMCTS,20-Jan-12,532000-Tangible GBV - Additions,FZ999-Midlands Region,SITEC INTERIORS LTD,1893259,"£25,006.66",CIS Labour - Coventry Combined Court - Sitec - CPIG Custody Fire Works - Installation new door and dampers,CIS-B1 3AP,0,Programme,,SME
Ministry of Justice,MoJ HQ,09-Jan-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1065426,"£25,029.35",,RG12 1HN,0,Programme
Ministry of Justice,HMCTS,04-Jan-12,265000-IT & Telecommunications,AT899-HQ - ICT,LOGICA UK LTD,1873836,"£25,124.00","CCN L-R-2965-01 - Development of an updated version of the following Applications in order to support an extended CPC National Coded Party range: CaseMan (including CCBC), CAPS, CPC and FamilyMan.",CF31 9AP,0,Programme
Ministry of Justice,HMCTS,13-Jan-12,222001-Maintenance,AP999-HQ - Strategy & Change,EC HARRIS LLP,1882336,"£25,265.77",Works at Fleetbank House -MA fees.,M60 3NT,0,Programme
Ministry of Justice,HMCTS,19-Jan-12,311200-Criminal Legal Aid,SL999-Centralised Frontline,MESSRS THE JONATHAN MORRISSEY PRACTICE#DX7644,560924,"£25,365.60",,DX7644,0,Programme
Ministry of Justice,HMCTS,27-Jan-12,222001-Maintenance,BZ999-London Region,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1900785,"£25,371.66",London Estates - Mitie Engineering - CIS LABOUR -  Monthly M&E Contract 11/12,CIS-PO1 9DB,0,Programme
Ministry of Justice,HMCTS,03-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,EC HARRIS LLP,1872347,"£25,500.00",Estate Management Services,M60 3NT,0,Balance Sheet
Ministry of Justice,HMCTS,24-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,DX NETWORK SERVICES LTD,1895330,"£25,703.45",Distribution Services,NN3 6YG,0,Balance Sheet
Ministry of Justice,MoJ HQ,16-Jan-12,223000-Other Expenditure,RE999-CJG - Research & Analysis,MARKET & OPINION RESEARCH INTERNATIONAL LTD (MORI),1065947,"£25,724.00",Investigative Study to inform the Freedom of Information Act Post-legislative Review,SE1 1FY,0,Admin
Ministry of Justice,HMCTS,27-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,NORLAND MANAGED SERVICES LTD,1900816,"£25,866.72","Maintenance, non-structural repair and cleaning of buildings",CIS-SE1 1RU,0,Balance Sheet
Ministry of Justice,HMCTS,19-Jan-12,311200-Criminal Legal Aid,SL999-Centralised Frontline,MESSRS HOWARDS SOLICITORS#DX719205,560750,"£25,906.06",,DX 719205,0,Programme
Ministry of Justice,HMCTS,24-Jan-12,222001-Maintenance,EZ999-Wales Region,WYG MANAGEMENT SERVICES LTD,1896560,"£25,957.31",South East Wales: Area Management Fees: January 2011 - March 2012 - White Young Green:,L2 6RE,0,Programme
Ministry of Justice,HMCTS,19-Jan-12,226000-Court Costs,SL999-Centralised Frontline,MESSRS BEACHCROFT LLP# DX 13057,560616,"£25,983.35",,DX 13057,0,Programme
Ministry of Justice,HMCTS,03-Jan-12,261000-Fuel and Utilities,EZ999-Wales Region,CORONA ENERGY,1872320,"£26,091.88",HMCS Wales Region:Consolidated Gas:Account Code: 55026239:Wef February 2011:CORONA:,NW4 3RJ-RET 4,0,Programme
Ministry of Justice,HMCTS,04-Jan-12,222002-Other Property Costs,SL999-Centralised Frontline,UKI CHARITABLE FOUNDATION,1874436,"£26,093.10",,LE1 7GJ,0,Programme
Ministry of Justice,HMCTS,04-Jan-12,222002-Other Property Costs,SL999-Centralised Frontline,UKI CHARITABLE FOUNDATION,1874436,"£26,093.12",,LE1 7GJ,0,Programme
Ministry of Justice,MoJ HQ,16-Jan-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1065863,"£26,144.00",CCN A-R-2124-06 - Re-Packaging the X-Kryptor Client and providing Technical Support One Off (One Off Costs),WV10 6UH,0,Programme
Ministry of Justice,HMCTS,04-Jan-12,710200-Creditors < 1 year - Trade & Other Creditors,BZ999-London Region,THE INSOLVENCY SERVICE#RF100000019,547091,"£26,335.00",,DX 154521,0,Programme,,
Ministry of Justice,HMCTS,20-Jan-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,HERTFORDSHIRE CONSTABULARY,1892204,"£26,374.37",,AL8 6XF,0,Programme,,
Ministry of Justice,HMCTS,24-Jan-12,221000-Property Rent and Rates,BZ999-London Region,OFSTED,1895721,"£26,377.95",,M2 7LA,0,Programme,,
Ministry of Justice,HMCTS,27-Jan-12,532000-Tangible GBV - Additions,DZ999-South West Region,INTERSERVE CONSTRUCTION LTD,1900677,"£26,414.12",,CIS-B23 7RZ,0,Programme,,SME
Ministry of Justice,MoJ HQ,26-Jan-12,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,LOGICA UK LTD,1066741,"£26,591.76",Computer services supplied to the specification of the recipient,CF31 9AP,0,Balance Sheet,,
