Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Supplier Type,Contract Number,Project Code,Expenditure Type
Ministry of Justice,MoJ HQ,25/Jun/2012 ,222002-Other Property Costs,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1077740,"Ł26,489.50","Rent & Services charges - Axis, Birmingham",BS8 9AQ,,,0000,Admin
Ministry of Justice,MoJ HQ,25/Jun/2012 ,222002-Other Property Costs,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1077740,"Ł27,623.75","Rent & Services charges - Axis, Birmingham",BS8 9AQ,,,0000,Admin
Ministry of Justice,MoJ HQ,21/Jun/2012 ,222001-Maintenance,NZ406-Strategic Estates Feeder,WYG MANAGEMENT SERVICES LTD,1077664,"Ł35,158.00","Receipt of new building duties, mobilisation and audit & monitoring fees for Abbey Orchard Street, Grenadier House and Ashley House.",LS6 2WQ,,,0000,Admin
Ministry of Justice,MoJ HQ,21/Jun/2012 ,222002-Other Property Costs,NZ406-Strategic Estates Feeder,CBRE CB RICHARD ELLIS,1077374,"Ł40,071.00",Rent & Services charges - 5th Floor Millbank Tower,G2 6UA-COLUMBIN,,,0000,Admin
Ministry of Justice,MoJ HQ,25/Jun/2012 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1077740,"Ł45,431.34","Rent & Services charges - Axis, Birmingham",BS8 9AQ,,,0000,Admin
Ministry of Justice,MoJ HQ,14/Jun/2012 ,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1076867,"Ł49,149.84","Electricity supply to 102 Petty France (BER NE130), April 2011-March 2012.",PL3 5XQ,,,0000,Admin
Ministry of Justice,MoJ HQ,25/Jun/2012 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1077740,"Ł49,326.06","Rent & Services charges - Axis, Birmingham",BS8 9AQ,,,0000,Admin
Ministry of Justice,MoJ HQ,21/Jun/2012 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1077322,"Ł54,837.00",PD A-R-03489-01-V01 Move 1 - Justice Policy Group Move 2 - MoJ ICT PPD Move 3 - MoJ Estates Finance PD Production Project management,WV10 6UH,,,0000,Admin
Ministry of Justice,MoJ HQ,06/Jun/2012 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1076355,"Ł55,002.00","A-S-03501-04-v01 - Packaging, Testing and NLE - YJB Transition.",WV10 6UH,,,0000,Admin
Ministry of Justice,MoJ HQ,22/Jun/2012 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,CITY OF WESTMINSTER,1077667,"Ł60,945.00",Business rates - Ashley House,RATES,,,0000,Admin
Ministry of Justice,MoJ HQ,28/Jun/2012 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,BNP PARIBAS REAL ESTATE,1077866,"Ł62,500.00",Rent - 2 Carlton Gardens,B3 2BJ,,,0000,Admin
Ministry of Justice,MoJ HQ,21/Jun/2012 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,CBRE CB RICHARD ELLIS,1077374,"Ł89,501.25",Rent & Services charges - 5th Floor Millbank Tower,G2 6UA-COLUMBIN,,,0000,Admin
Ministry of Justice,MoJ HQ,28/Jun/2012 ,223001-Printing Postage and Office expenditure,NZ406-Strategic Estates Feeder,DX NETWORK SERVICES LTD,1077922,"Ł89,631.10","Document Exchange services for the MoJ HQ Estate, 1/4/12-31/12/12",NN3 6YG,,,0000,Admin
Ministry of Justice,MoJ HQ,06/Jun/2012 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1076355,"Ł90,316.00",CCN-A-S-03104-03-v01 - YJB to MOJ ICT Transition - Design and Transition,WV10 6UH,,,0000,Admin
Ministry of Justice,MoJ HQ,28/Jun/2012 ,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LANCASTER CLEANING AND SUPPORT SERVICES,1077993,"Ł90,579.90","Annual cost of cleaning services across the MoJ HQ Estate, 2012-13",DY1 4TA,,,0000,Admin
Ministry of Justice,MoJ HQ,06/Jun/2012 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1076355,"Ł98,493.00",A-S-03501-02-v01Support for YJB ICT Transition Project Management WR059,WV10 6UH,,,0000,Admin
