Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Supplier Type,Contract Number,Project Code,Expenditure Type
Ministry of Justice,MoJ HQ,17-May-12,262000-SCA Costs,QZ600-CPG Other,LIBERATA UK LTD,1075277,"£25,732.50",FSMO 216 - Variable - Time & Materials,NP10 9XA,,,0,Admin
Ministry of Justice,MoJ HQ,08-May-12,223000-Other Expenditure,QY300-Fleet Car Mgmt,ARVAL UK LTD,1074637,"£25,834.53",MoJ Lease Car Service and Fuel Costs FY 12-13,SN5 6PQ,,,0,Admin
Ministry of Justice,MoJ HQ,10-May-12,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALPHABET (UK) FLEET MANAGEMENT LTD,1074794,"£28,522.85",ING Car Lease - MoJ Lease Vehicle Contract FY 12-13,RG12 1RR,SME,,0,Admin
Ministry of Justice,MoJ HQ,08-May-12,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1074632,"£28,823.97",Lease Car Fuel Costs FY12-13,SN5 6PS,,,0,Admin
Ministry of Justice,MoJ HQ,17-May-12,262000-SCA Costs,QZ600-CPG Other,LIBERATA UK LTD,1075277,"£34,492.50",FSMO 216 - Variable - Time & Materials,NP10 9XA,,,0,Admin
Ministry of Justice,MoJ HQ,10-May-12,223000-Other Expenditure,QY300-Fleet Car Mgmt,LEX AUTOLEASE LTD,1074899,"£43,328.76",MoJ Lease Car charges FY 12-13,BL9 8RT,,,0,Admin
Ministry of Justice,MoJ HQ,24-May-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1075738,"£52,153.75",ARAMIS Charges for 2012-13 ; to be reconciled and agreed Monthly,NP10 9XA,,,0,Admin
Ministry of Justice,MoJ HQ,17-May-12,263000-Other Contracted Out Services,NX900-MOJ Shared Services,CAPITA HARTSHEAD LTD,1075183,"£182,700.00",Capita Hartshead Pension Services - Monthly Pension Charges for the new financial year 11-12 - NX416,DL1 9HN,,,0,Admin
Ministry of Justice,MoJ HQ,29-May-12,265000-IT & Telecommunications,NX900-MOJ Shared Services,SAVVIS UK LTD,1076012,"£225,500.00",NX111 SAVVIS Shared Service Programme SAVVIS Milestone 1 Payment 1 - July 2011,RG41 5TS,,,0,Admin
Ministry of Justice,MoJ HQ,14-May-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1075066,"£304,351.56",Monthly Payroll Service charges for financial year 2012/13 (This replaces PO10000023349),NP10 9XA,,,0,Admin
Ministry of Justice,MoJ HQ,17-May-12,262000-SCA Costs,QZ600-CPG Other,LIBERATA UK LTD,1075277,"£758,239.00",FSMO 216 - Fixed Monthly Fee - Apr-12,NP10 9XA,,,0,Admin
Ministry of Justice,MoJ HQ,21-May-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1075491,"£1,254,056.14",ARAMIS Charges for 2012-13 ; to be reconciled and agreed Monthly,NP10 9XA,,,0,Admin
