Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type
Ministry of Justice,MoJ HQ,29-Nov-12,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1087906,"£26,761.11",Venue Hire relating to training events for Judiciary,LS16 6RF,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1087906,"£27,041.48",Venue Hire relating to training events for Judiciary,LS16 6RF,0,Programme
Ministry of Justice,MoJ HQ,19-Nov-12,246000-Current Grants,RG999-CFLAP Accumulator,REUNITE INTERNATIONAL,1087292,"£28,125.00",Payment of grant to voluntary sector organisations - Access to Justice,LE1 7XX,0,Grant
Ministry of Justice,MoJ HQ,22-Nov-12,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1087385,"£29,399.53","Venue Hire, Accomodation and other costs relating to Judicial Training Conferences",LS16 6RF,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1086080,"£30,716.95",Venue Hire relating to training events for Judiciary,LS16 6RF,0,Programme
Ministry of Justice,MoJ HQ,22-Nov-12,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1087385,"£31,616.35",Venue Hire relating to training events for Judiciary,LS16 6RF,0,Programme
Ministry of Justice,MoJ HQ,22-Nov-12,223000-Other Expenditure,RB999-JPG - CJRD,NOTTINGHAMSHIRE POLICE AUTHORITY,1087505,"£40,000.00",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime Victim & Witness General Fund,NG5 8PP,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),1088125,"£336,803.84",Parc YOI Contract - FY 12-13,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,23-Nov-12,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,CCRC (CRIMINAL CASES REVIEW COMMISSION),2296,"£425,000.00",Grant-in-aid requirement for Arm's Length Body,B3 2PW,0,Grant
Ministry of Justice,MoJ HQ,05-Nov-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),1086389,"£501,333.00",Escorting contract for YOIs - FY 12-13,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,05-Nov-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),2209,"£547,467.00",Escorting contract for YOIs - FY 12-13,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,05-Nov-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),2208,"£566,518.59",Escorting contract for YOIs - FY 12-13,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,12-Nov-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,MEDOMSLEY TRAINING SERVICES LTD,1086754,"£655,132.92","Operation Delivery services in respect of Prisons, YOIs or STCs",RG29 9XB,0,Programme
Ministry of Justice,MoJ HQ,12-Nov-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (ONLEY) LTD,1086712,"£1,278,950.57","Operation Delivery services in respect of Prisons, YOIs or STCs",WR12 7LJ,0,Programme
Ministry of Justice,MoJ HQ,12-Nov-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (COOKHAM WOOD) LTD,1086711,"£1,324,806.30","Operation Delivery services in respect of Prisons, YOIs or STCs",WR12 7LJ,0,Programme
Ministry of Justice,MoJ HQ,26-Nov-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),2319,"£2,257,390.11",Ashfield YOI Contract - FY 12-13,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,26-Nov-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),2320,"£2,331,960.82",Ashfield YOI Contract - FY 12-13,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,12-Nov-12,245000-Grants in Aid to NDPBs,RC999-Criminal Justice Group - OMS,YOUTH JUSTICE BOARD FOR ENGLAND & WALES,6616,"£15,150,000.00",Grant-in-aid requirement for Arm's Length Body,SW1V 2QZ,0,Grant
Ministry of Justice,MoJ HQ,29-Nov-12,224000-Staff travel and other,OZ501-HRD Feeder,XEXEC LTD,1088267,"£29,107.67",MoJ R&R Voucher Scheme - FY 12-13 (Replaces PO 10000029633),NW4 1BE,0,Admin
Ministry of Justice,MoJ HQ,26-Nov-12,223000-Other Expenditure,LZ600-Transforming Justice,TNT UK LTD,1087804,"£68,061.65",Monthly 'storage' and 'activity' costs for paper records stored by TNT on MoJ's behalf at its secure repositories at Swadlincote. £75k per month,BL8 9AR,0,Admin
Ministry of Justice,MoJ HQ,14-Nov-12,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,2241,"£100,895.00",Repayment to National Savings and Investments of loan to pay for modernisation development costs.,SW1V 2QX,0,Admin
Ministry of Justice,MoJ HQ,09-Nov-12,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,2221,"£143,857.16",NSI Service Improvement Costs,SW1V 2QX,0,Admin
Ministry of Justice,MoJ HQ,14-Nov-12,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,2239,"£531,732.40",Provision of Court Funds Office service for the 2012/13 Financial Year,SW1V 2QX,0,Admin
Ministry of Justice,MoJ HQ,14-Nov-12,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,2240,"£531,732.40",Provision of Court Funds Office service for the 2012/13 Financial Year,SW1V 2QX,0,Admin
