Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,MoJ HQ,31-Dec-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1151431,"111,350.00",Business Service Review
Ministry of Justice,MoJ HQ,31-Dec-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1151431,"22,270.00",Business Service Review
Ministry of Justice,MoJ HQ,03-Nov-14,223701-External Solicitors Fees (Advice),LM100-Transforming Rehabilitation,ALLEN & OVERY LLP,1001106235,"230,245.50",Legal Consultancy for the Transforming Rehabilitation programme
Ministry of Justice,MoJ HQ,03-Nov-14,223701-External Solicitors Fees (Advice),LM100-Transforming Rehabilitation,ALLEN & OVERY LLP,1001106234,"180,907.04",Legal Consultancy for the Transforming Rehabilitation programme
Ministry of Justice,MoJ HQ,15-Dec-14,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1150097,"68,676.00",Fees for November 2014 Managed Accounting Service core contract and call off charges
Ministry of Justice,MoJ HQ,15-Dec-14,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1150097,"343,380.00",Fees for November 2014 Managed Accounting Service core contract and call off charges
Ministry of Justice,MoJ HQ,15-Dec-14,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1150097,"89,870.00",Fees for November 2014 Managed Accounting Service core contract and call off charges
Ministry of Justice,MoJ HQ,15-Dec-14,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1150097,"449,350.00",Fees for November 2014 Managed Accounting Service core contract and call off charges
Ministry of Justice,MoJ HQ,15-Dec-14,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1150097,"116,020.00",Fees for November 2014 Managed Accounting Service core contract and call off charges
Ministry of Justice,MoJ HQ,15-Dec-14,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1150097,"580,100.00",Fees for November 2014 Managed Accounting Service core contract and call off charges
Ministry of Justice,MoJ HQ,11-Dec-14,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1149613,-0.43,MoJ Lease Car Fuel Costs November 2014
Ministry of Justice,MoJ HQ,11-Dec-14,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1149613,"4,498.36",MoJ Lease Car Fuel Costs November 2014
Ministry of Justice,MoJ HQ,11-Dec-14,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1149613,"22,491.81",MoJ Lease Car Fuel Costs November 2014
Ministry of Justice,MoJ HQ,11-Dec-14,222001-Maintenance,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1149616,"24,098.56",Internal Repair and Maintenance - Clive House
Ministry of Justice,MoJ HQ,11-Dec-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1149616,"32,059.39",HQ TFM Contract - Hard Fixed Services - Management
Ministry of Justice,MoJ HQ,11-Dec-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1149616,"47,583.31",HQ TFM Contract - Hard Fixed Services - M&E Repair & Maintenance
Ministry of Justice,MoJ HQ,11-Dec-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1149616,208.67,HQ TFM Contract - Hard Fixed Services - Grounds Maintenance
Ministry of Justice,MoJ HQ,11-Dec-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1149616,"12,866.99",HQ TFM Contract - Hard Fixed Services - Internal Repair & Maintenance
Ministry of Justice,MoJ HQ,11-Dec-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1149616,"7,465.17",HQ TFM Contract - Soft Fixed Services - Management
Ministry of Justice,MoJ HQ,11-Dec-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1149616,316.24,HQ TFM Contract - Soft Fixed Services - Catering; Vending
Ministry of Justice,MoJ HQ,11-Dec-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1149616,385.88,HQ TFM Contract - Soft Fixed Services - Pest & Vermin Control - Building Operation
Ministry of Justice,MoJ HQ,11-Dec-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1149616,"5,248.30",HQ TFM Contract - Soft Fixed Services - Waste Disposal
Ministry of Justice,MoJ HQ,11-Dec-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1149616,"64,258.12",HQ TFM Contract - Soft Fixed Services - Cleaning
Ministry of Justice,MoJ HQ,11-Dec-14,222001-Maintenance,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1149616,"22,628.02",Internal Repair and Maintenance - Petty France
Ministry of Justice,MoJ HQ,11-Dec-14,222001-Maintenance,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1149616,"36,780.92",(TW3) Creation of interview rooms on 2nd floor zone C - task 8996.
Ministry of Justice,MoJ HQ,08-Dec-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ARK DATA CENTRES LTD,1149412,"179,796.76",Datacentre Costs Nov 14 costs
Ministry of Justice,MoJ HQ,31-Dec-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1151436,25.78,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
