Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type
Ministry of Justice,MoJ HQ,28/03/2013,246000-Current Grants,RG999-CFLAP Accumulator,MONEY ADVICE TRUST,1097774,"25,000.00",Grant payment to support the work in the field of advice services.  Funding for 2012-13.,EC4V 2AU,0,Grant
Ministry of Justice,MoJ HQ,25/03/2013,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1097058,"25,507.14",Venue Hire relating to training events for Judiciary,LS16 6RF,0,Programme
Ministry of Justice,MoJ HQ,14/03/2013,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1095928,"25,831.44",Venue Hire relating to training events for Judiciary,LS16 6RF,0,Programme
Ministry of Justice,MoJ HQ,18/03/2013,246000-Current Grants,RG999-CFLAP Accumulator,REUNITE INTERNATIONAL,1096453,"28,125.00","Reunite International Child Abduction Centre. Quarterly funding for the 24/7 operation of its advice line which deals with queries on the prevention of international parental child abduction, contact and relocation",LE1 7XX,0,Grant
Ministry of Justice,MoJ HQ,28/03/2013,223000-Other Expenditure,RB999-JPG - CJRD,THE NOTTINGHAMSHIRE OFFICE OF THE POLICE AND CRIME COMMISSIONER,1097931,"30,000.00","The Nottinghamshire Constabulary are providing the resources of one Detictive Chief Superintendent, one witness protection officer and support staff to help with the joint MoJ/ACPO Project to set up the UK Protected Persons Service.",NG5 8PP,0,Programme
Ministry of Justice,MoJ HQ,28/03/2013,223000-Other Expenditure,RB999-JPG - CJRD,OFFICE OF POLICE AND CRIME COMMISSIONER STAFFORDSHIRE,1097804,"50,000.00",Contribution to the Hate Crime True Vision Project,ST16 9JZ,0,Admin
Ministry of Justice,MoJ HQ,04/03/2013,246000-Current Grants,RJ999-JPG - International,COUNCIL OF EUROPE,13719,"86,000.00",FY13-14 annual membership for the Council of Europe- The Group of States against Corruption (GRECO),FRANCE,0,Grant
Ministry of Justice,MoJ HQ,01/03/2013,264000-Consultancy,RC999-Criminal Justice Group - OMS,DEPARTMENT FOR WORK & PENSIONS (DWP),2731,"100,270.00",Development costs for Joint Commissioning pilot (Payment by Result),CF14 3UW,0,Programme
Ministry of Justice,MoJ HQ,25/03/2013,223000-Other Expenditure,RB999-JPG - CJRD,THE SALVATION ARMY,1097311,"316,738.00","The Salvation Army acts as prime contractor, commissioning services on behalf of Govt for victims of trafficking.",SE1 6BN,0,Programme
Ministry of Justice,MoJ HQ,19/03/2013,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),2833,"336,810.04",Parc YOI Contract - FY 12-13,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,28/03/2013,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),1098015,"336,810.04",Parc YOI Contract - FY 12-13,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,21/03/2013,223000-Other Expenditure,RB999-JPG - CJRD,VICTIM SUPPORT,1096967,"354,360.00",Payment to voluntary sector organisations - Victim Support Projects,W1W 6JL,0,Programme
Ministry of Justice,MoJ HQ,07/03/2013,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,CCRC (CRIMINAL CASES REVIEW COMMISSION),2765,"385,000.00",Grant-in-aid requirement for NDPB,B3 2PW,0,Grant
Ministry of Justice,MoJ HQ,25/03/2013,223000-Other Expenditure,RB999-JPG - CJRD,THE SALVATION ARMY,1097311,"500,000.00","The Salvation Army acts as prime contractor, commissioning services on behalf of Govt for victims of trafficking.",SE1 6BN,0,Programme
Ministry of Justice,MoJ HQ,14/03/2013,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,MEDOMSLEY TRAINING SERVICES LTD,1096115,"614,469.52","Operation Delivery services in respect of Prisons, YOIs or STCs",RG29 9XB,0,Programme
Ministry of Justice,MoJ HQ,28/03/2013,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,MEDOMSLEY TRAINING SERVICES LTD,1097762,"680,305.54","Operation Delivery services in respect of Prisons, YOIs or STCs",RG29 9XB,0,Programme
Ministry of Justice,MoJ HQ,25/03/2013,223000-Other Expenditure,RB999-JPG - CJRD,THE SALVATION ARMY,1097311,"1,000,000.00","The Salvation Army acts as prime contractor, commissioning services on behalf of Govt for victims of trafficking.",SE1 6BN,0,Programme
Ministry of Justice,MoJ HQ,14/03/2013,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (ONLEY) LTD,1095979,"1,155,181.16","Operation Delivery services in respect of Prisons, YOIs or STCs",WR12 7LJ,0,Programme
Ministry of Justice,MoJ HQ,04/03/2013,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,JUDICIAL APPOINTMENTS COMMISSION (JAC),2746,"1,160,000.00",Grant-in-aid requirement for NDPB,SW1H 9LH,0,Grant
Ministry of Justice,MoJ HQ,18/03/2013,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (COOKHAM WOOD) LTD,1096351,"1,233,842.52","Operation Delivery services in respect of Prisons, YOIs or STCs",WR12 7LJ,0,Programme
Ministry of Justice,MoJ HQ,28/03/2013,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (ONLEY) LTD,1097547,"1,278,950.57","Operation Delivery services in respect of Prisons, YOIs or STCs",WR12 7LJ,0,Programme
Ministry of Justice,MoJ HQ,28/03/2013,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (COOKHAM WOOD) LTD,1097546,"1,364,207.05","Operation Delivery services in respect of Prisons, YOIs or STCs",WR12 7LJ,0,Programme
Ministry of Justice,MoJ HQ,18/03/2013,228000-Prisoner Related Costs,RC999-Criminal Justice Group - OMS,EDUCATIONAL FUNDING AGENCY,1096352,"3,185,727.00",To provide education to young people in custody,CV1 3BH,0,Programme
Ministry of Justice,MoJ HQ,01/03/2013,245000-Grants in Aid to NDPBs,RC999-Criminal Justice Group - OMS,YOUTH JUSTICE BOARD FOR ENGLAND & WALES,2739,"70,764,000.00",Grant-in-aid requirement for Arm's Length Body,SW1H 9AJ,0,Grant
Ministry of Justice,MoJ HQ,14/03/2013,223000-Other Expenditure,RB999-JPG - CJRD,SOCA#RB31110250,1096145,"198,104.00",MOJ's annual contribution to the cost of the Witness Intermediaries Matching Service,NW1W 9LA,0,Programme
Ministry of Justice,MoJ HQ,14/03/2013,246000-Current Grants,RB999-JPG - CJRD,THE SURVIVORS TRUST#RB31110249,1096144,"339,340.00",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime Rape Support Fund,CV21 3QP,0,Grant
Ministry of Justice,MoJ HQ,19/03/2013,246000-Current Grants,RB999-JPG - CJRD,SUFFOLK RAPE CRISIS#RB31110253,1096518,"25,000.00",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime Rape Support Fund,IP1 3BE,0,Grant
Ministry of Justice,MoJ HQ,18/03/2013,246000-Current Grants,RB999-JPG - CJRD,RAPE CRISIS (ENGLAND & WALES)#RB31110252,1096433,"303,341.25",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime Rape Support Fund,WC1N 3XX,0,Grant
Ministry of Justice,MoJ HQ,12/03/2013,246000-Current Grants,RC999-Criminal Justice Group - OMS,RESTORATIVE JUSTICE COUNCIL LTD#RC31620054,1095866,"400,000.00","Grant payment to develop at Restorative Service Quality Mark, with supporting case management system and recruit assessors.",WC2B 6PP,0,Grant
Ministry of Justice,MoJ HQ,25/03/2013,246000-Current Grants,RG999-CFLAP Accumulator,ADVICE SERVICES ALLIANCE#RG70320068,1097221,"34,800.00",Payment of grant to voluntary sector organisations - Access to Justice,SE1 8EN,0,Grant
Ministry of Justice,MoJ HQ,11/03/2013,266000-Judicial Costs,LZ600-Transforming Justice,OXFORD UNIVERSITY PRESS,1095807,"31,096.00",Legal publications for the judiciary and courts,OX2 6DP,0,Admin
Ministry of Justice,MoJ HQ,28/03/2013,266000-Judicial Costs,LZ600-Transforming Justice,OXFORD UNIVERSITY PRESS,1097813,"40,664.00",Legal publications for the judiciary and courts,OX2 6DP,0,Admin
Ministry of Justice,MoJ HQ,14/03/2013,266000-Judicial Costs,LZ600-Transforming Justice,THOMSON REUTERS T/A SWEET & MAXWELL LTD,1096232,"42,600.00",Legal publications for the judiciary and courts,SP10 9AG,0,Admin
Ministry of Justice,MoJ HQ,28/03/2013,266000-Judicial Costs,LZ600-Transforming Justice,THOMSON REUTERS T/A SWEET & MAXWELL LTD,1097938,"58,329.60",Legal publications for the judiciary and courts,SP10 9AG,0,Admin
Ministry of Justice,MoJ HQ,25/03/2013,223000-Other Expenditure,LZ600-Transforming Justice,TNT UK LTD,1097317,"70,225.96",Monthly 'storage' and 'activity' costs for paper records stored by TNT on MoJ's behalf at its secure repositories at Swadlincote. £75k per month,BL8 9AR,0,Admin
Ministry of Justice,MoJ HQ,04/03/2013,266000-Judicial Costs,LZ600-Transforming Justice,THE STATIONERY OFFICE LTD,1095308,"82,500.00",Legal publications for the judiciary and courts,NR3 1QZ,0,Admin
Ministry of Justice,MoJ HQ,12/03/2013,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,2803,"99,438.00",Repayment to National Savings and Investments of loan to pay for modernisation development costs.,SW1V 2QX,0,Admin
Ministry of Justice,MoJ HQ,11/03/2013,223000-Other Expenditure,LZ600-Transforming Justice,TNT UK LTD,1095850,"192,500.02",Special Projects undertaken by TNT at MoJ's request to securely destroy records,BL8 9AR,0,Admin
