Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,MoJ HQ,28/Nov/2013 ,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,CGI IT UK LTD,1116560,"36,782.00"," CCN L-R-3911-01HMCTS 304-8 SUPS Help Desk, CCN L-R-3911-01 Delivery of first drop of amended software, HMCTS 304-8 SUPS Help Desk, CCN L-R-3911-01First drop of software into live and delivery of second set of amendments & HMCTS 304-8 SUPS"
Ministry of Justice,MoJ HQ,18/Nov/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1115728,"180,705.88","""MoJ Testing Consolidation 01/10/13 to 31/03/14 & 01/04/14 to 31/03/15  """
Ministry of Justice,MoJ HQ,18/Nov/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1115728,"36,141.18","""MoJ Testing Consolidation 01/10/13 to 31/03/14 & 01/04/14 to 31/03/15  """
Ministry of Justice,MoJ HQ,21/Nov/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,SOFTCAT LTD,1116158,"136,445.41","""TIBCO Maintenenance 22nd Nov 2013 to 21st Nov 2014"""
Ministry of Justice,MoJ HQ,21/Nov/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,SOFTCAT LTD,1116158,"27,289.08","""TIBCO Maintenenance 22nd Nov 2013 to 21st Nov 2014"""
Ministry of Justice,MoJ HQ,28/Nov/2013 ,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1116692,"48,908.41",03894MOJMF-shut down over the weekend of 24th-25th August to conduct the 5 year electrical testing
Ministry of Justice,MoJ HQ,14/Nov/2013 ,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1115461,"8,238.41",102 Petty France: reactive maintenance costs for 2013-14. BEC = NE130.
Ministry of Justice,MoJ HQ,08/Nov/2013 ,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,3781,403.69,12-13 reconciliation
Ministry of Justice,MoJ HQ,08/Nov/2013 ,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,3781,"6,601.77",12-13 reconciliation
Ministry of Justice,MoJ HQ,08/Nov/2013 ,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,3781,"-1,216.65",12-13 reconciliation
Ministry of Justice,MoJ HQ,08/Nov/2013 ,223000-Other Expenditure,NZ406-Strategic Estates Feeder,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,3781,37.95,12-13 reconciliation
Ministry of Justice,MoJ HQ,08/Nov/2013 ,222002-Other Property Costs,NZ406-Strategic Estates Feeder,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,3781,185.84,"12-13 reconciliation, bid levy charges"
Ministry of Justice,MoJ HQ,08/Nov/2013 ,222001-Maintenance,NZ406-Strategic Estates Feeder,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,3781,"33,240.36","12-13 reconciliation, fixed FM services"
Ministry of Justice,MoJ HQ,08/Nov/2013 ,222001-Maintenance,NZ406-Strategic Estates Feeder,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,3781,"1,071.30","12-13 reconciliation, variable FM services"
Ministry of Justice,MoJ HQ,14/Nov/2013 ,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1115461,140.45,30 Millbank: reactive maintenance costs for 2013-14. BEC = ND115
Ministry of Justice,MoJ HQ,07/Nov/2013 ,212001-Agency staff,NZ900-Finance & Corporate Services,CAPITA RESOURCING LTD,1114693,"30,520.00",35401 CIPHERL00498 -Accreditor CLAS Consultant (RC - CLAS) -  - for a maximum of 253.00 days from 31/03/2013 to 29/03/2014 subject to the terms and conditions of contract reference 
Ministry of Justice,MoJ HQ,07/Nov/2013 ,212001-Agency staff,NZ900-Finance & Corporate Services,CAPITA RESOURCING LTD,1114693,"6,104.00",35401 CIPHERL00498 -Accreditor CLAS Consultant (RC - CLAS) -  - for a maximum of 253.00 days from 31/03/2013 to 29/03/2014 subject to the terms and conditions of contract reference 
Ministry of Justice,MoJ HQ,14/Nov/2013 ,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1115461,96.71,81 Chancery Lane: reactive maintenance costs for 2013-14. BEC = ND120
Ministry of Justice,MoJ HQ,07/Nov/2013 ,223000-Other Expenditure,QZ600-CPG Other,ALLEN LANE LTD,1114646,"989,197.00",Allen Lane Managed Accounting Service (FY13-14) - Fixed Monthly Fee - May-13-Dec-13 & Variable- Time & Materials
Ministry of Justice,MoJ HQ,21/Nov/2013 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1115917,"22,108.60",A-R-01986-15 - LAA Common DR infrastructure specific to IDP -Ongoing It Support Costs F/Y 13/14
