Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,MoJ HQ,07/Oct/2013 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3641,"22,042,000.00",Legal Aid (Fund)-Community Legal Services
Ministry of Justice,MoJ HQ,07/Oct/2013 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3641,"39,803,000.00",Legal Aid (Fund)-Legal Aid Criminal
Ministry of Justice,MoJ HQ,14/Oct/2013 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3677,"10,505,000.00",Legal Aid (Fund)-Community Legal Services
Ministry of Justice,MoJ HQ,14/Oct/2013 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3677,"11,154,000.00",Legal Aid (Fund)-Legal Aid Criminal
Ministry of Justice,MoJ HQ,21/Oct/2013 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3695,"9,624,000.00",Legal Aid (Fund)-Community Legal Services
Ministry of Justice,MoJ HQ,21/Oct/2013 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3695,"12,011,000.00",Legal Aid (Fund)-Legal Aid Criminal
Ministry of Justice,MoJ HQ,28/Oct/2013 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3721,"8,984,000.00",Legal Aid (Fund)-Community Legal Services
Ministry of Justice,MoJ HQ,28/Oct/2013 ,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3721,"12,281,000.00",Legal Aid (Fund)-Legal Aid Criminal
Ministry of Justice,MoJ HQ,31/Oct/2013 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1114127,242.09,Adobe Acrobat Writer Professional
Ministry of Justice,MoJ HQ,31/Oct/2013 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1114127,22.34,MS Visio Std
