Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,MoJ HQ,20/Feb/2014 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1123761,"46,750.00","Review Documentation,Conduct full and half day workshops,Produce test assurance report,Produce project based Technical Evaluation Reports, Produce assurance report for the mobilisation of sites & Produce Assurance Plan"
Ministry of Justice,MoJ HQ,20/Feb/2014 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1123761,"9,350.00","Review Documentation,Conduct full and half day workshops,Produce test assurance report,Produce project based Technical Evaluation Reports, Produce assurance report for the mobilisation of sites & Produce Assurance Plan"
Ministry of Justice,MoJ HQ,24/Feb/2014 ,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1124077,"267,892.85",Enterprise + Security architecture and assurance work packages inc RMADS and Business Process Modelling
Ministry of Justice,MoJ HQ,24/Feb/2014 ,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1124077,"53,578.57",Enterprise + Security architecture and assurance work packages inc RMADS and Business Process Modelling
Ministry of Justice,MoJ HQ,27/Feb/2014 ,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1124305,"1,221,330.00",Managed Accounting Service consultancy costs
Ministry of Justice,MoJ HQ,27/Feb/2014 ,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1124305,"244,266.00",Managed Accounting Service consultancy costs
Ministry of Justice,MoJ HQ,13/Feb/2014 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1123107,"24,784.14",MoJ Lease Car Fuel Costs Full Year 13-14
Ministry of Justice,MoJ HQ,13/Feb/2014 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1123107,"4,956.83",MoJ Lease Car Fuel Costs Full Year 13-14
Ministry of Justice,MoJ HQ,13/Feb/2014 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1123107,-0.49,MoJ Lease Car Fuel Costs Full Year 13-14
Ministry of Justice,MoJ HQ,13/Feb/2014 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALPHABET (GB) LTD,1123108,"21,730.10",MoJ Lease Vehicle Contract Full Year 13-14
Ministry of Justice,MoJ HQ,13/Feb/2014 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALPHABET (GB) LTD,1123108,"4,346.02",MoJ Lease Vehicle Contract Full Year 13-14
Ministry of Justice,MoJ HQ,13/Feb/2014 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALPHABET (GB) LTD,1123108,0.06,MoJ Lease Vehicle Contract Full Year 13-14
Ministry of Justice,MoJ HQ,03/Feb/2014 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,ARVAL UK LTD,1122316,"21,005.73",MoJ Lease Car Service & Maintenance FY 13-14
Ministry of Justice,MoJ HQ,03/Feb/2014 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,ARVAL UK LTD,1122316,"4,201.15",MoJ Lease Car Service & Maintenance FY 13-14
Ministry of Justice,MoJ HQ,03/Feb/2014 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,ARVAL UK LTD,1122316,0.07,MoJ Lease Car Service & Maintenance FY 13-14
Ministry of Justice,MoJ HQ,03/Feb/2014 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1122319,200.58,IT peripherals/ individual ordered software and equipment
Ministry of Justice,MoJ HQ,03/Feb/2014 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1122319,297.12,IT peripherals/ individual ordered software and equipment
