Spend over £25000 - Publication template,,,,,,,

Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for Leadership of Schools and Children's Services,31/03/2011,Programme Costs,Children's Services,Amber Publications & Training LLP,109173,110139.6
Department for Education,National College for Leadership of Schools and Children's Services,18/03/2011,Programme Costs,School Leadership Development,Anglia Ruskin University,108665,46035
Department for Education,National College for Leadership of Schools and Children's Services,17/03/2011,Grants Made,Children's Services,Bath & North East Somerset Council,Supplimentary Succ Plan grant,108158
Department for Education,National College for Leadership of Schools and Children's Services,31/03/2011,Programme Costs,Continuous Leadership Learning,Best Practice Network,109236,80730
Department for Education,National College for Leadership of Schools and Children's Services,04/03/2011,Grants Made,School Leadership Development,Blessed Thomas Holford Catholic College,Collab Fund Grant,38992.66
Department for Education,National College for Leadership of Schools and Children's Services,31/03/2011,Building Running Costs,Corporate Services,Bolton Council,Castle,40432.43
Department for Education,National College for Leadership of Schools and Children's Services,17/03/2011,Grants Made,"Policy, Research & Development",Brentwood Diocese,Regional Diocese Grant,13000
Department for Education,National College for Leadership of Schools and Children's Services,04/03/2011,Grants Made,"Policy, Research & Development",Brentwood Diocese,Regional Diocese grant,15000
Department for Education,National College for Leadership of Schools and Children's Services,04/03/2011,Grants Made,School Leadership Development,Bromesberrow St May's C of E (Aided) Primary,SBM Primary partnershp grant,25000
Department for Education,National College for Leadership of Schools and Children's Services,01/03/2011,Irrecoverable Input VAT,Continuous Leadership Learning,BT Global Services Solutions,107729,1289.4
Department for Education,National College for Leadership of Schools and Children's Services,01/03/2011,Irrecoverable Input VAT,School Leadership Development,BT Global Services Solutions,107729,11085.06
Department for Education,National College for Leadership of Schools and Children's Services,01/03/2011,Outsourcing,Continuous Leadership Learning,BT Global Services Solutions,107729,6447
Department for Education,National College for Leadership of Schools and Children's Services,01/03/2011,Outsourcing,School Leadership Development,BT Global Services Solutions,107729,59621.34
Department for Education,National College for Leadership of Schools and Children's Services,16/03/2011,ICT Running Costs,Corporate Services,BT Global Services Solutions,108274,65666
Department for Education,National College for Leadership of Schools and Children's Services,16/03/2011,Irrecoverable Input VAT,Continuous Leadership Learning,BT Global Services Solutions,108274,8029.38
Department for Education,National College for Leadership of Schools and Children's Services,16/03/2011,Irrecoverable Input VAT,Corporate Services,BT Global Services Solutions,108274,16964.87
Department for Education,National College for Leadership of Schools and Children's Services,16/03/2011,Outsourcing,Continuous Leadership Learning,BT Global Services Solutions,108274,40146.88
Department for Education,National College for Leadership of Schools and Children's Services,16/03/2011,Outsourcing,Corporate Services,BT Global Services Solutions,108274,19158.38
Department for Education,National College for Leadership of Schools and Children's Services,22/03/2011,Irrecoverable Input VAT,Continuous Leadership Learning,BT Global Services Solutions,108676,5360.4
