Spend over £25000 - Publication template,,,,,,,

Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for Leadership of Schools and Children's Services,09/08/2010,Programme Costs,Children's Services,Amber Publications & Training LLP,102370,69790
Department for Education,National College for Leadership of Schools and Children's Services,19/08/2010,Programme Costs,Continuous Leadership Learning,Best Practice Network,102684,37285.6
Department for Education,National College for Leadership of Schools and Children's Services,04/08/2010,Irrecoverable Input VAT,School Leadership Dev,BYG Systems Ltd,102129,4040.58
Department for Education,National College for Leadership of Schools and Children's Services,04/08/2010,Programme Costs,School Leadership Dev,BYG Systems Ltd,102129,23089
Department for Education,National College for Leadership of Schools and Children's Services,12/08/2010,Grants Made,"Policy, Research & Development",Camden LEA,Succession Planning RGTF Grant,55000
Department for Education,National College for Leadership of Schools and Children's Services,31/08/2010,Grants Made,"Policy, Research & Development",Camden LEA,Succession Planning RGTF Grant,18000
Department for Education,National College for Leadership of Schools and Children's Services,13/08/2010,Advertising and Marketing,"Policy, Research & Development",Central Office of Information (COI),102535,25959.61
Department for Education,National College for Leadership of Schools and Children's Services,13/08/2010,Irrecoverable Input VAT,"Policy, Research & Development",Central Office of Information (COI),102535,4542.93
Department for Education,National College for Leadership of Schools and Children's Services,04/08/2010,Irrecoverable Input VAT,Continuous Leadership Learning,CFE RESEARCH AND CONSULTING LTD,102128,3850
Department for Education,National College for Leadership of Schools and Children's Services,04/08/2010,Programme Costs,Continuous Leadership Learning,CFE RESEARCH AND CONSULTING LTD,102128,22000
Department for Education,National College for Leadership of Schools and Children's Services,12/08/2010,Consultancy Fees,Continuous Leadership Learning,David Hargreaves,102196,12500
Department for Education,National College for Leadership of Schools and Children's Services,12/08/2010,Operational Associates,Continuous Leadership Learning,David Hargreaves,102196,12500
Department for Education,National College for Leadership of Schools and Children's Services,31/08/2010,Building Running Costs,Corporate Services,"Department for Children, Schools & Families",102782,31683
Department for Education,National College for Leadership of Schools and Children's Services,12/08/2010,Grants Made,"Policy, Research & Development",Diocesan Sch Commission,Succession Planning RGTF Grant,5500
Department for Education,National College for Leadership of Schools and Children's Services,31/08/2010,Grants Made,"Policy, Research & Development",Diocesan Sch Commission,Succession Planning RGTF Grant,42000
Department for Education,National College for Leadership of Schools and Children's Services,16/08/2010,Programme Costs,Continuous Leadership Learning,Future Leaders Ltd,102582,26000
Department for Education,National College for Leadership of Schools and Children's Services,02/08/2010,Programme Costs,Continuous Leadership Learning,Future Leaders Ltd,101087,261100
Department for Education,National College for Leadership of Schools and Children's Services,16/08/2010,Programme Costs,Continuous Leadership Learning,Future Leaders Ltd,102581,285600
Department for Education,National College for Leadership of Schools and Children's Services,12/08/2010,Grants Made,"Policy, Research & Development",Halton Borough Council,Succession Planning RGTF Grant,13000
Department for Education,National College for Leadership of Schools and Children's Services,31/08/2010,Grants Made,"Policy, Research & Development",Halton Borough Council,Succession Planning RGTF Grant,55000
Department for Education,National College for Leadership of Schools and Children's Services,20/08/2010,"Conference, Events, Exhibitions and Seminars",Continuous Leadership Learning,Hilton UK Hotels Limited,102715,115219.5
Department for Education,National College for Leadership of Schools and Children's Services,20/08/2010,Irrecoverable Input VAT,Continuous Leadership Learning,Hilton UK Hotels Limited,102715,20163.41
Department for Education,National College for Leadership of Schools and Children's Services,13/08/2010,Externals Travel & Subsistence,Continuous Leadership Learning,HTI Leadership Centre Ltd,102557,-100
Department for Education,National College for Leadership of Schools and Children's Services,03/08/2010,Programme Costs,Continuous Leadership Learning,HTI Leadership Centre Ltd,102045,28800
Department for Education,National College for Leadership of Schools and Children's Services,12/08/2010,Programme Costs,Continuous Leadership Learning,HTI Leadership Centre Ltd,102238,141750
