Spend over £25000 - Publication template,,,,,,,

Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for Leadership of Schools and Children's Services,17/12/2010,Programme Costs,School Leadership Development,Anglia Ruskin University,105981,69795
Department for Education,National College for Leadership of Schools and Children's Services,17/12/2010,Grants Made,Childrens Services,Bath & North East Somerset Council,DCS Succession grant - balance,30000
Department for Education,National College for Leadership of Schools and Children's Services,17/12/2010,Programme Costs,Continuous Leadership Learning,Best Practice Network,105577,78934
Department for Education,National College for Leadership of Schools and Children's Services,02/12/2010,Programme Costs,Continuous Leadership Learning,Best Practice Network,105617,48020.4
Department for Education,National College for Leadership of Schools and Children's Services,16/12/2010,Irrecoverable Input VAT,Continuous Leadership Learning,BT Global Services Solutions,105837,8230.08
Department for Education,National College for Leadership of Schools and Children's Services,16/12/2010,Irrecoverable Input VAT,Corporate Services,BT Global Services Solutions,105837,9381.57
Department for Education,National College for Leadership of Schools and Children's Services,16/12/2010,Outsourcing,Continuous Leadership Learning,BT Global Services Solutions,105837,47029
Department for Education,National College for Leadership of Schools and Children's Services,16/12/2010,Outsourcing,Corporate Services,BT Global Services Solutions,105837,53609
Department for Education,National College for Leadership of Schools and Children's Services,06/12/2010,Irrecoverable Input VAT,Continuous Leadership Learning,CFE RESEARCH AND CONSULTING LTD,105739,6028.9
Department for Education,National College for Leadership of Schools and Children's Services,06/12/2010,Programme Costs,Continuous Leadership Learning,CFE RESEARCH AND CONSULTING LTD,105739,34450.83
Department for Education,National College for Leadership of Schools and Children's Services,06/12/2010,Grants Made,School Leadership Development,Compton School,Collaborative fund grant,22300
Department for Education,National College for Leadership of Schools and Children's Services,22/12/2010,Grants Made,School Leadership Development,Compton School,Collaborative fund grant,22300
Department for Education,National College for Leadership of Schools and Children's Services,20/12/2010,Irrecoverable Input VAT,Childrens Services,Deloitte,106028,20335.75
Department for Education,National College for Leadership of Schools and Children's Services,20/12/2010,Programme Costs,Childrens Services,Deloitte,106028,116204.26
Department for Education,National College for Leadership of Schools and Children's Services,21/12/2010,Consultancy Fees,Childrens Services,Deloitte,106134,50000
Department for Education,National College for Leadership of Schools and Children's Services,21/12/2010,Irrecoverable Input VAT,Childrens Services,Deloitte,106134,8750
Department for Education,National College for Leadership of Schools and Children's Services,21/12/2010,Irrecoverable Input VAT,Childrens Services,Deloitte,106135,78359.94
Department for Education,National College for Leadership of Schools and Children's Services,21/12/2010,Programme Costs,Childrens Services,Deloitte,106135,447771.06
Department for Education,National College for Leadership of Schools and Children's Services,17/12/2010,Grants Made,School Leadership Development,Earls High School,Collaborative fund grant,40000
Department for Education,National College for Leadership of Schools and Children's Services,21/12/2010,Programme Costs,Continuous Leadership Learning,EMLC,106121,33264
Department for Education,National College for Leadership of Schools and Children's Services,21/12/2010,Programme Costs,Continuous Leadership Learning,EMLC,106122,181818
Department for Education,National College for Leadership of Schools and Children's Services,21/12/2010,Programme Costs,Continuous Leadership Learning,EMLC,106123,33100.32
Department for Education,National College for Leadership of Schools and Children's Services,21/12/2010,Programme Costs,Continuous Leadership Learning,EMLC,106124,78689.39
Department for Education,National College for Leadership of Schools and Children's Services,02/12/2010,EHP Liability,Continuous Leadership Learning,EMLC,Nat Col EHP Payment Scheme,30866.35
Department for Education,National College for Leadership of Schools and Children's Services,14/12/2010,EHP Liability,Continuous Leadership Learning,EMLC,Nat Col EHP Payment Scheme,7554.45
Department for Education,National College for Leadership of Schools and Children's Services,17/12/2010,EHP Liability,Continuous Leadership Learning,EMLC,Nat Col EHP Payment Scheme,16503.39
Department for Education,National College for Leadership of Schools and Children's Services,15/12/2010,Programme Costs,Continuous Leadership Learning,SELT,105832,78452.5
Department for Education,National College for Leadership of Schools and Children's Services,16/12/2010,Programme Costs,Continuous Leadership Learning,SELT,105840,129150
Department for Education,National College for Leadership of Schools and Children's Services,16/12/2010,Programme Costs,Continuous Leadership Learning,SELT,105841,87200
Department for Education,National College for Leadership of Schools and Children's Services,02/12/2010,EHP Liability,Continuous Leadership Learning,SELT,Nat Col EHP Payment Scheme,53998.01
Department for Education,National College for Leadership of Schools and Children's Services,14/12/2010,EHP Liability,Continuous Leadership Learning,SELT,Nat Col EHP Payment Scheme,18120.75
Department for Education,National College for Leadership of Schools and Children's Services,17/12/2010,EHP Liability,Continuous Leadership Learning,SELT,Nat Col EHP Payment Scheme,33690.37
Department for Education,National College for Leadership of Schools and Children's Services,24/12/2010,Irrecoverable Input VAT,School Leadership Development,Granada Learning Limited,106387,39401.25
Department for Education,National College for Leadership of Schools and Children's Services,24/12/2010,Programme Costs,School Leadership Development,Granada Learning Limited,106387,225150
Department for Education,National College for Leadership of Schools and Children's Services,06/12/2010,Grants Made,School Leadership Development,The Hayes Manor School,Collaborative fund grant,30400
Department for Education,National College for Leadership of Schools and Children's Services,22/12/2010,Grants Made,School Leadership Development,Hayes School,Collaborative fund grant,30400
Department for Education,National College for Leadership of Schools and Children's Services,22/12/2010,Grants Made,School Leadership Development,Holy Ghost RC Primary School,Collaborative fund grant,25000
Department for Education,National College for Leadership of Schools and Children's Services,20/12/2010,Programme Costs,Continuous Leadership Learning,HTI Leadership Centre Ltd,106021,130400
Department for Education,National College for Leadership of Schools and Children's Services,20/12/2010,Programme Costs,Continuous Leadership Learning,HTI Leadership Centre Ltd,106068,97200
Department for Education,National College for Leadership of Schools and Children's Services,17/12/2010,Programme Costs,Continuous Leadership Learning,Institute Of Education,105696,72843.66
Department for Education,National College for Leadership of Schools and Children's Services,23/12/2010,Programme Costs,Continuous Leadership Learning,Institute Of Education,105836,106752.4
Department for Education,National College for Leadership of Schools and Children's Services,20/12/2010,Operational Associates,School Leadership Development,Institute Of Education,106077,109750
Department for Education,National College for Leadership of Schools and Children's Services,20/12/2010,Programme Costs,Continuous Leadership Learning,Manchester Uni,106019,36797.5
Department for Education,National College for Leadership of Schools and Children's Services,21/12/2010,Programme Costs,Continuous Leadership Learning,Manchester Uni,106020,50026.35
Department for Education,National College for Leadership of Schools and Children's Services,02/12/2010,EHP Liability,Continuous Leadership Learning,Manchester Uni,Nat Col EHP Payment Scheme,29195.43
Department for Education,National College for Leadership of Schools and Children's Services,14/12/2010,EHP Liability,Continuous Leadership Learning,Manchester Uni,Nat Col EHP Payment Scheme,8787.37
Department for Education,National College for Leadership of Schools and Children's Services,17/12/2010,EHP Liability,Continuous Leadership Learning,Manchester Uni,Nat Col EHP Payment Scheme,7394.47
Department for Education,National College for Leadership of Schools and Children's Services,17/12/2010,Programme Costs,School Leadership Development,Manchester Metropolitan Uni,105987,156297.6
Department for Education,National College for Leadership of Schools and Children's Services,17/12/2010,Programme Costs,School Leadership Development,Manchester Metropolitan Uni,106002,25249.44
Department for Education,National College for Leadership of Schools and Children's Services,17/12/2010,Programme Costs,School Leadership Development,Manchester Metropolitan Uni,106003,74289.6
Department for Education,National College for Leadership of Schools and Children's Services,20/12/2010,Programme Costs,School Leadership Development,Manchester Metropolitan Uni,106073,30900
Department for Education,National College for Leadership of Schools and Children's Services,13/12/2010,Consultancy Fees,"Policy, Research & Development",McKinsey & Company,Refund of inv 96976,-55319.15
Department for Education,National College for Leadership of Schools and Children's Services,13/12/2010,Irrecoverable Input VAT,"Policy, Research & Development",McKinsey & Company,"Refund of inv's 96976, 99462 & 102799",-27553.18
Department for Education,National College for Leadership of Schools and Children's Services,13/12/2010,Operational Associates,"Policy, Research & Development",McKinsey & Company,Refund of inv's 99462 & 102799,-102127.67
Department for Education,National College for Leadership of Schools and Children's Services,24/12/2010,Irrecoverable Input VAT,"Policy, Research & Development",PricewaterhouseCoopers,106395,4942.47
Department for Education,National College for Leadership of Schools and Children's Services,24/12/2010,Operational Associates,"Policy, Research & Development",PricewaterhouseCoopers,106395,28242.67
Department for Education,National College for Leadership of Schools and Children's Services,09/12/2010,Programme Costs,School Leadership Development,Ravens Wood School,105787,65000
Department for Education,National College for Leadership of Schools and Children's Services,17/12/2010,Grants Made,Childrens Services,Reading Borough Council,DCS Succession grant - balance,30000
Department for Education,National College for Leadership of Schools and Children's Services,02/12/2010,Grants Made,School Leadership Development,Richard Cobden Primary School,Collaborative fund grant,33013.75
Department for Education,National College for Leadership of Schools and Children's Services,16/12/2010,"Conference, Events, Exhibitions and Seminars",School Leadership Development,RS Live,105838,61417.25
Department for Education,National College for Leadership of Schools and Children's Services,16/12/2010,Irrecoverable Input VAT,School Leadership Development,RS Live,105838,10748.02
Department for Education,National College for Leadership of Schools and Children's Services,23/12/2010,Building Running Costs,Corporate Services,Ruddington Build Co. Ltd,106180,68000.01
Department for Education,National College for Leadership of Schools and Children's Services,23/12/2010,Irrecoverable Input VAT,Corporate Services,Ruddington Build Co. Ltd,106180,11899.99
Department for Education,National College for Leadership of Schools and Children's Services,10/12/2010,Irrecoverable Input VAT,School Leadership Development,Serco Learning Solutions,105689,4025
Department for Education,National College for Leadership of Schools and Children's Services,10/12/2010,Programme Costs,School Leadership Development,Serco Learning Solutions,105689,23000
Department for Education,National College for Leadership of Schools and Children's Services,06/12/2010,Irrecoverable Input VAT,School Leadership Development,Serco Learning Solutions,105708,9594.82
Department for Education,National College for Leadership of Schools and Children's Services,06/12/2010,Programme Costs,School Leadership Development,Serco Learning Solutions,105708,54827.55
Department for Education,National College for Leadership of Schools and Children's Services,06/12/2010,Irrecoverable Input VAT,School Leadership Development,Serco Learning Solutions,105715,6529.89
Department for Education,National College for Leadership of Schools and Children's Services,06/12/2010,Programme Costs,School Leadership Development,Serco Learning Solutions,105715,37313.64
Department for Education,National College for Leadership of Schools and Children's Services,06/12/2010,Irrecoverable Input VAT,School Leadership Development,Serco Learning Solutions,105717,10099.69
Department for Education,National College for Leadership of Schools and Children's Services,06/12/2010,Programme Costs,School Leadership Development,Serco Learning Solutions,105717,57712.5
Department for Education,National College for Leadership of Schools and Children's Services,14/12/2010,Irrecoverable Input VAT,School Leadership Development,Serco Learning Solutions,105807,9424.8
Department for Education,National College for Leadership of Schools and Children's Services,14/12/2010,Programme Costs,School Leadership Development,Serco Learning Solutions,105807,53856
Department for Education,National College for Leadership of Schools and Children's Services,14/12/2010,Irrecoverable Input VAT,School Leadership Development,Serco Learning Solutions,105808,9625
Department for Education,National College for Leadership of Schools and Children's Services,14/12/2010,Programme Costs,School Leadership Development,Serco Learning Solutions,105808,55000
Department for Education,National College for Leadership of Schools and Children's Services,22/12/2010,Grants Made,School Leadership Development,Strand on the Green Junior School,Collaborative fund grant,25000
