Spend over £25000 - Publication template,,,,,,,

Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for Leadership of Schools and Children's Services,07/06/2010,Programme Costs,School Leadership Dev,Anglia Ruskin University,99814,37125
Department for Education,National College for Leadership of Schools and Children's Services,28/06/2010,Grants Made,"Policy, Research & Development",Bath & Wells Aglican Diocese,Succession Planning RGTF Grant,27000
Department for Education,National College for Leadership of Schools and Children's Services,15/06/2010,Irrecoverable Input VAT,Continuous Leadership Learning,BT Global Services Solutions,99687,336.52
Department for Education,National College for Leadership of Schools and Children's Services,15/06/2010,Irrecoverable Input VAT,Continuous Leadership Learning,BT Global Services Solutions,99687,1869.35
Department for Education,National College for Leadership of Schools and Children's Services,15/06/2010,Irrecoverable Input VAT,Continuous Leadership Learning,BT Global Services Solutions,99687,2003.75
Department for Education,National College for Leadership of Schools and Children's Services,15/06/2010,Outsourcing,Continuous Leadership Learning,BT Global Services Solutions,99687,1923
Department for Education,National College for Leadership of Schools and Children's Services,15/06/2010,Outsourcing,Continuous Leadership Learning,BT Global Services Solutions,99687,10682
Department for Education,National College for Leadership of Schools and Children's Services,15/06/2010,Outsourcing,Continuous Leadership Learning,BT Global Services Solutions,99687,11450
Department for Education,National College for Leadership of Schools and Children's Services,28/06/2010,Grants Made,"Policy, Research & Development",Buckinghamshire CC,Succession Planning RGTF Grant,30000
Department for Education,National College for Leadership of Schools and Children's Services,28/06/2010,Grants Made,"Policy, Research & Development",Camden LEA,Succession Planning RGTF Grant,72000
Department for Education,National College for Leadership of Schools and Children's Services,30/06/2010,Advertising and Marketing,"Policy, Research & Development",Central Office of Information (COI),100007,40769.95
Department for Education,National College for Leadership of Schools and Children's Services,30/06/2010,Irrecoverable Input VAT,"Policy, Research & Development",Central Office of Information (COI),100007,7134.73
Department for Education,National College for Leadership of Schools and Children's Services,28/06/2010,Irrecoverable Input VAT,Children's Services,Deloitte,100690,36243.17
Department for Education,National College for Leadership of Schools and Children's Services,28/06/2010,Programme Costs,Children's Services,Deloitte,100690,207103.83
Department for Education,National College for Leadership of Schools and Children's Services,24/06/2010,Building Running Costs,Corporate Services,"Department for Children, Schools & Families",100029,31683
Department for Education,National College for Leadership of Schools and Children's Services,07/06/2010,Programme Costs,Continuous Leadership Learning,Eastern Leadership Centre,99801,25491.64
Department for Education,National College for Leadership of Schools and Children's Services,07/06/2010,Programme Costs,Continuous Leadership Learning,EMLC,99788,78078
Department for Education,National College for Leadership of Schools and Children's Services,18/06/2010,Programme Costs,Continuous Leadership Learning,EMLC,99850,41257.36
Department for Education,National College for Leadership of Schools and Children's Services,18/06/2010,Programme Costs,Continuous Leadership Learning,EMLC,Nat Col EHP Payment Scheme,48486
Department for Education,National College for Leadership of Schools and Children's Services,30/06/2010,Programme Costs,Continuous Leadership Learning,EMLC,Nat Col EHP Payment Scheme,45398
Department for Education,National College for Leadership of Schools and Children's Services,28/06/2010,Grants Made,"Policy, Research & Development",Halton Borough Council,Succession Planning RGTF Grant,30000
Department for Education,National College for Leadership of Schools and Children's Services,25/06/2010,Programme Costs,Continuous Leadership Learning,HTI Leadership Centre Ltd,100631,39200
Department for Education,National College for Leadership of Schools and Children's Services,29/06/2010,Programme Costs,Continuous Leadership Learning,HTI Leadership Centre Ltd,100777,31877.91
Department for Education,National College for Leadership of Schools and Children's Services,08/06/2010,Programme Costs,Continuous Leadership Learning,Institute Of Education,99889,42400
Department for Education,National College for Leadership of Schools and Children's Services,10/06/2010,Programme Costs,Continuous Leadership Learning,Institute Of Education,99993,43539.48
Department for Education,National College for Leadership of Schools and Children's Services,28/06/2010,Programme Costs,Continuous Leadership Learning,Institute Of Education,100046,52307.88
Department for Education,National College for Leadership of Schools and Children's Services,15/06/2010,Grants Made,"Policy, Research & Development",Lancashire County Council,Succession Planning RGTF Grant,30000
Department for Education,National College for Leadership of Schools and Children's Services,15/06/2010,Grants Made,"Policy, Research & Development",London Borough of Havering,Succession Planning RGTF Grant,30000
Department for Education,National College for Leadership of Schools and Children's Services,04/06/2010,Programme Costs,School Leadership Dev,Manchester Metropolitan Uni,99734,68647.35
Department for Education,National College for Leadership of Schools and Children's Services,22/06/2010,Programme Costs,School Leadership Dev,Manchester Metropolitan Uni,100431,44380.8
Department for Education,National College for Leadership of Schools and Children's Services,25/06/2010,Programme Costs,School Leadership Dev,Manchester Metropolitan Uni,100626,26532
Department for Education,National College for Leadership of Schools and Children's Services,25/06/2010,Operational Associates,School Leadership Dev,Manchester Uni,100628,48860
Department for Education,National College for Leadership of Schools and Children's Services,30/06/2010,Programme Costs,Continuous Leadership Learning,Manchester Uni,Nat Col EHP Payment Scheme,100044.99
Department for Education,National College for Leadership of Schools and Children's Services,10/06/2010,"Conference, Events, Exhibitions and Seminars",School Leadership Dev,NEC Group,99667,60000
Department for Education,National College for Leadership of Schools and Children's Services,10/06/2010,Irrecoverable Input VAT,School Leadership Dev,NEC Group,99667,10500
Department for Education,National College for Leadership of Schools and Children's Services,02/06/2010,"Conference, Events, Exhibitions and Seminars",School Leadership Dev,NEC Group,99668,226220.5
Department for Education,National College for Leadership of Schools and Children's Services,02/06/2010,Irrecoverable Input VAT,School Leadership Dev,NEC Group,99668,39588.59
Department for Education,National College for Leadership of Schools and Children's Services,28/06/2010,Irrecoverable Input VAT,Continuous Leadership Learning,Nord Anglia Education Ltd,100362,21880.61
Department for Education,National College for Leadership of Schools and Children's Services,28/06/2010,Programme Costs,Continuous Leadership Learning,Nord Anglia Education Ltd,100362,125032
Department for Education,National College for Leadership of Schools and Children's Services,02/06/2010,"Conference, Events, Exhibitions and Seminars",Continuous Leadership Learning,Novotel London West,99679,64777.05
Department for Education,National College for Leadership of Schools and Children's Services,02/06/2010,Irrecoverable Input VAT,Continuous Leadership Learning,Novotel London West,99679,11335.95
Department for Education,National College for Leadership of Schools and Children's Services,15/06/2010,Grants Made,"Policy, Research & Development",RB of Kingston,Succession Planning RGTF Grant,30000
Department for Education,National College for Leadership of Schools and Children's Services,09/06/2010,Consultancy Fees,"Policy, Research & Development",Rosemary Campbell,97562,32000
Department for Education,National College for Leadership of Schools and Children's Services,09/06/2010,Irrecoverable Input VAT,"Policy, Research & Development",Rosemary Campbell,97562,5600
Department for Education,National College for Leadership of Schools and Children's Services,15/06/2010,Grants Made,"Policy, Research & Development",Rotherham Metropolitan Borough Council,Succession Planning RGTF Grant,25000
Department for Education,National College for Leadership of Schools and Children's Services,09/06/2010,"Conference, Events, Exhibitions and Seminars",Continuous Leadership Learning,RS Live,99923,22214
Department for Education,National College for Leadership of Schools and Children's Services,09/06/2010,Irrecoverable Input VAT,Continuous Leadership Learning,RS Live,99923,3887.45
Department for Education,National College for Leadership of Schools and Children's Services,09/06/2010,"Conference, Events, Exhibitions and Seminars",School Leadership Dev,RS Live,99937,75056.94
Department for Education,National College for Leadership of Schools and Children's Services,09/06/2010,Irrecoverable Input VAT,School Leadership Dev,RS Live,99937,13134.96
Department for Education,National College for Leadership of Schools and Children's Services,14/06/2010,Building Running Costs,Corporate Services,Ruddington Build Co. Ltd,100088,68000
Department for Education,National College for Leadership of Schools and Children's Services,14/06/2010,Irrecoverable Input VAT,Corporate Services,Ruddington Build Co. Ltd,100088,11900
Department for Education,National College for Leadership of Schools and Children's Services,15/06/2010,Grants Made,"Policy, Research & Development",School Development Support Age,Succession Planning RGTF Grant,54650
Department for Education,National College for Leadership of Schools and Children's Services,10/06/2010,Programme Costs,Continuous Leadership Learning,SELT,Nat Col EHP Payment Scheme,47117.6
Department for Education,National College for Leadership of Schools and Children's Services,30/06/2010,Programme Costs,Continuous Leadership Learning,SELT,Nat Col EHP Payment Scheme,28729.51
Department for Education,National College for Leadership of Schools and Children's Services,11/06/2010,Irrecoverable Input VAT,School Leadership Dev,Serco Learning Solutions,100033,8102.29
Department for Education,National College for Leadership of Schools and Children's Services,11/06/2010,Programme Costs,School Leadership Dev,Serco Learning Solutions,100033,46298.82
Department for Education,National College for Leadership of Schools and Children's Services,11/06/2010,Irrecoverable Input VAT,School Leadership Dev,Serco Learning Solutions,100034,11442.71
Department for Education,National College for Leadership of Schools and Children's Services,11/06/2010,Programme Costs,School Leadership Dev,Serco Learning Solutions,100034,65386.93
Department for Education,National College for Leadership of Schools and Children's Services,22/06/2010,Building Running Costs,Corporate Services,Sodexho Ltd,100436,231161.28
Department for Education,National College for Leadership of Schools and Children's Services,22/06/2010,Irrecoverable Input VAT,Corporate Services,Sodexho Ltd,100436,40423.26
Department for Education,National College for Leadership of Schools and Children's Services,15/06/2010,Grants Made,"Policy, Research & Development",Southwark Council,Succession Planning RGTF Grant,30000
Department for Education,National College for Leadership of Schools and Children's Services,28/06/2010,Grants Made,"Policy, Research & Development",Southwark Council,Succession Planning RGTF Grant,31000
Department for Education,National College for Leadership of Schools and Children's Services,28/06/2010,Grants Made,"Policy, Research & Development",Stockton-On-Tees,Succession Planning RGTF Grant,25000
Department for Education,National College for Leadership of Schools and Children's Services,04/06/2010,Irrecoverable Input VAT,Children's Services,Teachers TV,Invoice 10050 never received,3750
Department for Education,National College for Leadership of Schools and Children's Services,04/06/2010,Multimedia Production,Children's Services,Teachers TV,Invoice 10050 never received,25000
Department for Education,National College for Leadership of Schools and Children's Services,23/06/2010,Operational Associates,School Leadership Dev,The University of Manchester,100528,40950
Department for Education,National College for Leadership of Schools and Children's Services,15/06/2010,Irrecoverable Input VAT,Continuous Leadership Learning,The Workshop,99759,5713.75
Department for Education,National College for Leadership of Schools and Children's Services,15/06/2010,Outsourcing,Continuous Leadership Learning,The Workshop,99759,32650
