Spend over £25000 - Publication template,,,,,,,

Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for Leadership of Schools and Children's Services,23/09/2010,Irrecoverable Input VAT,Continuous Leadership Learning,BT Global Services Solutions,102784,26912.74
Department for Education,National College for Leadership of Schools and Children's Services,23/09/2010,Irrecoverable Input VAT,School Leadership Development,BT Global Services Solutions,102784,4208.75
Department for Education,National College for Leadership of Schools and Children's Services,23/09/2010,Outsourcing,Continuous Leadership Learning,BT Global Services Solutions,102784,153305.99
Department for Education,National College for Leadership of Schools and Children's Services,23/09/2010,Outsourcing,School Leadership Development,BT Global Services Solutions,102784,24050
Department for Education,National College for Leadership of Schools and Children's Services,23/09/2010,Programme Costs,Continuous Leadership Learning,BT Global Services Solutions,102784,480.99
Department for Education,National College for Leadership of Schools and Children's Services,23/09/2010,Grants Made,"Policy, Research & Development",Bury LEA,Succession Planning RGTF Grant,30000
Department for Education,National College for Leadership of Schools and Children's Services,23/09/2010,Grants Made,"Policy, Research & Development",Cambridgeshire County Council,Succession Planning RGTF Grant,69000
Department for Education,National College for Leadership of Schools and Children's Services,01/09/2010,Programme Costs,Childrens Services,Eastern Leadership Centre,103121,45752
Department for Education,National College for Leadership of Schools and Children's Services,23/09/2010,Grants Made,"Policy, Research & Development",East Riding of Yorkshire Council,Succession Planning RGTF Grant,65000
Department for Education,National College for Leadership of Schools and Children's Services,10/09/2010,Programme Costs,Continuous Leadership Learning,SELT,Nat Col EHP Payment Scheme,26917.74
Department for Education,National College for Leadership of Schools and Children's Services,06/09/2010,Programme Costs,Continuous Leadership Learning,Future Leaders Ltd,103189,336200
Department for Education,National College for Leadership of Schools and Children's Services,06/09/2010,Programme Costs,Continuous Leadership Learning,Future Leaders Ltd,103190,26000
Department for Education,National College for Leadership of Schools and Children's Services,06/09/2010,Programme Costs,Continuous Leadership Learning,Future Leaders Ltd,103191,51832
Department for Education,National College for Leadership of Schools and Children's Services,23/09/2010,Grants Made,"Policy, Research & Development",Halton Borough Council,Succession Planning RGTF Grant,30000
Department for Education,National College for Leadership of Schools and Children's Services,06/09/2010,Programme Costs,Continuous Leadership Learning,HTI Leadership Centre Ltd,103209,79200
Department for Education,National College for Leadership of Schools and Children's Services,08/09/2010,Irrecoverable Input VAT,Childrens Services,Institute Of Education,103298,6998.25
Department for Education,National College for Leadership of Schools and Children's Services,08/09/2010,Operational Associates,Childrens Services,Institute Of Education,103298,39990
Department for Education,National College for Leadership of Schools and Children's Services,07/09/2010,Externals Travel & Subsistence,School Leadership Development,Creasy-Lockyer Ltd,103086,3285.41
Department for Education,National College for Leadership of Schools and Children's Services,07/09/2010,Irrecoverable Input VAT,School Leadership Development,Creasy-Lockyer Ltd,103086,3794.95
Department for Education,National College for Leadership of Schools and Children's Services,07/09/2010,Operational Associates,School Leadership Development,Creasy-Lockyer Ltd,103086,18400
Department for Education,National College for Leadership of Schools and Children's Services,30/09/2010,Audit Fees,Corporate Services,KPMG,103824,26228
Department for Education,National College for Leadership of Schools and Children's Services,30/09/2010,Irrecoverable Input VAT,Corporate Services,KPMG,103824,4589.9
Department for Education,National College for Leadership of Schools and Children's Services,23/09/2010,Grants Made,"Policy, Research & Development",Lancashire County Council,Succession Planning RGTF Grant,30000
Department for Education,National College for Leadership of Schools and Children's Services,23/09/2010,Programme Costs,School Leadership Development,Manchester Metropolitan Uni,103633,28461.6
Department for Education,National College for Leadership of Schools and Children's Services,23/09/2010,Programme Costs,School Leadership Development,Manchester Metropolitan Uni,103646,41359.8
Department for Education,National College for Leadership of Schools and Children's Services,28/09/2010,Audit Fees,Corporate Services,National Audit Office,103715,50000
Department for Education,National College for Leadership of Schools and Children's Services,10/09/2010,Irrecoverable Input VAT,Continuous Leadership Learning,Nord Anglia Education Ltd,103225,16380.7
Department for Education,National College for Leadership of Schools and Children's Services,10/09/2010,Programme Costs,Continuous Leadership Learning,Nord Anglia Education Ltd,103225,93604
Department for Education,National College for Leadership of Schools and Children's Services,22/09/2010,"Conference, Events, Exhibitions and Seminars",Continuous Leadership Learning,Novotel London West,Refund against 99679,-8953.63
Department for Education,National College for Leadership of Schools and Children's Services,22/09/2010,Irrecoverable Input VAT,Continuous Leadership Learning,Novotel London West,Refund against 99679,-1343.05
