Spend over £25000 - Publication template,,,,,,,,
,,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,Altrincham Grammar School for Girls,Collab Fund Grant,102872.50,
Department for Education,National College for Leadership of Schools and Children's Services,28/02/2011,Grants Made,School Leadership Development,Altrincham Grammar School for Girls,Collab Fund Grant,2145.00,
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,Altrincham Grammar School for Girls,Collab Fund grant,45862.00,
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Programme Costs,School Leadership Development,Anglia Ruskin University,107350,-3465.00,
Department for Education,National College for Leadership of Schools and Children's Services,10/02/2011,Programme Costs,School Leadership Development,Anglia Ruskin University,107565,29100.00,
Department for Education,National College for Leadership of Schools and Children's Services,28/02/2011,Grants Made,School Leadership Development,Blackwell Primary School,SBM Primary partnershp grant,25000.00,
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,The Blue Coat School,Collab Fund Grant,15445.50,
Department for Education,National College for Leadership of Schools and Children's Services,14/02/2011,Grants Made,School Leadership Development,The Blue Coat School,Collab Fund Grant,13000.50,
Department for Education,National College for Leadership of Schools and Children's Services,07/02/2011,Grants Made,School Leadership Development,Bolton MBC - St Pauls CE Primary School,Collab Fund Grant,35840.00,
Department for Education,National College for Leadership of Schools and Children's Services,28/02/2011,Grants Made,School Leadership Development,Bolton MBC - St Pauls CE Primary School,Collab Fund Grant,10000.00,
Department for Education,National College for Leadership of Schools and Children's Services,18/02/2011,Irrecoverable Input VAT,Continuous Leadership Learning,BT Global Services Solutions,106736,2347.18,
Department for Education,National College for Leadership of Schools and Children's Services,18/02/2011,Irrecoverable Input VAT,Corporate Services,BT Global Services Solutions,106736,673.75,
Department for Education,National College for Leadership of Schools and Children's Services,18/02/2011,Irrecoverable Input VAT,School Leadership Development,BT Global Services Solutions,106736,23002.56,
Department for Education,National College for Leadership of Schools and Children's Services,18/02/2011,Outsourcing,Continuous Leadership Learning,BT Global Services Solutions,106736,13412.50
Department for Education,National College for Leadership of Schools and Children's Services,18/02/2011,Outsourcing,Corporate Services,BT Global Services Solutions,106736,3850.00
Department for Education,National College for Leadership of Schools and Children's Services,18/02/2011,Outsourcing,School Leadership Development,BT Global Services Solutions,106736,131443.20
Department for Education,National College for Leadership of Schools and Children's Services,18/02/2011,Irrecoverable Input VAT,School Leadership Development,BT Global Services Solutions,107644,-23002.56
Department for Education,National College for Leadership of Schools and Children's Services,18/02/2011,Outsourcing,School Leadership Development,BT Global Services Solutions,107644,-131443.20
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,Charles Darwin School,Collab Fund Grant,10000.00
Department for Education,National College for Leadership of Schools and Children's Services,28/02/2011,Grants Made,School Leadership Development,Charles Darwin School,Collab Fund Grant,38260.00
Department for Education,National College for Leadership of Schools and Children's Services,28/02/2011,Grants Made,School Leadership Development,Cheadle Hulme High School,Collab Fund Grant,2145.00
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,Cheadle Hulme High School,Collab Fund grant,53120.00
Department for Education,National College for Leadership of Schools and Children's Services,16/02/2011,Grants Made,School Leadership Development,Djanogly City Academy Nottm,SBM Primary partnershp grant,25000.00
Department for Education,National College for Leadership of Schools and Children's Services,17/02/2011,Programme Costs,Continuous Leadership Learning,EMLC,107722,68838.00
Department for Education,National College for Leadership of Schools and Children's Services,10/02/2011,EHP Liability,Continuous Leadership Learning,EMLC,Nat Col EHP Payment Scheme,33938.52
Department for Education,National College for Leadership of Schools and Children's Services,17/02/2011,EHP Liability,Continuous Leadership Learning,EMLC,Nat Col EHP Payment Scheme,16489.30
Department for Education,National College for Leadership of Schools and Children's Services,24/02/2011,EHP Liability,Continuous Leadership Learning,EMLC,Nat Col EHP Payment Scheme,23166.41
