Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for Leadership of Schools and Children's Services,31/01/2011,Grants Made,School Leadership Development,Ashton on Mersey School,Collab Fund Grant,159189.33
Department for Education,National College for Leadership of Schools and Children's Services,20/01/2011,Grants Made,School Leadership Development,Belleville Pri Sch,Collaborative fund Grant,25820
Department for Education,National College for Leadership of Schools and Children's Services,26/01/2011,Grants Made,School Leadership Development,Christ Church CE Primary School,Collab Fund Grant,36860
Department for Education,National College for Leadership of Schools and Children's Services,26/01/2011,Grants Made,School Leadership Development,Corngreaves Primary School,Collab Fund Grant,48740
Department for Education,National College for Leadership of Schools and Children's Services,28/01/2011,Building Running Costs,Corporate Services,Department for Education,107064,31683
Department for Education,National College for Leadership of Schools and Children's Services,13/01/2011,Building Running Costs,Corporate Services,Department for Education,LCC Lease Q4,7056.45
Department for Education,National College for Leadership of Schools and Children's Services,13/01/2011,Finance Leases > 1 Yr,Corporate Services,Department for Education,LCC Lease Q4,180443.55
Department for Education,National College for Leadership of Schools and Children's Services,31/01/2011,Grants Made,School Leadership Development,Earls High School,Collab Fund Grant,187900
Department for Education,National College for Leadership of Schools and Children's Services,05/01/2011,Programme Costs,Continuous Leadership Learning,EMLC,106478,35220.19
Department for Education,National College for Leadership of Schools and Children's Services,18/01/2011,Programme Costs,Continuous Leadership Learning,EMLC,106693,49896
Department for Education,National College for Leadership of Schools and Children's Services,05/01/2011,EHP Liability,Continuous Leadership Learning,EMLC,Nat Col EHP Payment Scheme,16956.37
Department for Education,National College for Leadership of Schools and Children's Services,17/01/2011,EHP Liability,Continuous Leadership Learning,EMLC,Nat Col EHP Payment Scheme,12746.52
Department for Education,National College for Leadership of Schools and Children's Services,05/01/2011,EHP Liability,Continuous Leadership Learning,SELT,Nat Col EHP Payment Scheme,28484.84
Department for Education,National College for Leadership of Schools and Children's Services,17/01/2011,EHP Liability,Continuous Leadership Learning,SELT,Nat Col EHP Payment Scheme,21136.2
Department for Education,National College for Leadership of Schools and Children's Services,31/01/2011,Grants Made,School Leadership Development,Fairlawn Primary School,Collab Fund Grant,38840
Department for Education,National College for Leadership of Schools and Children's Services,04/01/2011,Programme Costs,Continuous Leadership Learning,Future Leaders Ltd,106426,90700
Department for Education,National College for Leadership of Schools and Children's Services,04/01/2011,Programme Costs,Continuous Leadership Learning,Future Leaders Ltd,106427,311700
Department for Education,National College for Leadership of Schools and Children's Services,27/01/2011,Programme Costs,Continuous Leadership Learning,Future Leaders Ltd,107059,283100
Department for Education,National College for Leadership of Schools and Children's Services,27/01/2011,Programme Costs,Continuous Leadership Learning,Future Leaders Ltd,107060,150700
Department for Education,National College for Leadership of Schools and Children's Services,27/01/2011,Programme Costs,Continuous Leadership Learning,Future Leaders Ltd,107062,59550
Department for Education,National College for Leadership of Schools and Children's Services,26/01/2011,Grants Made,School Leadership Development,Heath Park Business and Enterprise College,Collab Fund Grant,36000
Department for Education,National College for Leadership of Schools and Children's Services,31/01/2011,Grants Made,School Leadership Development,Heath Park Business and Enterprise College,Collab Fund Grant,6682.5
Department for Education,National College for Leadership of Schools and Children's Services,07/01/2011,Programme Costs,Continuous Leadership Learning,HTI Leadership Centre Ltd,106586,27200
Department for Education,National College for Leadership of Schools and Children's Services,12/01/2011,Irrecoverable Input VAT,School Leadership Development,IAM,106715,3414.25
Department for Education,National College for Leadership of Schools and Children's Services,12/01/2011,Professional Fees,School Leadership Development,IAM,106715,30760
Department for Education,National College for Leadership of Schools and Children's Services,31/01/2011,Grants Made,"Policy, Research & Development",The Leigh City Enterprise Co Limited,Assoc Academy facilitatn grant,32000
Department for Education,National College for Leadership of Schools and Children's Services,06/01/2011,Programme Costs,Continuous Leadership Learning,Manchester Uni,106512,26521.35
Department for Education,National College for Leadership of Schools and Children's Services,18/01/2011,Programme Costs,Continuous Leadership Learning,Manchester Uni,106881,74342.66
Department for Education,National College for Leadership of Schools and Children's Services,07/01/2011,Programme Costs,School Leadership Development,Manchester Metropolitan Uni,106578,35697.6
Department for Education,National College for Leadership of Schools and Children's Services,26/01/2011,Grants Made,School Leadership Development,Manor Primary School,Collab Fund Grant,46860
