Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for School Leadership,29/07/2011,Programme Costs,Leadership Development,Amber Publications & Training LLP,111524,72293
Department for Education,National College for School Leadership,13/07/2011,Programme Costs,Leadership Development,Anglia Ruskin University,111126,34886.4
Department for Education,National College for School Leadership,14/07/2011,Programme Costs,Leadership Development,Anglia Ruskin University,111147,42075
Department for Education,National College for School Leadership,14/07/2011,Programme Costs,Leadership Development,Anglia Ruskin University,111158,26025
Department for Education,National College for School Leadership,07/07/2011,Programme Costs,Leadership Development,Best Practice Network,110951,31346.8
Department for Education,National College for School Leadership,08/07/2011,Grants Made,Leadership Development,Brigshaw High School,Wave 5 targeted support grant,10000
Department for Education,National College for School Leadership,27/07/2011,Grants Made,Leadership Development,Brigshaw High School,Wave 5 targeted support grant,62000
Department for Education,National College for School Leadership,13/07/2011,ICT Running Costs,Business Services,BT Global Services Solutions,110686,22553.27
Department for Education,National College for School Leadership,13/07/2011,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,110686,4510.65
Department for Education,National College for School Leadership,13/07/2011,ICT Running Costs,Leadership Development,BT Global Services Solutions,110686,78644
Department for Education,National College for School Leadership,13/07/2011,Irrecoverable Input VAT,Leadership Development,BT Global Services Solutions,110686,15728.8
Department for Education,National College for School Leadership,18/07/2011,ICT Running Costs,Business Services,BT Global Services Solutions,111226,141666.66
Department for Education,National College for School Leadership,18/07/2011,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,111226,28333.33
Department for Education,National College for School Leadership,08/07/2011,Grants Made,Leadership Development,Creative Solutions Partnership Limited,Wave 5 targeted support grant,30000
Department for Education,National College for School Leadership,29/07/2011,Grants Made,Leadership Development,Creative Solutions Partnership Limited,Wave 5 targeted support grant,48000
Department for Education,National College for School Leadership,06/07/2011,Building Running Costs,Business Services,Department for Education,110907,28972
Department for Education,National College for School Leadership,12/07/2011,Building Running Costs,Business Services,Department for Education,LCC Finance Lease Q2,7056.45
Department for Education,National College for School Leadership,12/07/2011,Finance Leases > 1 Yr,Business Services,Department for Education,LCC Finance Lease Q2,180443.55
Department for Education,National College for School Leadership,15/07/2011,Grants Made,Leadership Development,Dudley MBC,Wave 5 targeted support grant,30000
Department for Education,National College for School Leadership,13/07/2011,Programme Costs,Leadership Development,EMLC,111106,68376
Department for Education,National College for School Leadership,29/07/2011,Programme Costs,Leadership Development,EMLC,111526,82236
Department for Education,National College for School Leadership,21/07/2011,Programme Costs,Leadership Development,Eastern Leadership Centre,111315,50594.72
Department for Education,National College for School Leadership,07/07/2011,Programme Costs,Leadership Development,SELT,110971,29687.6
Department for Education,National College for School Leadership,15/07/2011,Grants Made,School to School support,Fairlawn Primary School,Collaborative Fund Grant,245000
Department for Education,National College for School Leadership,07/07/2011,Programme Costs,Leadership Development,Future Leaders Ltd,110968,26300
Department for Education,National College for School Leadership,07/07/2011,Programme Costs,Leadership Development,Future Leaders Ltd,110969,284000
Department for Education,National College for School Leadership,07/07/2011,Irrecoverable Input VAT,School to School support,Granada Learning Limited,110838,8460
Department for Education,National College for School Leadership,07/07/2011,Programme Costs,School to School support,Granada Learning Limited,110838,42300
Department for Education,National College for School Leadership,15/07/2011,Grants Made,School to School support,Hawkley Hall High School,Collaborative Fund Grant,356400
Department for Education,National College for School Leadership,27/07/2011,Grants Made,School to School support,Hayes School,Collaborative Fund Grant,185000
Department for Education,National College for School Leadership,29/07/2011,Irrecoverable Input VAT,Leadership Development,Hilton UK Hotels Limited,111541,7917.4
Department for Education,National College for School Leadership,29/07/2011,Programme Costs,Leadership Development,Hilton UK Hotels Limited,111541,43652.6
Department for Education,National College for School Leadership,01/07/2011,Programme Costs,Leadership Development,HTI Leadership Centre Ltd,110877,48167.46
Department for Education,National College for School Leadership,01/07/2011,Programme Costs,Leadership Development,HTI Leadership Centre Ltd,110890,39900
Department for Education,National College for School Leadership,11/07/2011,Programme Costs,Leadership Development,HTI Leadership Centre Ltd,111065,29945.5
Department for Education,National College for School Leadership,26/07/2011,Programme Costs,Leadership Development,HTI Leadership Centre Ltd,111377,39200
Department for Education,National College for School Leadership,07/07/2011,Programme Costs,Leadership Development,Institute Of Education,110955,69600
Department for Education,National College for School Leadership,11/07/2011,Programme Costs,Leadership Development,Institute Of Education,111051,43105.2
Department for Education,National College for School Leadership,21/07/2011,Irrecoverable Input VAT,Leadership Development,IAM,111316,3902
Department for Education,National College for School Leadership,21/07/2011,Programme Costs,Leadership Development,IAM,111316,30760
Department for Education,National College for School Leadership,27/07/2011,Grants Made,Leadership Development,London Borough of Havering,Wave 5 targeted support grant,25000
Department for Education,National College for School Leadership,01/07/2011,Programme Costs,Leadership Development,Manchester Uni,110885,167400
Department for Education,National College for School Leadership,01/07/2011,Programme Costs,Leadership Development,Manchester Uni,110886,120800
Department for Education,National College for School Leadership,01/07/2011,Programme Costs,Leadership Development,Manchester Uni,110889,164850
Department for Education,National College for School Leadership,06/07/2011,Programme Costs,Leadership Development,Manchester Metropolitan Uni,110904,61264.8
