Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for School Leadership,27/10/2011,Grants Made,Leadership Development,All Saints CofE Academy,Wave 5 targeted support grant,26000
Department for Education,National College for School Leadership,07/10/2011,Programme Costs,Leadership Development,Amber Publications & Training LLP,112502,210561
Department for Education,National College for School Leadership,27/10/2011,Programme Costs,Leadership Development,Best Practice Network,112821,30944.8
Department for Education,National College for School Leadership,27/10/2011,Grants Made,Leadership Development,Brigshaw High School,Wave 5 targeted support grant,156800
Department for Education,National College for School Leadership,07/10/2011,ICT Running Costs,Leadership Development,BT Global Services Solutions,112380,23526.46
Department for Education,National College for School Leadership,07/10/2011,ICT Running Costs,Business Services,BT Global Services Solutions,112380,40063
Department for Education,National College for School Leadership,07/10/2011,Irrecoverable Input VAT,Leadership Development,BT Global Services Solutions,112380,4705.29
Department for Education,National College for School Leadership,07/10/2011,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,112380,8012.6
Department for Education,National College for School Leadership,10/10/2011,ICT Running Costs,Business Services,BT Global Services Solutions,112522,141666.66
Department for Education,National College for School Leadership,10/10/2011,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,112522,28333.33
Department for Education,National College for School Leadership,27/10/2011,Grants Made,Leadership Development,Buckinghamshire CC,Wave 5 targeted support grant,38500
Department for Education,National College for School Leadership,27/10/2011,Grants Made,Leadership Development,Bury LEA,Wave 5 targeted support grant,85000
Department for Education,National College for School Leadership,06/10/2011,Building Running Costs,Business Services,Department for Education,112446,28972
Department for Education,National College for School Leadership,12/10/2011,Building Running Costs,Business Services,Department for Education,LCC Finance Lease Q3,7056.45
Department for Education,National College for School Leadership,12/10/2011,Finance Leases > 1 Yr,Other,Department for Education,LCC Finance Lease Q3,180443.55
Department for Education,National College for School Leadership,06/10/2011,Programme Costs,Leadership Development,EMLC,112460,358344
Department for Education,National College for School Leadership,11/10/2011,Irrecoverable Input VAT,School to School support,EMLC,112558,4972.8
Department for Education,National College for School Leadership,11/10/2011,Programme Training,School to School support,EMLC,112558,24864
Department for Education,National College for School Leadership,20/10/2011,Programme Costs,Leadership Development,EMLC,112619,190400
Department for Education,National College for School Leadership,20/10/2011,Programme Costs,Leadership Development,EMLC,112705,-80444
Department for Education,National College for School Leadership,27/10/2011,Programme Costs,Leadership Development,EMLC,112825,59598
Department for Education,National College for School Leadership,06/10/2011,Programme Costs,Leadership Development,SELT,112470,208800
Department for Education,National College for School Leadership,20/10/2011,Programme Costs,Leadership Development,SELT,112706,27573.6
Department for Education,National College for School Leadership,14/10/2011,Programme Costs,Leadership Development,Future Leaders Ltd,112637,33600
