Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for School Leadership,15/12/2011,Programme Costs,Leadership Development,Anglia Ruskin University,113669,33832.5
Department for Education,National College for School Leadership,07/12/2011,Grants Made,School to School support,Ashton on Mersey School,Collaborative Fund Grant,108590
Department for Education,National College for School Leadership,07/12/2011,Grants Made,Leadership Development,Bath & Wells Anglican Diocese,Wave 5 Targeted Support Grant,43000
Department for Education,National College for School Leadership,15/12/2011,Grants Made,Leadership Development,Borough Of Poole,Wave 5 Targeted Support Grant,36000
Department for Education,National College for School Leadership,20/12/2011,Grants Made,Leadership Development,Brigshaw High School,Wave 5 Targeted Support Grant,25000
Department for Education,National College for School Leadership,09/12/2011,ICT Running Costs,Business Services,BT Global Services Solutions,113621,27642
Department for Education,National College for School Leadership,09/12/2011,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,113621,5528.4
Department for Education,National College for School Leadership,20/12/2011,Grants Made,School to School support,Canon Slade Sch,Collaborative Fund Grant,40000
Department for Education,National College for School Leadership,20/12/2011,Grants Made,School to School support,Codsall Community High School,Collaborative Fund Grant,33000
Department for Education,National College for School Leadership,07/12/2011,Grants Made,School to School support,Compton School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,07/12/2011,Grants Made,School to School support,Cotgrave Candelby Lane School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,09/12/2011,"Conference, Events, Exhibitions and Seminars",Business Services,Creative Choice CIC,113413,20893.89
Department for Education,National College for School Leadership,09/12/2011,Irrecoverable Input VAT,Business Services,Creative Choice CIC,113413,4178.77
Department for Education,National College for School Leadership,07/12/2011,Grants Made,Leadership Development,Denbigh High School,Collaborative Fund Grant,10000
Department for Education,National College for School Leadership,07/12/2011,Grants Made,School to School support,Denbigh High School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,07/12/2011,Grants Made,School to School support,Denbigh School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,07/12/2011,Grants Made,School to School support,Dove House School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,20/12/2011,Grants Made,School to School support,Elmridge Primary School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,01/12/2011,Irrecoverable Input VAT,School to School support,EMLC,113443,4972.8
Department for Education,National College for School Leadership,01/12/2011,Programme Training,School to School support,EMLC,113443,24864
Department for Education,National College for School Leadership,19/12/2011,Programme Costs,Leadership Development,EMLC,113732,50820
Department for Education,National College for School Leadership,22/12/2011,Programme Costs,Leadership Development,EMLC,113771,115500
Department for Education,National College for School Leadership,20/12/2011,Grants Made,School to School support,Everton Nursery School & Family Centre,Collaborative Fund Grant,37250
Department for Education,National College for School Leadership,07/12/2011,Grants Made,School to School support,Fairlawn Primary School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,20/12/2011,Grants Made,School to School support,Fairlawn Primary School,Collaborative Fund Grant,15000
Department for Education,National College for School Leadership,07/12/2011,Grants Made,School to School support,Frederick Bird Primary School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,30/11/2011,Programme Costs,Leadership Development,Future Leaders Ltd,113409,72100
Department for Education,National College for School Leadership,30/11/2011,Programme Costs,Leadership Development,Future Leaders Ltd,113410,273200
Department for Education,National College for School Leadership,20/12/2011,Programme Costs,Leadership Development,Future Leaders Ltd,113753,287300
Department for Education,National College for School Leadership,20/12/2011,Programme Costs,Leadership Development,Future Leaders Ltd,113754,94800
Department for Education,National College for School Leadership,07/12/2011,Grants Made,School to School support,Gawthorpe Community Primary,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,20/12/2011,Grants Made,School to School support,George Spencer Academy Trust,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,07/12/2011,Grants Made,School to School support,Greet Primary Sch,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,15/12/2011,Grants Made,Leadership Development,Halton Borough Council,Wave 5 Targeted Support Grant,50000
Department for Education,National College for School Leadership,20/12/2011,Grants Made,Leadership Development,Halton Borough Council,Wave 5 Targeted Support Grant,102000
Department for Education,National College for School Leadership,07/12/2011,Grants Made,School to School support,Harris City Academy,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,20/12/2011,Grants Made,School to School support,Haydon School,Collaborative Fund Grant,29300
Department for Education,National College for School Leadership,07/12/2011,Grants Made,School to School support,Holmes Chapel Comprehensive School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,07/12/2011,Programme Costs,Leadership Development,HTI Leadership Centre Ltd,113589,157600
