Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Alder Grange C&T School,Teaching Schools Grant,8550.00
Department for Education,National College for School Leadership,27/02/2012,Grants Made,School to School support,Alder Grange C&T School,Teaching Schools Grant,25000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Altrincham Grammar School for Girls,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,10/02/2012,Programme Costs,Leadership Development,Amber Publications & Training LLP,114603,123097.20
Department for Education,National College for School Leadership,10/02/2012,Programme Costs,Leadership Development,Anglia Ruskin University,114577,45540.00
Department for Education,National College for School Leadership,24/02/2012,Programme Costs,Leadership Development,Anglia Ruskin University,114649,59415.90
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Ashfield Sch,NLE Deployment Fund Grant,30000.00
Department for Education,National College for School Leadership,07/02/2012,Grants Made,School to School support,Askwith Community Primary School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Bartley Green Technology Cge,Teaching Schools Grant,39500.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Beech Hill Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,07/02/2012,Grants Made,School to School support,Binstead Primary,Teaching Schools Grant,45000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Bishop Ramsey C of E VA Secondary School,Teaching Schools Grant,38000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,"Bishop Stopford School, Headlands",NLE Deployment Fund Grant,30000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Bishops Cleeve Primary Academy,Teaching Schools Grant,30600.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Bitterne Park School,NLE Deployment Fund Grant,30000.00
Department for Education,National College for School Leadership,15/02/2012,Grants Made,School to School support,Bolton MBC - St Pauls CE Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,27/02/2012,Grants Made,School to School support,Brighouse High School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,27/02/2012,Grants Made,School to School support,Brooke Weston CTC,Teaching Schools Grant,2000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Brooke Weston CTC,Teaching Schools Grant,39200.00
Department for Education,National College for School Leadership,07/02/2012,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,114509,31853.32
Department for Education,National College for School Leadership,07/02/2012,ICT Running Costs,Business Services,BT Global Services Solutions,114509,159266.57
Department for Education,National College for School Leadership,07/02/2012,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,114515,12549.18
Department for Education,National College for School Leadership,07/02/2012,ICT Running Costs,Business Services,BT Global Services Solutions,114515,62745.90
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Burnley Brow Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Cardinal Hume Catholic School,NLE Deployment Fund Grant,30000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Carmel RC College,Teaching Schools Grant,40100.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Claremont Primary School,Teaching Schools Grant,32200.00
Department for Education,National College for School Leadership,27/02/2012,Grants Made,School to School support,Claverham Community College,Teaching Schools Grant,34750.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Collingwood Primary School,NLE Deployment Fund Grant,25000.00
