Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Abington High School,Collaborative Fund Grant,30000
Department for Education,National College for School Leadership,16/01/2012,Grants Made,School to School support,Alexandra Infant School,Collaborative Fund Grant,30000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Alexandra Infant School,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,03/01/2012,Grants Made,Leadership Development,Babcock 4S,Wave 5 Targeted Support Grant,38000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Bandon Hill Primary School,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Berry Brow I&N School,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,04/01/2012,Programme Costs,Leadership Development,Best Practice Network,113966,62252.3
Department for Education,National College for School Leadership,11/01/2012,Programme Costs,Leadership Development,Best Practice Network,114058,58932.1
Department for Education,National College for School Leadership,24/01/2012,Grants Made,School to School support,Boldmere Infant and Nursery School,Collaborative Fund Grant,39900
Department for Education,National College for School Leadership,03/01/2012,Grants Made,Leadership Development,Borough Of Poole,Wave 5 Targeted Support Grant,35000
Department for Education,National College for School Leadership,11/01/2012,ICT Running Costs,Business Services,BT Global Services Solutions,113993,151545.4
Department for Education,National College for School Leadership,11/01/2012,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,113993,30309.08
Department for Education,National College for School Leadership,05/01/2012,ICT Running Costs,Business Services,BT Global Services Solutions,113994,141312.5
Department for Education,National College for School Leadership,05/01/2012,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,113994,28262.5
Department for Education,National College for School Leadership,19/01/2012,ICT Running Costs,Business Services,BT Global Services Solutions,114148,159266.57
Department for Education,National College for School Leadership,19/01/2012,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,114148,31853.32
Department for Education,National College for School Leadership,26/01/2012,Irrecoverable Input VAT,Leadership Development,Central Office of Information (COI),114175,10430
Department for Education,National College for School Leadership,26/01/2012,Operational Associates,Leadership Development,Central Office of Information (COI),114175,52150
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Charles Dickens Primary School,Collaborative Fund Grant,25000
