Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for School Leadership,21/03/2012,Grants Made,School to School support,Abbey Court School,NLE Deployment Fund Grant,25000
Department for Education,National College for School Leadership,01/03/2012,Grants Made,School to School support,Alder Grange C&T School,NLE Deployment Fund Grant,30000
Department for Education,National College for School Leadership,19/03/2012,Grants Made,School to School support,Altrincham Grammar School for Girls,Specialist Leader of Education,29800
Department for Education,National College for School Leadership,26/03/2012,Grants Made,School to School support,Altrincham Grammar School for Girls,Specialist Leader of Education,2000
Department for Education,National College for School Leadership,12/03/2012,Programme Costs,Leadership Development,Anglia Ruskin University,115195,37430.2
Department for Education,National College for School Leadership,12/03/2012,Programme Costs,Leadership Development,Anglia Ruskin University,115198,59415.9
Department for Education,National College for School Leadership,22/03/2012,Programme Costs,Leadership Development,Anglia Ruskin University,115534,67229
Department for Education,National College for School Leadership,28/03/2012,Grants Made,School to School support,Archbishop Sentamu Academy,NLE Deployment Fund Grant,30000
Department for Education,National College for School Leadership,21/03/2012,Grants Made,School to School support,Ashton Gate Primary School,NLE00 Deployment Grant,25000
Department for Education,National College for School Leadership,06/03/2012,Grants Made,School to School support,Ashton on Mersey School,Teaching Schools Grant,42000
Department for Education,National College for School Leadership,15/03/2012,Grants Made,School to School support,Ashton on Mersey School,Teaching Schools Grant,2000
Department for Education,National College for School Leadership,17/03/2012,Grants Made,School to School support,Ashton on Mersey School,Teaching Schools Grant,4000
Department for Education,National College for School Leadership,26/03/2012,Programme Costs,Leadership Development,Best Practice Network,115599,85047.75
Department for Education,National College for School Leadership,15/03/2012,Grants Made,School to School support,Biddulph High School,Teaching Schools Grant,40000
Department for Education,National College for School Leadership,08/03/2012,Grants Made,School to School support,Birchley St Mary's Catholic Primary School,Collaborative Fund Grant,40000
Department for Education,National College for School Leadership,06/03/2012,Grants Made,School to School support,Birley Spa Community Primary School,NLE Deployment Fund Grant,25000
Department for Education,National College for School Leadership,06/03/2012,Grants Made,School to School support,Bishop Challoner Catholic School,Teaching Schools Grant,37300
Department for Education,National College for School Leadership,21/03/2012,Grants Made,School to School support,Black Combe School,NLE Deployment Fund Grant,25000
Department for Education,National College for School Leadership,15/03/2012,Grants Made,School to School support,Blackfriars School,Teaching Schools Grant,26000
Department for Education,National College for School Leadership,08/03/2012,Grants Made,School to School support,Bleak Hill Primary School,Collaborative Fund Grant,40000
Department for Education,National College for School Leadership,21/03/2012,Grants Made,School to School support,Bloxham C E Primary School,NLE Deployment Fund Grant,25000
Department for Education,National College for School Leadership,28/03/2012,Grants Made,School to School support,Bonnygate Primary School,NLE Deployment Fund Grant,25000
Department for Education,National College for School Leadership,28/03/2012,Irrecoverable Input VAT,Leadership Development,Bostock Marketing Group Ltd,115784,6000
Department for Education,National College for School Leadership,28/03/2012,Operational Associates,Leadership Development,Bostock Marketing Group Ltd,115784,30000
Department for Education,National College for School Leadership,21/03/2012,Grants Made,School to School support,Breadsall Hill Top Junior School,NLE00 Deployment Grant,25000
Department for Education,National College for School Leadership,15/03/2012,Grants Made,School to School support,Broadclyst Primary Academy Trust,Teaching Schools Grant,38500
Department for Education,National College for School Leadership,17/03/2012,Grants Made,School to School support,Broadclyst Primary Academy Trust,Teaching Schools Grant,1500
Department for Education,National College for School Leadership,06/03/2012,Grants Made,School to School support,Brooke Weston CTC,NLE Deployment Fund Grant,25000
Department for Education,National College for School Leadership,26/03/2012,Grants Made,School to School support,Brookside Community Primary School,NLE Deployment Fund Grant,25000
Department for Education,National College for School Leadership,12/03/2012,ICT Running Costs,Business Services,BT Global Services Solutions,115170,158912.57
Department for Education,National College for School Leadership,12/03/2012,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,115170,31782.52
Department for Education,National College for School Leadership,13/03/2012,ICT Running Costs,Business Services,BT Global Services Solutions,115212,35399
Department for Education,National College for School Leadership,13/03/2012,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,115212,7079.8
Department for Education,National College for School Leadership,28/03/2012,ICT Running Costs,Business Services,BT Global Services Solutions,115600,42302.9
Department for Education,National College for School Leadership,28/03/2012,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,115600,8460.58
Department for Education,National College for School Leadership,26/03/2012,ICT Running Costs,Business Services,BT Global Services Solutions,115603,36078
Department for Education,National College for School Leadership,26/03/2012,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,115603,7215.6
Department for Education,National College for School Leadership,26/03/2012,Grants Made,School to School support,BUSHFIELD,NLE Deployment Fund Grant,25000
Department for Education,National College for School Leadership,17/03/2012,Grants Made,School to School support,Byrchall High School,Teaching Schools Grant,39997.5
Department for Education,National College for School Leadership,15/03/2012,Grants Made,School to School support,Cannons High School,Teaching Schools Grant,32350
Department for Education,National College for School Leadership,21/03/2012,Grants Made,School to School support,Carlton Central Junior School,NLE00 Deployment Grant,25000
Department for Education,National College for School Leadership,26/03/2012,Irrecoverable Input VAT,Leadership Development,Central Office of Information (COI),115320,10380
Department for Education,National College for School Leadership,26/03/2012,Operational Associates,Leadership Development,Central Office of Information (COI),115320,51900
Department for Education,National College for School Leadership,19/03/2012,Grants Made,School to School support,Challney High School for Boys & Community College,Specialist Leader of Education,34160
Department for Education,National College for School Leadership,26/03/2012,Grants Made,School to School support,Challney High School for Boys & Community College,Specialist Leader of Education,2000
Department for Education,National College for School Leadership,06/03/2012,Grants Made,School to School support,Challney High School for Boys & Community College,Teaching Schools Grant,36800
Department for Education,National College for School Leadership,01/03/2012,Grants Made,School to School support,Cheadle Hulme High School,NLE Deployment Grant,30000
Department for Education,National College for School Leadership,01/03/2012,Grants Made,School to School support,"Chepping View Primary, High Wycombe",NLE Deployment Fund Grant,25000
Department for Education,National College for School Leadership,26/03/2012,Grants Made,School to School support,"Chepping View Primary, High Wycombe",NLE Deployment Fund Grant,25000
Department for Education,National College for School Leadership,26/03/2012,Grants Made,School to School support,Churchend Primary School,NLE Deployment Fund Grant,25000
