Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Altrincham Grammar School for Girls,Collaborative Fund Grant,77310
Department for Education,National College for School Leadership,15/11/2011,Programme Costs,Leadership Development,Anglia Ruskin University,113174,65957.1
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Askwith Community Primart School,Collaborative Fund Grant,81750
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Bartley Green Technology Cge,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Binstead Primary,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Bishop Challoner Catholic School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,09/11/2011,Grants Made,Leadership Development,Brigshaw High School,Wave 5 Targeted Support Grant,75000
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Brooke Weston CTC,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,07/11/2011,ICT Running Costs,Business Services,BT Global Services Solutions,113009,1855
Department for Education,National College for School Leadership,07/11/2011,ICT Running Costs,Business Services,BT Global Services Solutions,113009,74354
Department for Education,National College for School Leadership,07/11/2011,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,113009,371
Department for Education,National College for School Leadership,07/11/2011,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,113009,14870.8
Department for Education,National College for School Leadership,21/11/2011,ICT Running Costs,Business Services,BT Global Services Solutions,113258,141312.5
Department for Education,National College for School Leadership,21/11/2011,Irrecoverable Input VAT,Business Services,BT Global Services Solutions,113258,28262.5
Department for Education,National College for School Leadership,25/11/2011,Grants Made,Leadership Development,Camden LEA,Wave 5 Targeted Support Grant,95000
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,CLAREMONT PRIMARY SCHOOL,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Comberton Village College,Collaborative Fund Grant,72750
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Corngreaves Primary School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,24/11/2011,"Conference, Events, Exhibitions and Seminars",Business Services,Creative Choice CIC,113309,20893.88
Department for Education,National College for School Leadership,24/11/2011,Irrecoverable Input VAT,Business Services,Creative Choice CIC,113309,4178.78
Department for Education,National College for School Leadership,02/11/2011,Irrecoverable Input VAT,Childrens Services,Deloitte,112934,83609.59
Department for Education,National College for School Leadership,02/11/2011,Programme Costs,Childrens Services,Deloitte,112934,418047.9
Department for Education,National College for School Leadership,03/11/2011,Grants Made,Leadership Development,Dudley MBC,Grants Refund Received,-8000
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,"East SILC, John Jamieson School",Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,01/11/2011,Programme Costs,Leadership Development,Eastern Leadership Centre,112319,137053
Department for Education,National College for School Leadership,01/11/2011,Programme Costs,Leadership Development,EMLC,112915,54840.16
Department for Education,National College for School Leadership,01/11/2011,Irrecoverable Input VAT,School to School support,EMLC,112925,4972.8
Department for Education,National College for School Leadership,01/11/2011,Programme Training,School to School support,EMLC,112925,24864
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Esher CofE High School,Collaborative Fund Grant,72750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Fallibroome High Sch,Collaborative Fund Grant,72750
Department for Education,National College for School Leadership,09/11/2011,Grants Made,Leadership Development,Fens & Coastal Sub Regional Group,Wave 5 Targeted Support Grant,30000
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Fiveways Special School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Forest Way School,Collaborative Fund Grant,76750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Freehold Community School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,03/11/2011,Programme Costs,Leadership Development,Future Leaders Ltd,112995,33600
Department for Education,National College for School Leadership,03/11/2011,Programme Costs,Leadership Development,Future Leaders Ltd,112996,235100
Department for Education,National College for School Leadership,03/11/2011,Programme Costs,Leadership Development,Future Leaders Ltd,112999,38400
Department for Education,National College for School Leadership,30/11/2011,Programme Costs,Leadership Development,Future Leaders Ltd,113409,72100
Department for Education,National College for School Leadership,30/11/2011,Programme Costs,Leadership Development,Future Leaders Ltd,113410,273200
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,George Abbot School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,15/11/2011,Grants Made,Leadership Development,Halton Borough Council,Wave 5 Targeted Support Grant,60000
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Harrison Primary School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Harrogate Grammar School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Harton Technology College,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,"Healing Sch,A Specialist Science&Foundatn Col",Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Hodgson Academy,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,01/11/2011,Programme Costs,Leadership Development,HTI Leadership Centre Ltd,112907,30300
Department for Education,National College for School Leadership,16/11/2011,Programme Costs,Leadership Development,HTI Leadership Centre Ltd,113185,207900
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,John Cabot City Technology Cge,Collaborative Fund Grant,81750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Kemnal Technology College,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,15/11/2011,Grants Made,Leadership Development,Kent County Council AS,Wave 5 Targeted Support Grant,78000
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Kibworth Church of England Primary School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,King Edward VI High School for Girls,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Kingsbridge Community College,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,03/11/2011,Programme Costs,Leadership Development,Lancaster University,112974,41962.5
Department for Education,National College for School Leadership,29/11/2011,ICT Running Costs,Leadership Development,Lightbox Education,113385,38106.48
Department for Education,National College for School Leadership,29/11/2011,Irrecoverable Input VAT,Leadership Development,Lightbox Education,113385,7621.3
Department for Education,National College for School Leadership,29/11/2011,Grants Made,Leadership Development,London Diocese,Wave 5 Targeted Support Grant,30000
Department for Education,National College for School Leadership,28/11/2011,Programme Costs,Leadership Development,Manchester Uni,113361,47200
Department for Education,National College for School Leadership,28/11/2011,Programme Costs,Leadership Development,Manchester Uni,113362,27200
Department for Education,National College for School Leadership,28/11/2011,Programme Costs,Leadership Development,Manchester Uni,113367,132300
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Manor Primary School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Matthew Arnold Primary School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Millais School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,15/11/2011,Grants Made,Leadership Development,Millais School,Wave 5 Targeted Support Grant,22000
Department for Education,National College for School Leadership,25/11/2011,Grants Made,Leadership Development,Millais School,Wave 5 Targeted Support Grant,33800
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Montacute School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,21/11/2011,Irrecoverable Input VAT,Leadership Development,Nord Anglia Education Ltd,113247,24903.8
Department for Education,National College for School Leadership,21/11/2011,Programme Costs,Leadership Development,Nord Anglia Education Ltd,113247,124519
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Notre Dame High School,Collaborative Fund Grant,72750
Department for Education,National College for School Leadership,21/11/2011,Redundancy Payments,Other,Nottinghamshire County Cnl,113251,251823.4
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Old Ford Primary School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Oldway Primary School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Portswood Primary Sch,Collaborative Fund Grant,72750
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Ringwood School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Ryders Hayes Community School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Sandgate Primary School,Collaborative Fund Grant,76750
Department for Education,National College for School Leadership,09/11/2011,Grants Made,Leadership Development,SCHOOL DEVELOPMENT SUPPORT AGENCY,Wave 5 Targeted Support Grant,60000
Department for Education,National College for School Leadership,15/11/2011,Grants Made,Leadership Development,SCHOOL DEVELOPMENT SUPPORT AGENCY,Wave 5 Targeted Support Grant,47600
Department for Education,National College for School Leadership,25/11/2011,Grants Made,Leadership Development,SCHOOL DEVELOPMENT SUPPORT AGENCY,Wave 5 Targeted Support Grant,9900
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,School Partnership Trust,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,17/11/2011,Programme Costs,Leadership Development,SELT,113214,31900
Department for Education,National College for School Leadership,17/11/2011,Programme Costs,Leadership Development,SELT,113215,44750
Department for Education,National College for School Leadership,30/11/2011,Programme Costs,Leadership Development,SELT,113416,197400
Department for Education,National College for School Leadership,10/11/2011,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,113109,7042.63
Department for Education,National College for School Leadership,10/11/2011,Programme Costs,Leadership Development,Serco Learning Solutions,113109,35213.13
Department for Education,National College for School Leadership,10/11/2011,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,113110,14782.18
Department for Education,National College for School Leadership,10/11/2011,Programme Costs,Leadership Development,Serco Learning Solutions,113110,73910.9
Department for Education,National College for School Leadership,10/11/2011,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,113112,4347.7
Department for Education,National College for School Leadership,10/11/2011,Programme Costs,Leadership Development,Serco Learning Solutions,113112,21738.5
Department for Education,National College for School Leadership,17/11/2011,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,113190,5130
Department for Education,National College for School Leadership,17/11/2011,Programme Costs,Leadership Development,Serco Learning Solutions,113190,25650
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Shiremoor Primary,Collaborative Fund Grant,72603
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Silverdale School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,17/11/2011,FM Support Services,Business Services,Sodexo Ltd,113113,166839.48
Department for Education,National College for School Leadership,17/11/2011,Irrecoverable Input VAT,Business Services,Sodexo Ltd,113113,33367.89
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,South Farnham Community Junior school,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Southfields Community College,Collaborative Fund Grant,81750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,St Mary &St Paul's CE Primary,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,St Thomas More Catholic School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,25/11/2011,Grants Made,Leadership Development,Staffordshire County Council,Wave 5 Targeted Support Grant,78000
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,STOURPORT HIGH SCHOOL,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,30/11/2011,Programme Costs,Leadership Development,Teaching Leaders (c/o ARK Schools),113396,122481.78
Department for Education,National College for School Leadership,30/11/2011,Programme Costs,Leadership Development,Teaching Leaders (c/o ARK Schools),113397,39583.33
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,The Arthur Terry School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,The Hayesbrook School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,10/11/2011,Programme Costs,School to School support,The Prince's Teaching Institute,113105,42500
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,The Wroxham School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Valentines High School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,29/11/2011,Grants Made,Leadership Development,West Berkshire LEA,Wave 5 Targeted Support Grant,58300
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,West Raynham CE Primary Sch,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,15/11/2011,Grants Made,Leadership Development,West View Primary School,Wave 5 Targeted Support Grant,51329
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Westdene Primary School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,28/11/2011,Grants Made,School to School support,Whitley Bay High School,Collaborative Fund Grant,71750
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,"Wildern School, Southampton",Collaborative Fund Grant,72750
Department for Education,National College for School Leadership,23/11/2011,Grants Made,School to School support,Wood Green High Sch Cge of Sport,Collaborative Fund Grant,71750
