Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Defra,Natural England,May-10,Other programme expenditure,Regional Delivery,A D A S UK Ltd,RIRP043894,"25,380.00"
Defra,Natural England,May-10,"IT services, equipment & consumables",Corporate Services,BravoSolution UK Ltd,BUK10Y0003265,"29,389.98"
Defra,Natural England,May-10,"IT services, equipment & consumables",Corporate Services,BravoSolution UK Ltd,BUK10V0003305,"27,836.80"
Defra,Natural England,May-10,Grants & contributions,National Delivery,British Waterways,ERS-972615-27441,"75,868.78"
Defra,Natural England,May-10,Land Management payments,Regional Delivery,Buttermere Brackenthwaite & Ne,ERS-972684-27446,"97,325.00"
Defra,Natural England,May-10,Grants & contributions,Regional Delivery,Cotswold Aonb Conservation Boa,ERS-972625-27447,"48,629.50"
Defra,Natural England,May-10,Grants & contributions,National Delivery,Coxhoe Community Partnership,ERS-972617-27480,"33,357.34"
Defra,Natural England,May-10,Electricity,Corporate Services,D T Z,23053,"285,146.81"
Defra,Natural England,May-10,Rent & Management Charges,Corporate Services,D T Z,23064,"241,365.09"
Defra,Natural England,May-10,Rent & Management Charges,Corporate Services,D T Z,23081,"215,615.72"
Defra,Natural England,May-10,Electricity,Corporate Services,D T Z,22990,"135,773.55"
Defra,Natural England,May-10,Gas,Corporate Services,D T Z,23047,"111,259.01"
Defra,Natural England,May-10,Rent & Management Charges,Corporate Services,D T Z,23031,"110,910.07"
Defra,Natural England,May-10,Rent & Management Charges,Corporate Services,D T Z,23012,"68,015.17"
Defra,Natural England,May-10,Rent & Management Charges,Corporate Services,D T Z,23082,"59,595.90"
Defra,Natural England,May-10,Rent & Management Charges,Corporate Services,D T Z,23078,"49,554.75"
Defra,Natural England,May-10,Premises costs,Corporate Services,D T Z,23071,"47,748.08"
Defra,Natural England,May-10,Rent & Management Charges,Corporate Services,D T Z,23073,"45,214.03"
Defra,Natural England,May-10,Rent & Management Charges,Corporate Services,D T Z,23080,"39,131.12"
Defra,Natural England,May-10,Premises costs,Corporate Services,D T Z,23066,"36,051.73"
Defra,Natural England,May-10,Water,Corporate Services,D T Z,23067,"33,987.78"
Defra,Natural England,May-10,Rent & Management Charges,Corporate Services,D T Z,23070,"29,680.08"
Defra,Natural England,May-10,Rent & Management Charges,Corporate Services,D T Z,23056,"26,167.24"
Defra,Natural England,May-10,Asset purchases,Regional Delivery,David Eaton Tractors Ltd,23674,"26,555.00"
Defra,Natural England,May-10,Grants & contributions,Evidence and Analysis,Eden Rivers Trust,ERS-972636-27436,"37,339.58"
Defra,Natural England,May-10,Land Management payments,Regional Delivery,G D Nelson,ERS-972655-27465,"34,860.00"
Defra,Natural England,May-10,"IT services, equipment & consumables",Corporate Services,IBM United Kingdom Ltd,5804100632,"51,816.33"
Defra,Natural England,May-10,Grants & contributions,National Delivery,Lancashire County Council,ERS-972651-27422,"123,255.70"
