Department family,Entity,Date,Expense type,Expense area,Supplier_,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project code,Expenditure type,VAT Registration Number,PO Number
Defra,Natural England,27-Oct-11,"IT services, equipment & consumables",Capability,Atos IT Services UK Ltd,5584092282,"1,011,624.00","Charge for hosting, support and development of the Genesis IT System",WV10 6UH, , ,,,,868622
Defra,Natural England,11-Oct-11,Barclaycard purchases,Capability,Barclaycard Business Issuing,NESEPT2011BILL,"357,856.81",Monthly payment for Government Procurement Card expenditure, , , ,,,,
Defra,Natural England,05-Oct-11,"Monitoring, Evaluation & Surveillance costs",Science & Evidence,Bat Conservation Trust,1165,"59,808.00",Bat information and advisory service, , , ,,,,868895
Defra,Natural England,05-Oct-11,Grants & contributions,Delivery with Communities,Bat Conservation Trust,1162,"30,000.00",Grant for bat conservation, , , ,,,,870303
Defra,Natural England,17-Oct-11,Legal costs,Capability,Browne Jacobson,205008,"30,524.99",Legal advice in support of a planning enquiry,NG1 7BJ, , ,,,,
Defra,Natural England,07-Oct-11,Reprographic Services,Capability,Computacenter (UK) Ltd,3803444156,"60,000.00","Monthly payment for document processing, scanning and electronic storage system",AL10 9TW,SME,Omnicom 23573,,,,868236
Defra,Natural England,27-Oct-11,Grants & contributions,Delivery with Communities,Cotswold ANOB Conservation Board,ERS-978001-36319,"62,902.00",Area of Outstanding Natural Beauty Grant,GL54 3JH,SME,23653,,,,869910
Defra,Natural England,13-Oct-11,Rent & management & utility charges,Capability,D T Z,29341,"356,167.78",Rent and management and utility charges for the Cambridge Office,B4 6HT, , ,,,,
Defra,Natural England,19-Oct-11,Rent & management & utility charges,Capability,D T Z,29344,"243,480.03",Rent and management and utility charges for the Bristol Office,B4 6HT, , ,,,,
Defra,Natural England,11-Oct-11,Rent & management & utility charges,Capability,DEFRA,1000008725,"90,005.06",Rent and management and utility charges for the Sheffield Office, , , ,,,,
Defra,Natural England,11-Oct-11,"IT services, equipment & consumables",Capability,DEFRA,1000008823,"2,294,884.80",Charge for IT service provision, , , ,,,,
Defra,Natural England,25-Oct-11,Other programme expenditure,Delivery with Communities,Derwent Rivers Trust Ltd,17102011,"39,000.00",River Derwent Restoration Work,CA3 0JN,SME,24002,,,,870864
Defra,Natural England,27-Oct-11,Other programme expenditure,Delivery with Communities,Eden Rivers Trust,1135111011,"40,000.00",River Eden Restoration Work,CA11 0DP,SME,24002,,,,870863
Defra,Natural England,21-Oct-11,Telephony costs,Capability,Global Crossing,80268991,"54,327.78",Charges for telephony and video conference services,RG24 8NA, , ,,,,867812
Defra,Natural England,21-Oct-11,Other programme expenditure,Delivery with Communities,H R Wallingford Ltd,HR044142,"50,438.94",Technical advice, , , ,,,,869074
Defra,Natural England,05-Oct-11,Grants & contributions,Customers,Imayla.,ERS-977822-35939,"36,500.00",Access to Nature Grant, , , ,,,,868715
Defra,Natural England,19-Oct-11,"IT services, equipment & consumables",Science & Evidence,Joint Nature Conservation Committee,SIJ609,"26,000.00",Contribution to the operation of the National Biodiversity Network system , , , ,,,,870915
Defra,Natural England,25-Oct-11,Other programme expenditure,Capability,National Audit Office,3846,"150,000.00",Audit fees for Annual Report and Accounts, , , ,,,,865405
Defra,Natural England,05-Oct-11,Grants & contributions,Customers,O.C.N Community Interest Co.,ERS-977854-35942,"34,150.73",Access to Nature Grant, , , ,,,,868400
Defra,Natural England,27-Oct-11,Grants & contributions,Customers,R S P B,ERS-977955-36311,"44,771.15",Access to Nature Grant, , , ,,,,868779
Defra,Natural England,11-Oct-11,Rail travel costs,Capability,Redfern Travel Ltd,26614,"155,488.24",Monthly charge for rail travel costs, , , ,,,,
Defra,Natural England,05-Oct-11,"IT services, equipment & consumables",Capability,SDL Tridion Ltd,GBMD000771,"56,390.40",Software licence upgrade,SL6 7DY,SME,23971,,,,870681
Defra,Natural England,19-Oct-11,Grants & contributions,Customers,Sightlines Initiative,ERS-977913-35997,"50,600.00",Access to Nature Grant, , , ,,,,868312
Defra,Natural England,13-Oct-11,Other programme expenditure,Delivery with Communities,South Cumbria Rivers Trust,2011011,"40,000.00",Contribution to the Freshwater Invasive Non Native Species Initiative, , , ,,,,870551
