Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
DEFRA,Natural England,01/03/2012,"Monitoring, Evaluation & Surveillance costs",Delivery with Communities,Apem Ltd,3947," £51,885.60 ",Analysis of Plymouth Special Area of Conservation grab samples,SK4 3GN,SME,23966,,Expense
DEFRA,Natural England,01/03/2012,"IT services, equipment & consumables",Capability,IBM United Kingdom Ltd,5802120871," £29,662.43 ",Licence purchase,GU1 2LD,,FRW10040-00,,Expense
DEFRA,Natural England,01/03/2012,Grants & contributions,Delivery with Communities,National Children's Bureau,ERS-978907-38179," £45,151.61 ",Access to Nature Grant,EC1V 7QE,,,,Expense
DEFRA,Natural England,01/03/2012,Grants & contributions,Delivery with Communities,South West Food & Drink Ltd,1684," £62,988.00 ",Grant payment for Marine Conversation Zone Project,EX1 3QS,SME,20498,,Expense
DEFRA,Natural England,05/03/2012,Audit services,Capability,National Audit Office,3946," £65,000.00 ",External audit services,SW1W 9SP,,24154,,Expense
DEFRA,Natural England,05/03/2012,Grants & contributions,Delivery with Communities,Yorkshire Wildlife Trust,1112284," £415,000.00 ",Land Purchase Grant,YO24 1GN,,,,Expense
DEFRA,Natural England,07/03/2012,Barclaycard purchases,Capability,Barclaycard Business Issuing,NEBARCLAYSFEB2012BILL," £685,453.75 ",February monthly payment for Government Procurement Card expenditure,TS17 6YG,,,,Asset
DEFRA,Natural England,07/03/2012,Grants & contributions,Delivery with Communities,Campaign For National Parks,ERS-978977-38258," £73,942.78 ",Access to Nature Grant,SW11 1QU,SME,,,Expense
DEFRA,Natural England,07/03/2012,Land Management payments,Delivery with Communities,Dugdale Estate,ERS-979018-38252," £27,351.36 ",Bowness Common Wildlife Enhancement Scheme payment,CA11 8HF,,,,Expense
DEFRA,Natural England,07/03/2012,Land Management payments,Delivery with Communities,Dugdale Estate,ERS-979019-38253," £28,800.00 ",Bowness Common Wildlife Enhancement Scheme payment,CA11 8HF,,,,Expense
DEFRA,Natural England,07/03/2012,Telephony costs,Capability,Global Crossing,80288454," £48,767.47 ",Charges for telephony and video conference services,RG24 8NA,,23595,,Expense
DEFRA,Natural England,13/03/2012,Rent & Management Charges,Capability,Interserve Site Services,PI198795," £27,263.23 ",Fleet management costs,WS9 8SR,,,,Expense
DEFRA,Natural England,13/03/2012,Legal costs,Capability,Matthew Boyer Solicitor,NE151112," £50,823.25 ",Legal services,TQ13 8JQ,SME,,,Expense
DEFRA,Natural England,13/03/2012,Rail travel costs,Capability,Redfern Travel Ltd,031795," £164,811.20 ",Monthly charge for rail travel costs,BD1 3AZ,SME,,,Asset
DEFRA,Natural England,15/03/2012,Grants & contributions,Delivery with Communities,Birmingham City Council,ERS-979041-38267," £46,149.17 ",Access to Nature Grant,B1 1BB,,,,Expense
DEFRA,Natural England,15/03/2012,Grants & contributions,Delivery with Communities,Cumbria Wildlife Trust,SIN000393," £80,000.00 ",Foulshaw Moss lowland raised bog restoration work and tree felling,LA8 8LX,SME,24337,,Expense
DEFRA,Natural England,15/03/2012,Grants & contributions,Delivery with Communities,Hampshire & Isle Of Wight Wildlife Trust,ERS-979108-38286," £26,758.18 ",Access to Nature Grant,SO32 2DP,,,,Expense
DEFRA,Natural England,15/03/2012,Grants & contributions,Delivery with Communities,Middlesbrough Council,ERS-979089-38276," £25,451.86 ",Access to Nature Grant,TS1 9FW,,,,Expense
DEFRA,Natural England,15/03/2012,"Monitoring, Evaluation & Surveillance costs",Delivery with Communities,R S P B,SLINV00021778," £31,397.00 ",National Redshank survey,SG19 2DL,,Omnicom 23465,,Expense
DEFRA,Natural England,15/03/2012,"Monitoring, Evaluation & Surveillance costs",Science & Evidence,T N S Uk Ltd,144838," £98,181.60 ",The Monitor of Engagement with the Natural Environment (MENE) Survey ,W5 1UA,SME,,,Expense
DEFRA,Natural England,15/03/2012,Grants & contributions,Delivery with Communities,The Woodland Trust,ERS-979116-38280," £86,179.57 ",Access to Nature Grant,NG31 6LL,,,,Expense
DEFRA,Natural England,19/03/2012,Grants & contributions,Delivery with Communities,Amphibian and Reptile Conservation,0903124000000," £40,000.00 ",Contribution to amphibian and reptiles species recovery projects,BH1 4AP,SME,,,Expense
DEFRA,Natural England,19/03/2012,"IT services, equipment & consumables",Capability,Atos IT Services UK Ltd,5584102363," £63,872.83 ",Application development costs for the Genesis IT System,WV10 6UH,,1/08.04.11,,Expense
