Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Home Office,CRB - Criminal Records Bureau,04/10/2012,Police Authorities,CRB - Criminal Records Bureau,GREATER MANCHESTER POLICE,1001316638,"88,085.94"
Home Office,CRB - Criminal Records Bureau,04/10/2012,Police Authorities,CRB - Criminal Records Bureau,LEICESTERSHIRE CONSTABULARY,1001316649,"85,252.68"
Home Office,CRB - Criminal Records Bureau,04/10/2012,Police Authorities,CRB - Criminal Records Bureau,SOUTH YORKSHIRE POLICE,1001316680,"53,934.20"
Home Office,CRB - Criminal Records Bureau,04/10/2012,Police Authorities,CRB - Criminal Records Bureau,HUMBERSIDE POLICE AUTHORITY,1001316640,"49,820.88"
Home Office,CRB - Criminal Records Bureau,04/10/2012,Police Authorities,CRB - Criminal Records Bureau,MERSEYSIDE POLICE AUTHORITY,1001316655,"43,618.53"
Home Office,CRB - Criminal Records Bureau,04/10/2012,Police Authorities,CRB - Criminal Records Bureau,LANCASHIRE POLICE AUTHORITY,1001316648,"41,143.42"
Home Office,CRB - Criminal Records Bureau,05/10/2012,Consultancy.Asset Clearing - P&M,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001317250,"188,268.00"
Home Office,CRB - Criminal Records Bureau,11/10/2012,Business Process Outsourcing.Capita Standard Disclose Fee,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001319697,"1,859,224.75"
Home Office,CRB - Criminal Records Bureau,11/10/2012,Business Process Outsourcing.Capita Standard Disclose Fee,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001319697,"298,867.43"
Home Office,CRB - Criminal Records Bureau,11/10/2012,Police Authorities,CRB - Criminal Records Bureau,KENT POLICE AUTHORITY,1001319740,"103,777.60"
Home Office,CRB - Criminal Records Bureau,11/10/2012,Business Process Outsourcing.Capita Standard Disclose Fee,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001319697,"85,882.27"
Home Office,CRB - Criminal Records Bureau,11/10/2012,Police Authorities,CRB - Criminal Records Bureau,MERSEYSIDE POLICE AUTHORITY,1001319748,"48,571.47"
Home Office,CRB - Criminal Records Bureau,11/10/2012,Police Authorities,CRB - Criminal Records Bureau,BRITISH TRANSPORT POLICE,1001319693,"47,101.97"
Home Office,CRB - Criminal Records Bureau,11/10/2012,Police Authorities,CRB - Criminal Records Bureau,AVON & SOMERSET POLICE AUTHORITY,1001319682,"46,792.44"
Home Office,CRB - Criminal Records Bureau,11/10/2012,Police Authorities,CRB - Criminal Records Bureau,CHESHIRE POLICE AUTHORITY,1001319701,"38,805.78"
Home Office,CRB - Criminal Records Bureau,11/10/2012,Police Authorities,CRB - Criminal Records Bureau,CAMBRIDGESHIRE POLICE AUTHORITY,1001319695,"33,469.62"
Home Office,CRB - Criminal Records Bureau,17/10/2012,Police Authorities,CRB - Criminal Records Bureau,STAFFORDSHIRE POLICE AUTHORITY,1001322406,"69,107.32"
Home Office,CRB - Criminal Records Bureau,17/10/2012,Police Authorities,CRB - Criminal Records Bureau,THAMES VALLEY POLICE AUTHORITY,1001322410,"68,952.15"
Home Office,CRB - Criminal Records Bureau,18/10/2012,Police Authorities,CRB - Criminal Records Bureau,WEST MIDLANDS POLICE,1001323036,"99,140.20"
Home Office,CRB - Criminal Records Bureau,18/10/2012,Police Authorities,CRB - Criminal Records Bureau,WEST YORKSHIRE POLICE AUTHORITY,1001323037,"48,419.10"
Home Office,CRB - Criminal Records Bureau,18/10/2012,Police Authorities,CRB - Criminal Records Bureau,DERBYSHIRE POLICE AUTHORITY,1001322936,"44,082.10"
Home Office,CRB - Criminal Records Bureau,18/10/2012,Police Authorities,CRB - Criminal Records Bureau,HAMPSHIRE CONSTABULARY,1001322957,"41,901.09"
Home Office,CRB - Criminal Records Bureau,18/10/2012,Police Authorities,CRB - Criminal Records Bureau,HERTFORDSHIRE CONSTABULARY,1001322960,"31,934.89"
Home Office,CRB - Criminal Records Bureau,18/10/2012,Police Authorities,CRB - Criminal Records Bureau,SURREY POLICE AUTHORITY,1001323017,"29,457.49"
Home Office,CRB - Criminal Records Bureau,25/10/2012,Business Process Outsourcing.Capita  Update Service Other,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001326230,"112,016.40"
Home Office,CRB - Criminal Records Bureau,25/10/2012,Business Process Outsourcing.Capita  Update Service Other,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001326230,"-112,016.40"
Home Office,CRB - Criminal Records Bureau,26/10/2012,Police Authorities,CRB - Criminal Records Bureau,ACPO (ASSOCIATION OF CHIEF POLICE OFFICERS),1001326736,"26,449.03"
Home Office,Home Office,11/10/2012,"Editorial, Design & Graphics.Advertising-non recruit",Communications,RAINEY KELLY CAMPBELL ROALFE/Y&R,1001319766,"180,000.00"
Home Office,Home Office,22/10/2012,"Editorial, Design & Graphics.Advertising-non recruit",Communications,RAINEY KELLY CAMPBELL ROALFE/Y&R,1001324341,"208,345.20"
Home Office,Home Office,23/10/2012,"Editorial, Design & Graphics.Advertising-non recruit",Communications,RAINEY KELLY CAMPBELL ROALFE/Y&R,1001324902,"79,941.60"
Home Office,Home Office,24/10/2012,General use: News Distribution of press feeds. Recoverable includes advertising campaigns but excluding promotional items,Communications,CABINET OFFICE,1001325486,"54,000.00"
