Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.04.2010 to 30.04.2010,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,200002,46452.74
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,200006,50720.45
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,200010,26280.99
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,200016,772338.45
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,200018,74912.63
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,200022,98881.87
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,200024,232280.06
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,200030,52158.26
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED,200036,216562.72
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,200038,218578.81
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,200044,223391.72
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,200048,218719.44
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,SCHOOL PROJECT ACCOUNT (APS) 7,200058,32711.66
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH ROMAN CATHOLIC DIOCESE TRUSTEES REGISTERED SOUTHAMPTON HOLY FAMILY SCHOOL SMALL,200072,36882.5
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,NEW GOVERNORS ACCOUNT,200074,31573.32
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,HERTSMERE JEWISH HIGH SCHOOL TRUST,200076,29021.44
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,MADANI HIGH SCHOOL,200078,69613.9
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,200082,74062.4
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,NOTTINGHAM EDUCATION SERVICE SCHOOL CAPITAL ACCOUNT,200086,163647.15
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,200096,251467.73
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,DIOCESE HALLAM - ST THOMAS OF CANTERBURY,200102,25045.34
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,200104,61718.62
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,BEIS YAAKOV PRIMARY SCHOOL DEVOLVED FORMULA CAPITAL ACCOUNT,200106,54000
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,GOVERNORS OF STAUNTON ON WYE PRIMARY SCHOOL,200110,118071.47
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,THE JEWISH COMMUNITY SECONDARY SCHOOL TRUST,200112,2305862.98
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,200114,590681.53
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,HUTTON CHURCH OF ENGLAND GRAMMER SCHOOL,200122,43564.07
DfE,PfS,21/04/2010,Capital Grant,Schools Capital and Revenue Grants,GURU NANAK SIKH VA SCHOOL,200124,58968.79
DfE,PfS,28/04/2010,Capital Grant,Schools Capital and Revenue Grants,BATH AND WELLS DIOCESAN BOARD OF FINANCE,200441,121193.37
DfE,PfS,28/04/2010,Capital Grant,Schools Capital and Revenue Grants,NORTHAMPTON ROMAN CATHOLIC DIOCESE TRUST,200443,52242.57
DfE,PfS,28/04/2010,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,200447,94216.51
DfE,PfS,28/04/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHWELL DIOCESAN EDUCATION COMMITTEE NEWCASTLE,200449,39467.28
DfE,PfS,28/04/2010,Capital Grant,Schools Capital and Revenue Grants,ELY DIOCESAN BOARD OF EDUCATION BARCHEST,200455,288324.36
DfE,PfS,28/04/2010,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,200459,54000.01
DfE,PfS,28/04/2010,Capital Grant,Schools Capital and Revenue Grants,WORCESTER DIOCESE BOARD FOR EDUCATION GENERAL,200461,65024.59
DfE,PfS,28/04/2010,Capital Grant,Schools Capital and Revenue Grants,DIOCESAN (BARCHESTER) SCHEME,200463,35525.14
DfE,PfS,28/04/2010,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,200467,127425.33
DfE,PfS,28/04/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE OF ARUNDEL AND BRIGHTON ST PETERS AND MERROW GRANGE SCHOOL,200473,84540.22
DfE,PfS,28/04/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,200477,111795.13
DfE,PfS,28/04/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,200481,79980.51
