Organisation,,Partnerships for Schools,,,,,,
Submitted By,,,,,,,,
Spend Tolerance,,"25,000",,,,,,
Month,,01.12.2010 to 31.12.2010,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,01/12/2010,Capital Grant,Schools Capital and Revenue Grants,ROCHESTER DIOCESAN BOARD OF EDUCATION,294285,50414.33,
DfE,PfS,01/12/2010,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,294287,109673.03,
DfE,PfS,01/12/2010,Capital Grant,Schools Capital and Revenue Grants,CHICHESTER DIOCESAN BOARD OF FINANCE 11,294289,102471.75,
DfE,PfS,01/12/2010,Capital Grant,Schools Capital and Revenue Grants,NORWICH DIOCESAN BOARD OF FINANCE LIMITED,294293,352973.78,
DfE,PfS,01/12/2010,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,294297,178246.09,
DfE,PfS,01/12/2010,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,294299,58280.89,
DfE,PfS,01/12/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,294303,31830.75,
DfE,PfS,01/12/2010,Capital Grant,Schools Capital and Revenue Grants,PETERBOROUGH DIOCESEN BOARD OF FINANCE (PROPERTY ACCOUNT),294305,64865.89,
DfE,PfS,01/12/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION INC NO 3 ACCOUNT,294309,129003.83,
DfE,PfS,01/12/2010,Capital Grant,Schools Capital and Revenue Grants,GOVERNORS OF LYNN GROVE HIGH SCHOOL,294313,62003.71,
DfE,PfS,01/12/2010,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,294315,65650.75,
DfE,PfS,01/12/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION NO.4 ACCOUNT,294319,29863.07
DfE,PfS,01/12/2010,Capital Grant,Schools Capital and Revenue Grants,HERTSMERE JEWISH HIGH SCHOOL TRUST,294321,25684.66
DfE,PfS,01/12/2010,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,294323,51485.29
DfE,PfS,03/12/2010,Capital Grant,Schools Capital and Revenue Grants,GLOUCESTER DIOCESAN BOARD OF FINANCE,294813,135000
DfE,PfS,03/12/2010,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,294817,29107.35
DfE,PfS,03/12/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM CHURCH SCHOOLS FUND,294819,76864.55
DfE,PfS,03/12/2010,Capital Grant,Schools Capital and Revenue Grants,YORK DIOCESAN BOARD OF FINANCE,294825,54900
DfE,PfS,03/12/2010,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,294829,111747.57
DfE,PfS,03/12/2010,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,294831,123021.12
DfE,PfS,03/12/2010,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,294837,58329.12
DfE,PfS,03/12/2010,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 7.,294839,64358.53
DfE,PfS,03/12/2010,Capital Grant,Schools Capital and Revenue Grants,ST FRANCIS ROMAN CATHOLIC PRIMARY GOVERNMENT FUND,294841,34021.64
DfE,PfS,03/12/2010,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,294845,39367.82
DfE,PfS,03/12/2010,Capital Grant,Schools Capital and Revenue Grants,NORTH CHESHIRE JEWISH PRI CAPITAL GRANT,294847,29987.09
DfE,PfS,03/12/2010,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,294849,239756.02
DfE,PfS,03/12/2010,Capital Grant,Schools Capital and Revenue Grants,MCC - ST AUGUSTINE OF CANTERBURY CPS CAPITAL,294851,61384.6
DfE,PfS,03/12/2010,Capital Grant,Schools Capital and Revenue Grants,DURHAM DIOCESAN BOARD OF FINANCE SCHOOLS BUILDINGS SERVICES,294855,52027.53
