Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.07.2010 to 31.07.2010,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,05/07/2010,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,244179,211895.03
DfE,PfS,05/07/2010,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,244183,138803.58
DfE,PfS,05/07/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM CHURCH SCHOOLS FUND,244187,48071.51
DfE,PfS,05/07/2010,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,244189,26143.28
DfE,PfS,05/07/2010,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,244193,47133.49
DfE,PfS,05/07/2010,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,244197,43421.29
DfE,PfS,05/07/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,244201,161587.99
DfE,PfS,05/07/2010,Capital Grant,Schools Capital and Revenue Grants,ST EDWARDS PRIMARY SCHOOL BUILDING ACCOUNT,244203,47412.81
DfE,PfS,05/07/2010,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,244205,44186.54
DfE,PfS,05/07/2010,Capital Grant,Schools Capital and Revenue Grants,ST PAULS CHURCH HIGH SCHOOL,244209,97498.11
DfE,PfS,05/07/2010,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,244213,87614.25
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM CHURCH SCHOOLS FUND,244217,265385.31
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE DIOCESAN EDUCATION BOARD,244219,318424.44
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,CHESTER DIOCESAN BOARD OF EDUCATION,244221,650075.29
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,244223,1507728.78
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CHURCH DIOCESE OF EAST ANGLIA,244225,394694.29
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,LINCOLN DIOCESEN TRUSTESS BOARD OF FINANCE LTD,244227,305244.33
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,244229,1292368.37
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,ST EDMUNDSBURY AND IPSWICH DIOCESAN BOARD OF FINANCE BARCHESTER,244231,178910.67
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,244233,307672.29
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHWELL DIOCESAN EDUCATION COMMITTEE NEWCASTLE,244235,160527.78
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,245085,1957898.38
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,UNITED WESTMINSTER SCHOOLS,245087,31553.7
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CHURCH D OF ARUNDEL AND BRIGHTON ST WILFRIDS SCHOOL CRAWLEY,245089,38856.66
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,CHRIST THE KING SCHOOL FUND ACCOUNT,245091,29694.87
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,CARDINAL WISEMAN SCHOOL GOVERNORS,245093,28256.03
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,KING DAVID SCHOOL THE SCHOOL ACCOUNT,245099,37681.52
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,WIMBLEDON COLLEGE GOVERNORS FUND,245101,50644.29
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,GREY COAT HOSPITAL ACCOUNT,245103,44024.96
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,245105,1373321.24
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,CARDINAL NEWMAN SCHOOL GOVERNORS NO1 ACCOUNT,245107,51244.05
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,DERBY DIOCESAN COUNCIL OF EDUCATION,245113,338208.57
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,CHICHESTER DIOCESAN BOARD OF FINANCE 11,245115,56614.98
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,245117,456054.98
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,DIOCESAN (BARCHESTER) SCHEME,245119,487328.67
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,NORWICH DIOCESAN BOARD OF FINANCE LIMITED,245121,341595.05
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,YORK DIOCESAN BOARD OF FINANCE,245123,204835.5
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,NEWMAN SCHOOL GOVERNORS ACCOUNT,246053,84077.14
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,ST EDWARDS CHURCH OF ENGLAND COMPREHENSIVE SCHOOL,246055,53978.11
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,SACRED HEART PRIMARY SCHOOL GOVERNMENT FUND ACCOUNT,246057,27936.03
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,MARIA FIDELIS COVENT SCHOOL,246059,37189.79
DfE,PfS,06/07/2010,Capital Grant,Schools Capital and Revenue Grants,BRISTOL DIOCESAN BOARD OF FINANCE EDUC. FUND,246061,111682.52
