Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.06.2010 to 30.06.2010,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BARKING AND DAGENHAM LONDON BOROUGH COUNCIL,237606,6400051.79
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,CITY OF WESTERMINSTER,237608,2113736.08
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BEXLEY LONDON BOROUGH COUNCIL,237610,11456394.18
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BRENT LONDON BOROUGH COUNCIL,237612,22077852.23
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BROMLEY LONDON BOROUGH COUNCIL,237614,7556790.88
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,CROYDON LONDON BOROUGH COUNCIL,237616,9077124.33
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,EALING LONDON BOROUGH COUNCIL,237618,3302785.15
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,ENFIELD LONDON BOROUGH COUNCIL,237620,6763306.82
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,HARINGEY,237622,43711600
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,HARROW LONDON BOROUGH COUNCIL,237624,1872226.92
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,HAVERING LONDON BOROUGH COUNCIL,237626,4085070.05
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,HILLINGDON LONDON BOROUGH COUNCIL,237628,4443154.77
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,HOUNSLOW LONDON BOROUGH COUNCIL,237630,5513493.74
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,KINGSTON UPON THAMES ROYAL BOROUGH,237632,2413898.36
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,MERTON LONDON BOROUGH COUNCIL,237634,1775988.95
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,NEWHAM LONDON BOROUGH COUNCIL,237636,10220091.26
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,REDBRIDGE LONDON BOROUGH COUNCIL,237638,5456189.27
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,RICHMOND UPON THAMES LONDON BOROUGH COUNCIL,237640,5267483.11
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SUTTON LONDON BOROUGH COUNCIL,237642,7282323.21
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WALTHAM FOREST LONDON BOROUGH COUNCIL,237644,10823693.03
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM CITY COUNCIL,237646,29752048.12
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,COVENTRY COUNTY COUNCIL,237648,8402428.51
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,DUDELEY METROPOLITAN BOROUGH COUNCIL,237650,5009646.99
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SANDWELL METROPOLITAN BOROUGH COUNCIL,237652,9059015.06
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SOLIHULL METROPOLITAN BOROUGH COUNCIL,237654,2649687.81
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WALSALL METROPOLITAN BOROUGH COUNCIL,237656,4645137.22
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WOLVERHAMPTON COUNTY COUNCIL,237658,14482110.95
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,KNOWSLEY METROPOLITAN BOROUGH COUNCIL,237660,3551353.78
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL COUNTY COUNCIL,237662,43780516.72
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,ST HELENS METROPOLITAN BOROUGH COUNCIL,237664,5125750.01
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SEFTON COUNCIL,237666,6755377.6
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WIRRAL METROPOLITAN BOROUGH COUNCIL,237668,5579076.22
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BOLTON METROPOLITAN BOROUGH COUNCIL,237670,6623266.98
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BURY METROPOLITAN BOROUGH COUNCIL,237672,3362406.6
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER COUNTY COUNCIL,237674,49020370.04
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,OLDHAM METROPOLITAN BOROUGH COUNCIL,237676,2392226.92
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,ROCHDALE METROPOLITAN BOROUGH COUNCIL,237678,10791492.86
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SALFORD CITY COUNCIL,237680,6525986.83
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,STOCKPORT METROPOLITAN BOROUGH COUNCIL,237682,2980604.38
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,TAMESIDE METROPOLITAN BOROUGH COUNCIL,237684,2245527.31
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,TRAFFORD METROPOLITAN BOROUGH COUNCIL,237686,5404922.26
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WIGAN METROPOLITAN BOROUGH COUNCIL,237688,3654102.6
