Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.05.2010 to 31.05.2010,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,200897,132444.4
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,200901,191187.29
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,ELY DIOCESAN BOARD OF EDUCATION BARCHEST,200907,49293.15
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,200909,69017.49
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,200911,186486.82
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,200913,141704.48
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,200915,111689.49
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,200917,40423.05
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,200923,145653.93
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,200927,255611.8
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,WAKEFIELD DIOCESAN COUNCIL OF EDUCATION,200929,43198.88
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,LONDON BOROUGH OF HACKNEY OUR LADYS CONVENT HIGH SCHOOL DISBUR,200933,25000
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST PAUL'S SCHOOLS - COVENANTS,200941,39014.02
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,200945,66982.87
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,200953,36943.88
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST MICHAELS CHURCH PRIMARY SCHOOL,200955,71800.97
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,200957,144984.96
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,DURHAM DIOCESAN BOARD OF FINANCE SCHOOLS BUILDINGS SERVICES,200959,61342.34
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST BONAVENTURE'S SCHOOL NO 2 ACCOUNT,200961,25000
DfE,PfS,05/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST CUTHBERT'S COUNTY COUNCIL COLLEGE FOR BUSINESS AND ENTERPRISE,200963,25000
DfE,PfS,11/05/2010,Review of Standard Documentation,Director Commercial Team,NABARRO LLP,201514,34657.86
DfE,PfS,11/05/2010,Seconded Staff Costs,Director Commercial Team,NABARRO LLP,201514,8540.06
DfE,PfS,11/05/2010,Miscellaneous External Advice,Director Commercial Team,NAVIGANT CONSULTING (EUROPE) LTD,201516,8812.5
DfE,PfS,11/05/2010,Financial Advice,Operations Director,NAVIGANT CONSULTING (EUROPE) LTD,201516,24554.56
DfE,PfS,11/05/2010,Miscellaneous External Advice,South Director,NAVIGANT CONSULTING (EUROPE) LTD,201516,14870.65
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,SHEFFIELD DIOCESAN BOARD OF FINANCE SCHOOLS FUND ACCOUNT,201860,44250.98
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,201864,37568.53
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,BATH AND WELLS DIOCESAN BOARD OF FINANCE,201868,26142.12
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,NORTHAMPTON ROMAN CATHOLIC DIOCESE TRUST,201870,36892.01
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,201874,48303.34
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,201876,530860.77
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,201880,35100
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,201882,161901.81
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,NORWICH DIOCESAN BOARD OF FINANCE LIMITED,201886,83665.47
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,201890,85667.61
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,201892,110343.96
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,201894,136780.76
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,201896,116356.94
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,LEICESTER DIOCESAN BOARD OF EDUCATION,201898,74103.68
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED,201902,178999.5
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,201904,41041.96
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,201906,477494.9
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,201908,267678.88
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,WAKEFIELD DIOCESAN COUNCIL OF EDUCATION,201910,47473.67
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,PETERBOROUGH DIOCESEN BOARD OF FINANCE (PROPERTY ACCOUNT),201912,75121.62
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,TRINITY SCHOOL NO1 ACCOUNT,201914,25000
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION INC NO 3 ACCOUNT,201918,56751.93
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,THE JOHN FISHER SCHOOL GENERAL ACCOUNT,201920,25000
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,SCHOOL PROJECT ACCOUNT (APS) 7,201922,99391.42
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,THE CONVENT OF JESUS AND MARY COLLEGE,201926,25000
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,201928,182005.54
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,201932,32517.61
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,OWEN'S FOUNDATION,201944,73823.36
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,201948,39993.08
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,COVENTRY DIOCESAN BOARD OF EDUCATION,201952,207960.46
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST BERNARD'S CHURCH HIGH SCHOOL,201954,53938.69
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,THE JEWISH COMMUNITY SECONDARY SCHOOL TRUST,201960,2627726.62
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,201962,66638.43
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,DURHAM DIOCESAN BOARD OF FINANCE SCHOOLS BUILDINGS SERVICES,201964,75347.64
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST JOSEPHS ROMAN CATHOLIC PRIMARY SCHOOL,201966,136655.88
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,NORTH YORKSHIRE COUNTY COUNCIL HOLY FAMILY SCHOOL,201968,25000
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,EDUCATIONAL DEVELOPMENT LTD - SCHOOLS ACCOUNT,201970,45958.45
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,WATFORD GRAMMER SCHOOL FOR BOYS FUND DEPOSIT ACCOU,201972,252000
DfE,PfS,12/05/2010,Capital Grant,Schools Capital and Revenue Grants,ISLAMIA PRIMARY SCHOOL,201974,81895.54
DfE,PfS,12/05/2010,VA Schools PFI Payments,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,201976,178990.19
DfE,PfS,12/05/2010,VA Schools PFI Payments,Schools Capital and Revenue Grants,INGLBY BARWICK COMMUNITY CAMPUS TRUSTEE ACCOUNT,201978,66735.57
DfE,PfS,12/05/2010,VA Schools PFI Payments,Schools Capital and Revenue Grants,JEWISH FREE SCHOOL - UNITARY CHARGE ACCOUNT,201980,220917.08
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,CHESTER DIOCESAN BOARD OF EDUCATION,219454,433383.44
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,219456,845698.55
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CHURCH DIOCESE OF EAST ANGLIA,219458,249707.13
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE DIOCESAN EDUCATION BOARD,219460,218742.07
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,LINCOLN DIOCESEN TRUSTESS BOARD OF FINANCE LTD,219462,203496.13
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,219464,856393
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST EDMUNDSBURY AND IPSWICH DIOCESAN BOARD OF FINANCE BARCHESTER,219466,119273.76
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,219468,205114.86
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,NORWICH DIOCESAN BOARD OF FINANCE LIMITED,219470,224342.07
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,YORK DIOCESAN BOARD OF FINANCE,219472,136556.96
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHWELL DIOCESAN EDUCATION COMMITTEE NEWCASTLE,219474,106638.06
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM CHURCH SCHOOLS FUND,219476,177648.02
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,219478,942338.68
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,DERBY DIOCESAN COUNCIL OF EDUCATION,219482,202727.41
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,CHICHESTER DIOCESAN BOARD OF FINANCE 11,219484,37743.31
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,219486,283487.73
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,DIOCESAN (BARCHESTER) SCHEME,219488,313718.98
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,KING DAVID SCHOOL THE SCHOOL ACCOUNT,219934,41526.4
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,WIMBLEDON COLLEGE GOVERNORS FUND,219936,33762.87
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,219938,381002.13
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,GOVERNORS OF JOHN FUND KENNEDY SCHOOL,219940,43535.41
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST JOHN PAYNE SCHOOL GOVERNORS MAINTENAN,219942,33739.78
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,219946,1294665.4
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,GREY COAT HOSPITAL ACCOUNT,219948,29349.98
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,HOLY TRINITY SCHOOL MAINTENANCE ACCOUNT,219952,36313.15
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CHURCH D OF ARUNDEL AND BRIGHTON ST WILFRIDS SCHOOL CRAWLEY,219954,25904.43
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,CARDINAL NEWMAN SCHOOL GOVERNORS NO1 ACCOUNT,219956,34162.7
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,CARDINAL WISEMAN SCHOOL GOVERNORS,219960,29742.84
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,BRISTOL DIOCESAN BOARD OF FINANCE EDUC. FUND,220768,74454.99
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,HARDYES SCHOOL NO1 ACCOUNT,220774,59944.71
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED GLOUC SCHOOLS ACCOUNT,220776,146100
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,LONDON BOROUGH OF HACKNEY CARDINAL POPLE SCHOOL DISBURSEMENT ACCOUNT,220778,29454.03
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,220788,394213.45
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,CASTLE HIGH SCHOOLFOUNDATION,220814,29493.9
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST AIDANS CHURCH OF ENGLAND HIGH SCHOOL GOVERNORS,220840,50615.18
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOLS PROJECT,220842,2133276.21
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,LEICESTER DIOCESAN BOARD OF EDUCATION,220844,180622.72
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,WAKEFIELD DIOCESAN COUNCIL OF EDUCATION,220846,287531.39
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST THOMAS MORE SCHOOL ACTIVITIES ACCOUNT,220848,26615.77
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST MARYS COMPREHENSIVE SCHOOL - DIOCESE,220852,32891.56
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,OUR LADY'S ROMAN CATHOLIC HIGH SCHOOL,220854,32092.2
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST GEORGES SCHOOL (HARPENDEN) LTD,220870,37568.73
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE OF ARUNDEL AND BRIGHTON ST PETERS AND MERROW GRANGE SCHOOL,220876,31156.77
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,NEWMAN SCHOOL GOVERNORS ACCOUNT,220880,56051.43
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST EDWARDS CHURCH OF ENGLAND COMPREHENSIVE SCHOOL,220882,35985.4
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST JOAN OF ARC SCHOOL GOVERNORS ACCOUNT,222326,34834.15
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ANNUAL MAINTENANCE GRANT,222332,26951.76
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST MARGARET'S CHURCH OF ENGLAND HIGH SCHOOL ISB ACCOUNT,222336,28918.36
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST JOSEPH'S COLLEGE GOVERNORS ACCOUNT,222342,29190.12
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL CITY COUNCIL HEENAN HIGH SCHOOL,222344,37864.09
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,SACRED HEART SCHOOL R/C JMI DISBURSEMENT,222348,25366.46
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,SCHOOLS OF KING EDWARD GRAMMAR SCHOOL ACCOUNT,222352,96422.8
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,KESWICK SCHOOL,222362,30661.27
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST BERNARD'S HIGH SCHOOL SCHOOLS AND COLLEGE,222368,25552.69
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST RICHARDS SCHOOL FUND,222398,29254.12
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,LONDON BOROUGH OF ISLINGTON ST ALOYSIUS COLLEGE DISBURSEMENT ACCOUNT,222408,25848.48
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,BRENTWOOD URSULINE CONVENT HIGH SCHOOL ACCOUNT,222412,29438.04
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST PAULS CHURCH COLLEGE,222426,31052.93
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,GOVERNORS OF LORETO GRAMMAR SCHOOL,222428,29445.99
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,BISHOP THOMAS GRANT SCHOOL ASSET MANAGEMENT GROUP ACCOUNT,222436,26519.98
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,COVENTRY COUNTY COUNCIL - BLUECOAT CHURCH OF ENGLAND SCHOOL,222456,38023.97
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,THE TRINITY SCHOOL FUND,222458,30996.88
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,HOLY CROSS SCHOOL,222480,27727.23
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,RIDDLESDOWN HIGH SCHOOL,222490,54629.5
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST GREGORY'S GOVERNORS FUND,222516,30309.38
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,GOVERNORS OF ST MARKS WEST ESSEX SCHOOL,222520,30349.45
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST CATHERINES ROMAN CATHOLIC SCHOOL,222522,30917.08
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST THOMAS MORE HIGH SCHOOL FOR BOYS,222528,30971.93
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,GUMLEY HOUSE CONVENT SCHOOL ASSET MANAGEMENT GROUP ACCOUNT,222554,32283.93
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,TRINITY SCHOOL BELVEDERE CHURCH OF ENGLAND VOLUNTARY AID COMPREHENSIVE,222562,30245.48
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ST JOSEPH'S PRIMARY SCHOOL FUND,222572,25679.01
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,BISHOP OF HEREFORD BLUECOAT SCHOOL GOVERNMENT ACCOUNT,222576,32763.6
DfE,PfS,18/05/2010,Capital Grant,Schools Capital and Revenue Grants,ROYAL ALEXANDRA AND ALBERT SCHOOL,222622,32469.25
