Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.10.2010 to 31.10.2010,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,01/10/2010,Capital Grant,Schools Capital and Revenue Grants,CHESTER DIOCESAN BOARD OF EDUCATION,277032,51205.87
DfE,PfS,01/10/2010,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,277040,113523.74
DfE,PfS,01/10/2010,Capital Grant,Schools Capital and Revenue Grants,BRISTOL DIOCESAN BOARD OF FINANCE EDUC. FUND,277048,55589.22
DfE,PfS,01/10/2010,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,277050,53448.5
DfE,PfS,01/10/2010,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,277056,74127.45
DfE,PfS,01/10/2010,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,277060,49225.85
DfE,PfS,01/10/2010,Capital Grant,Schools Capital and Revenue Grants,ST CECILIA'S WANDSWORTH CHURCH OF ENGLAND SCHOOL,277064,50085
DfE,PfS,01/10/2010,Capital Grant,Schools Capital and Revenue Grants,NATIONAL SCHOOL CAPITAL PROJECTS ACCOUNT,277066,122873.87
DfE,PfS,01/10/2010,Capital Grant,Schools Capital and Revenue Grants,ST FRANCIS XAVIER CHURCH PRIMARY SCHOOL,277070,34234.35
DfE,PfS,01/10/2010,Capital Grant,Schools Capital and Revenue Grants,MCC - ST AUGUSTINE OF CANTERBURY CPS CAPITAL,277072,50231.25
DfE,PfS,01/10/2010,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,277074,89757.32
DfE,PfS,01/10/2010,Capital Grant,Schools Capital and Revenue Grants,ST MARYS PRIORY ROMAN CATHOLIC JUNIOR SCHOOL,277078,29233.31
DfE,PfS,01/10/2010,VA Schools PFI Payments,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,277080,177597.43
DfE,PfS,01/10/2010,VA Schools PFI Payments,Schools Capital and Revenue Grants,ST THOMAS NORE CATHOLIC BIRMINGHAM DIOCESE ACCOUNT,277082,77050.75
DfE,PfS,05/10/2010,Capital Grant,Schools Capital and Revenue Grants,NORTHAMPTON ROMAN CATHOLIC DIOCESE TRUST,277160,134224.76
DfE,PfS,05/10/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE OF ARUNDEL AND BRIGHTON DIOCESAN SCHOOLS,277164,200229.11
DfE,PfS,05/10/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,277172,186120
DfE,PfS,05/10/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,277174,105457.18
DfE,PfS,05/10/2010,Capital Grant,Schools Capital and Revenue Grants,WAKEFIELD DIOCESAN COUNCIL OF EDUCATION,277176,58212.6
DfE,PfS,05/10/2010,Capital Grant,Schools Capital and Revenue Grants,ST MICHAELS AND ALL ANGELS CHURCH PRIMAR,277190,74298.47
DfE,PfS,05/10/2010,Capital Grant,Schools Capital and Revenue Grants,PRCDT ST MARYS GOVERNORS ACCOUNT POOLE,277192,150930
DfE,PfS,07/10/2010,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,283935,165476.34
