Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.08.2011 to 31.08.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,SHEFFIELD DIOCESAN BOARD OF FINANCE SCHOOLS FUND ACCOUNT,380080,79412.4,
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,380082,27823.3,
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,LINCOLN DIOCESEN TRUSTESS BOARD OF FINANCE LTD,380084,183717.68,
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,380086,54659.77,
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,380088,51275.16,
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,380090,51672.44,
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,NORWICH DIOCESAN BOARD OF FINANCE LIMITED,380094,31087.35,
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,380100,148354.65,
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,380106,211024.5,
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,380108,56453.72,
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,HOLY CROSS ROMAN CATHOLIC PRIMARY SCHOOL - DEVOLVED FORMULA CAPITAL ACCOUNT,380110,62926.52,
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,380112,48493.89,
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,MEXBOROUGH ST JOHN THE BAPTIST SD,380120,83577.96,
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,PARSON CROSS CHURCH OF ENGLAND PRIMARY SCHOOL SD,380122,126895.68,
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,GOVERNORS OF KING EDWARD VI SCHOOL CAPITAL ACCOUNT,380124,52650,
DfE,PfS,02/08/2011,Capital Grant,Schools Capital and Revenue Grants,PARMITERS SCHOOL CURRENT ACCOUNT,380126,33914.16,
DfE,PfS,03/08/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,380740,35285.6,
DfE,PfS,03/08/2011,Capital Grant,Schools Capital and Revenue Grants,DIOCESAN (BARCHESTER) SCHEME,380750,57635.2,
DfE,PfS,03/08/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,380756,119178.34,
DfE,PfS,03/08/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,380760,169117.69,
DfE,PfS,03/08/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,380762,37648.2,
DfE,PfS,03/08/2011,Capital Grant,Schools Capital and Revenue Grants,NOTRE DAME HIGH SCHOOL MAIN FUND DEPOSIT,380766,98724.28,
DfE,PfS,03/08/2011,Capital Grant,Schools Capital and Revenue Grants,KATHARINE LADY BERKELEYS SCHOOL (AMG A/C),380770,36158.18,
DfE,PfS,05/08/2011,Revenue Grant,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,380774,181376.1,
DfE,PfS,03/08/2011,Revenue Grant,Schools Capital and Revenue Grants,ST THOMAS NORE CATHOLIC BIRMINGHAM DIOCESE ACCOUNT,380776,81276.75,
DfE,PfS,05/08/2011,Capital Grant,Schools Capital and Revenue Grants,BATH AND WELLS DIOCESAN BOARD OF FINANCE,380915,38235.04,
DfE,PfS,05/08/2011,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,380919,56226.59,
DfE,PfS,05/08/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,380925,29015.19,
DfE,PfS,05/08/2011,Capital Grant,Schools Capital and Revenue Grants,DIOCESAN (BARCHESTER) SCHEME,380927,30113.55,
DfE,PfS,05/08/2011,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED,380935,45237.67,
DfE,PfS,05/08/2011,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,380937,34037.74,
DfE,PfS,05/08/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,380939,181052.25,
DfE,PfS,05/08/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,380941,84249.07,
DfE,PfS,05/08/2011,Capital Grant,Schools Capital and Revenue Grants,BRENTWOOD URSULINE CONVENT HIGH SCHOOL ACCOUNT,380943,70758.9,
DfE,PfS,05/08/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 7.,380945,92609.65,
DfE,PfS,05/08/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,380951,237070.34,
DfE,PfS,05/08/2011,ICT - Capital Programme,Schools Capital and Revenue Grants,ORMISTON ACADEMIES TRUST,380953,327501.12,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,381236,141343.56,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,381238,31367.25,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,381240,107021.8,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,381242,30074.9,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,DERBY DIOCESAN COUNCIL OF EDUCATION,381246,108623.65,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,381254,132131.35,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,WIMBLEDON COLLEGE GOVERNORS FUND,381256,85843.91,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,OUR LADY OF RANSOM GOVERNMENT BUILDINGS + MAINTENANCE ACCOUNT,381264,30554.28,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,CANON PALMER SCHOOL GOVERNORS LETTINGS,381266,58027.55,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,ST JOHN HAUGHTON ROMAN CATHOLIC SCHOOL CURRENT ACCOU,381270,61728.06,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,381272,43662.98,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,381276,187450.45,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE DIOCESAN EDUCATION BOARD,381278,27035.2,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,381280,47234.58,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,381282,28286.51,
DfE,PfS,10/08/2011,Capital Grant,Schools Capital and Revenue Grants,COVENTRY DIOCESAN BOARD OF EDUCATION,381284,161737.86,
