Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.02.2011 to 28.02.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,BATH AND WELLS DIOCESAN BOARD OF FINANCE,308398,79504.43,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,NORTHAMPTON ROMAN CATHOLIC DIOCESE TRUST,308400,83989.2,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE OF ARUNDEL AND BRIGHTON DIOCESAN SCHOOLS,308406,245700,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM CHURCH SCHOOLS FUND,308408,27945.43,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,DIOCESAN (BARCHESTER) SCHEME,308414,40997.34,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,308416,197811.44,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,308430,256941.89,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 7.,308432,110961.82,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,308434,92856.68,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,ST CYPRIAN'S GRREK ORTHODOX PRIMARY SCHOOL,308436,51382.17,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,308438,239841,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,308456,34670.62,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,ST PHILIP'S CHURCH OF ENGLAND PRIMARY SCHOOL,308458,29777,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,308460,140709.63,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,DURHAM DIOCESAN BOARD OF FINANCE SCHOOLS BUILDINGS SERVICES,308462,133361.02,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,PARSON CROSS CHURCH OF ENGLAND PRIMARY SCHOOL SD,308464,49183.92,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,BATH AND WELLS DIOCESAN BOARD OF FINANCE,308474,32996.19,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,308476,35154.02,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,308478,138633.38,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,308482,321167.61,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,LEICESTERSHIRE CATHOLIC SCHOOLS COUNCIL,308486,82522.08,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,BRISTOL DIOCESAN BOARD OF FINANCE EDUC. FUND,308490,40253.54,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,308498,74085.92,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,THE GOVERNORS OF BAINES SCHOOL GRANT ACCOUNT,308500,40500,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 7.,308504,116471.46,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,HENRIETTA BARNETT SCHOOL TRUST DEPOSIT ACCOUNT,308506,187898,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,NOTTINGHAM EDUCATION SERVICE SCHOOL CAPITAL ACCOUNT,308508,85397.24,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,308510,250483.07,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,DURHAM DIOCESAN BOARD OF FINANCE SCHOOLS BUILDINGS SERVICES,308514,36624.48,
DfE,PfS,01/02/2011,Capital Grant,Schools Capital and Revenue Grants,ISLAMIA PRIMARY SCHOOL,308516,285936.43,
DfE,PfS,01/02/2011,VA Schools PFI Payments,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,308518,177597.43,
DfE,PfS,02/02/2011,Capital Grant,Schools Capital and Revenue Grants,NORTHAMPTON ROMAN CATHOLIC DIOCESE TRUST,309284,30476.1,
DfE,PfS,02/02/2011,Capital Grant,Schools Capital and Revenue Grants,ROCHESTER DIOCESAN BOARD OF EDUCATION,309292,134949.72,
DfE,PfS,02/02/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,309294,54849.85,
DfE,PfS,02/02/2011,Capital Grant,Schools Capital and Revenue Grants,YORK DIOCESAN BOARD OF FINANCE,309302,39630.99,
DfE,PfS,02/02/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,309304,26954.6,
DfE,PfS,02/02/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,309306,178259.67,
DfE,PfS,02/02/2011,Capital Grant,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,309308,115496.8,
DfE,PfS,02/02/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,309312,260815.4,
DfE,PfS,02/02/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,309314,29251.61,
DfE,PfS,02/02/2011,Capital Grant,Schools Capital and Revenue Grants,ST JOHN HAUGHTON ROMAN CATHOLIC SCHOOL CURRENT ACCOU,309318,33165.79,
DfE,PfS,02/02/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION NO.4 ACCOUNT,309328,773769.95,
DfE,PfS,02/02/2011,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,309332,38255.93,
DfE,PfS,02/02/2011,Capital Grant,Schools Capital and Revenue Grants,ST PHILIP HOWARD ROMAN CATHOLIC HIGH SCHOOL FUND ACCOUNT,309338,155017.07,
DfE,PfS,02/02/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,309340,60393.37,
DfE,PfS,04/02/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,309458,399588.61,
DfE,PfS,04/02/2011,Capital Grant,Schools Capital and Revenue Grants,ST EDMUNDSBURY AND IPSWICH DIOCESAN BOARD OF FINANCE BARCHESTER,309460,27000,
DfE,PfS,04/02/2011,Capital Grant,Schools Capital and Revenue Grants,ELY DIOCESAN BOARD OF EDUCATION BARCHEST,309470,92746.73,
DfE,PfS,04/02/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,309474,29418.71,
DfE,PfS,04/02/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,309476,176295.41,
DfE,PfS,04/02/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,309478,114369.03,
DfE,PfS,04/02/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,309486,423338.61,
DfE,PfS,04/02/2011,Capital Grant,Schools Capital and Revenue Grants,NOTTINGHAM DIOCESAN TRUSTEES ST MARYS SC,309488,49650.89,
DfE,PfS,04/02/2011,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL ARCHDIOCESIAN SCHOOL REPAIR ACCOUNT,309490,111622.94,
DfE,PfS,04/02/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION INC NO 3 ACCOUNT,309496,107486.87,
DfE,PfS,04/02/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,309498,37210.08,
DfE,PfS,04/02/2011,Capital Grant,Schools Capital and Revenue Grants,LYNN GROVE CAPITAL ACCOUNT,309504,84704.51,
DfE,PfS,04/02/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,309510,40714.34,
DfE,PfS,04/02/2011,Capital Grant,Schools Capital and Revenue Grants,EDUCATIONAL DEVELOPMENT LTD - SCHOOLS ACCOUNT,309518,115887.91,
DfE,PfS,04/02/2011,VA Schools PFI Payments,Schools Capital and Revenue Grants,INGLBY BARWICK COMMUNITY CAMPUS TRUSTEE ACCOUNT,309520,66735.57,
DfE,PfS,04/02/2011,Capital Grant,Schools Capital and Revenue Grants,DICKINSON DEES,315568,2702674.03,
DfE,PfS,07/02/2011,Capital Grant,Schools Capital and Revenue Grants,CHESTER DIOCESAN BOARD OF EDUCATION,309550,28880.55,
DfE,PfS,07/02/2011,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,309552,40978.04,
DfE,PfS,07/02/2011,Capital Grant,Schools Capital and Revenue Grants,NORWICH DIOCESAN BOARD OF FINANCE LIMITED,309560,248805,
DfE,PfS,07/02/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,309566,26810.67,
DfE,PfS,07/02/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,309568,144991.67,
DfE,PfS,07/02/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,309578,951319.35,
DfE,PfS,07/02/2011,Capital Grant,Schools Capital and Revenue Grants,THE HOLY FAMILY TECHNOLOGY COLLEGE,309580,29548.38,
DfE,PfS,07/02/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,309584,30545,
DfE,PfS,07/02/2011,Capital Grant,Schools Capital and Revenue Grants,ST MARYS CHURCH PRIMARY SCHOOL 2-NORTHAMPTON COUNTY COUNCIL,309586,50947.74,
DfE,PfS,07/02/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,309588,32625,
DfE,PfS,07/02/2011,Capital Grant,Schools Capital and Revenue Grants,ISLAMIA PRIMARY SCHOOL,309594,80575.48,
DfE,PfS,08/02/2011,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,309798,43529.4,
DfE,PfS,08/02/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,309802,36450.33,
DfE,PfS,08/02/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,309804,29023.26,
DfE,PfS,08/02/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,309812,151737.28,
DfE,PfS,08/02/2011,Capital Grant,Schools Capital and Revenue Grants,DEAN BARWICK SCHOOL GOVERNORS,309814,59083.2,
DfE,PfS,08/02/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION INC NO 3 ACCOUNT,309822,266876.34,
DfE,PfS,08/02/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION NO.4 ACCOUNT,309826,524049.25,
DfE,PfS,08/02/2011,Capital Grant,Schools Capital and Revenue Grants,BECKET SCHOOL CAPITAL BUILD PROJECT ACCOUNT,309828,566114.72,
DfE,PfS,08/02/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,309834,93681.04,
DfE,PfS,08/02/2011,Capital Grant,Schools Capital and Revenue Grants,MENORAH PRIMARY SCHOOL DEVOLVED FORMULA CAPITAL ACCOUNT,309836,52200,
DfE,PfS,09/02/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWELL DIOCESAN EDUCATION COMMITTEE NEWCASTLE,310151,44999.9,
DfE,PfS,09/02/2011,Capital Grant,Schools Capital and Revenue Grants,DERBY DIOCESAN COUNCIL OF EDUCATION,310153,54765.2,
DfE,PfS,09/02/2011,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,310157,42879.9,
DfE,PfS,09/02/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,310159,132859.85,
DfE,PfS,09/02/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,310161,253708.42,
DfE,PfS,09/02/2011,Capital Grant,Schools Capital and Revenue Grants,ST PATRICK'S ROMAN CATHOLIC PRIMARY AND NURSERY SCHOOL,310163,56236.41,
DfE,PfS,09/02/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWELL DBE - MINSTER AND EMMANUEL ACCOUNT,310165,652925,
DfE,PfS,09/02/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH ROMAN CATHOLIC DIOCESE TRUSTEES REGISTERED SCHOOLS CONDITION SCHEME NO 2 ACCOUNT,310173,77760,
DfE,PfS,11/02/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTH GLOUCESTERSHIRE COUNCIL,310447,55484,
DfE,PfS,09/02/2011,VA Schools PFI Payments,Schools Capital and Revenue Grants,ST THOMAS NORE CATHOLIC BIRMINGHAM DIOCESE ACCOUNT,310449,79871.99,
DfE,PfS,11/02/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,310453,27221.16,
DfE,PfS,11/02/2011,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,310459,62957.64,
DfE,PfS,11/02/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,310461,27411.89,
DfE,PfS,11/02/2011,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,310463,36045.92,
DfE,PfS,11/02/2011,Capital Grant,Schools Capital and Revenue Grants,DIOCESAN (BARCHESTER) SCHEME,310465,33305.49,
DfE,PfS,11/02/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,310467,708133.27,
DfE,PfS,11/02/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,310469,427910.45,
DfE,PfS,11/02/2011,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL ARCHDIOCESIAN SCHOOL REPAIR ACCOUNT,310477,153409.5,
DfE,PfS,11/02/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,310479,50312.58,
DfE,PfS,11/02/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,310481,54964.33,
DfE,PfS,11/02/2011,Capital Grant,Schools Capital and Revenue Grants,DIOCESE HALLAM - ST JOSEPH'S CATHOIC PRIMARY,310485,25074.89,
