Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.07.2011 to 31.07.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,01/07/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,363792,37425.96,
DfE,PfS,01/07/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,363796,39945.04,
DfE,PfS,01/07/2011,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,363798,34260.2,
DfE,PfS,01/07/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,363806,35074.71,
DfE,PfS,01/07/2011,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,363808,69185.7,
DfE,PfS,01/07/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,363810,39537.98,
DfE,PfS,01/07/2011,Capital Grant,Schools Capital and Revenue Grants,BRENTWOOD URSULINE CONVENT HIGH SCHOOL ACCOUNT,363818,121398.3,
DfE,PfS,01/07/2011,Capital Grant,Schools Capital and Revenue Grants,HOLY CROSS ROMAN CATHOLIC PRIMARY SCHOOL - DEVOLVED FORMULA CAPITAL ACCOUNT,363824,57175.96,
DfE,PfS,01/07/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,363830,54000,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,CHESTER DIOCESAN BOARD OF EDUCATION,364690,210370.06,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,364692,397641.95,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CHURCH DIOCESE OF EAST ANGLIA,364694,139066.37,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,LINCOLN DIOCESEN TRUSTESS BOARD OF FINANCE LTD,364696,104979.55,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,364698,434495.63,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,ST EDMUNDSBURY AND IPSWICH DIOCESAN BOARD OF FINANCE BARCHESTER,364700,58151.05,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,364702,181349.8,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWELL DIOCESAN EDUCATION COMMITTEE NEWCASTLE,364704,48433.03,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM CHURCH SCHOOLS FUND,364706,71694.21,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE DIOCESAN EDUCATION BOARD,364708,113376.43,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,365558,472417.14,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,DERBY DIOCESAN COUNCIL OF EDUCATION,365562,116773.27,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,365566,157521.45,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,DIOCESAN (BARCHESTER) SCHEME,365568,174001.8,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,NORWICH DIOCESAN BOARD OF FINANCE LIMITED,365570,122613.23,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,YORK DIOCESAN BOARD OF FINANCE,365572,77726.32,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,365574,681129.63,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,366438,213554.65,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,LEICESTER DIOCESAN BOARD OF EDUCATION,366444,95137.26,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,NEWMAN SCHOOL GOVERNORS ACCOUNT,366452,25478.95,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,BRISTOL DIOCESAN BOARD OF FINANCE EDUC. FUND,366460,43189.97,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,HARDYES SCHOOL NO1 ACCOUNT,366466,26987.98,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED GLOUC SCHOOLS ACCOUNT,366470,78772.42,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,366480,222222.62,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOLS PROJECT,366538,1124432.86,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL DIOCESAN BOARD OF FINANCE ( ST,367320,310936.36,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,SCHOOLS OF KING EDWARD GRAMMAR SCHOOL ACCOUNT,367356,60713.12,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,WAKEFIELD DIOCESAN COUNCIL OF EDUCATION,367492,149576.5,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,JEWS FREE SCHOOL -AMG ACCOUNT,367652,25183.71,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,PETERBOROUGH DIOCESEN BOARD OF FINANCE (PROPERTY ACCOUNT),367852,87671.89,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN EDUCATION NO 2 ACCOUNT,369103,441634.75,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,URSULINE HIGH SCHOOL PUBLIC FUNDS,369285,28468.12,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,LDBS - SCHOOLS MAINTENANCE FUND,370151,709493.89,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE DIOCESAN SCHOOLS GRANT,370163,890484.4,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,NOTTINGHAM EDUCATION SERVICE SCHOOL CAPITAL ACCOUNT,370165,297223.09,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,370989,392999.66,
