Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.10.2011 to 31.10.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,06/10/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,393371,208606.88,
DfE,PfS,06/10/2011,Capital Grant,Schools Capital and Revenue Grants,OUR LADY'S ROMAN CATHOLIC HIGH SCHOOL,393379,31795.11,
DfE,PfS,06/10/2011,Capital Grant,Schools Capital and Revenue Grants,LDBS - SCHOOLS MAINTENANCE FUND,393393,33939.57,
DfE,PfS,06/10/2011,Capital Grant,Schools Capital and Revenue Grants,THE DOUAY MARTYRS SCHOOL,393407,29251.8,
DfE,PfS,06/10/2011,Capital Grant,Schools Capital and Revenue Grants,CHESTER DIOCESAN BOARD OF EDUCATION,395165,59411.92,
DfE,PfS,06/10/2011,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,395169,44993.69,
DfE,PfS,06/10/2011,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,395175,70711.19,
DfE,PfS,06/10/2011,Capital Grant,Schools Capital and Revenue Grants,YORK DIOCESAN BOARD OF FINANCE,395177,49827.93,
DfE,PfS,06/10/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,395179,397714.54,
DfE,PfS,06/10/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,395181,318092.3,
DfE,PfS,06/10/2011,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,395185,41137.36,
