Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.09.2011 to 30.09.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,COOMBE DEAN SCHOOL ACADEMY TRUST,386524,195375,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,GLYN SCHOOL,386526,77141.5,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,CHARLES DARWIN ACADEMY TRUST,386528,47126.5,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,CITY OF LONDON ACADEMY,386530,375000,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,FAIRFIELD HIGH SCHOOL FOR GIRLS,386532,71000,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,KING EDWARD VI GRAMMER SCHOOL,386534,43500,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,READING SCHOOL,386536,445000,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,RINGWOOD SCHOOL SPECIALIST LANGUAGAE ACADEMY,386538,120050,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,SANDY HILL ACADEMY,386540,40500,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,ST JOSEPHS COLLEGE EDMUND RICE ACADEMY,386542,193419.5,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,THE SOUTH LEEDS ACADEMY,386544,37310,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,SOUTHEND HIGH SCHOOL FOR BOYS,386546,26500,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,THE BUSINESS ACADEMY BEXLEY,386548,253017.5,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,BARTLEY GREEN SCHOOL,386550,26950,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,BROOKFIELD COMMUNITY SCHOOL,386552,137500,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,CHELLASTON ACADEMY,386554,255000,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,CONGLETON HIGH SCHOOL,386556,32400,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,GODDARD PARK COMMUNITY PRIMARY SCHOOL,386558,77500,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,HELES SCHOOL,386560,69076,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,JOHN KYRLE HIGH SCHOOL AND SIXTH FORM,386562,141929,
DfE,PfS,09/09/2011,Grants to Academy Trusts,Schools Capital and Revenue Grants,MOTTRAM ST ANDREW PRIMARY ACADEMY,386564,30000,
