Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.12.2011 to 31.12.2011,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,BATH AND WELLS DIOCESAN BOARD OF FINANCE,407745,28898.10
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,NORTHAMPTON ROMAN CATHOLIC DIOCESE TRUST,407747,43068.91
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,ROCHESTER DIOCESAN BOARD OF EDUCATION,407757,31275.72
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,407765,87332.59
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,407767,298577.24
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,407769,149369.99
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,407779,67242.22
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,ST MARIES ROMAN CATHOLIC JMI SCHOOL FUND ACCOUNT,407783,140922.89
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,OUR LADY OF LOURDES SCHOOL GOVERNORS FUND,407785,72697.73
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,PETERBOROUGH DIOCESEN BOARD OF FINANCE (PROPERTY ACCOUNT),407787,28984.00
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,407789,45123.08
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,GOVERNORS OF LORETO GRAMMAR SCHOOL,407791,52249.86
DfE,PfS,01/12/2011,Revenue Grant,Schools Capital and Revenue Grants,INGLBY BARWICK COMMUNITY CAMPUS TRUSTEE ACCOUNT,407795,71353.79
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,407797,117538.39
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,407801,131105.49
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,407803,94137.87
DfE,PfS,01/12/2011,ICT - Capital Programme,Free School Capital Costs,CANARY WHARF COLLEGE,407807,99984.06
DfE,PfS,01/12/2011,VAT Debtor - Academy Trusts,Free School Capital Costs,CANARY WHARF COLLEGE,407807,19996.81
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE DICESE FOR DURHAM SCHOOLS ACCOUNT,407809,85803.45
DfE,PfS,01/12/2011,"Furniture, Fixtures & Fittings - Capital Programme",Free School Capital Costs,BRISTOL FREE SCHOOL TRUST,407811,541.03
DfE,PfS,01/12/2011,ICT - Capital Programme,Free School Capital Costs,BRISTOL FREE SCHOOL TRUST,407811,85153.50
DfE,PfS,01/12/2011,VAT Debtor - Academy Trusts,Free School Capital Costs,BRISTOL FREE SCHOOL TRUST,407811,17138.91
DfE,PfS,01/12/2011,Capital Grant,Schools Capital and Revenue Grants,ST HELENS JUNIOR SCHOOL ACADEMY ACCOUNT,407813,37806.14
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,407853,27902.88
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,ST EDMUNDSBURY AND IPSWICH DIOCESAN BOARD OF FINANCE BARCHESTER,407861,48177.50
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWELL DIOCESAN EDUCATION COMMITTEE NEWCASTLE,407863,30092.04
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,407865,154746.30
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,HEREFORD DIOCESAN BOARD OF FINANCE,407867,32454.47
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,CHICHESTER DIOCESAN BOARD OF FINANCE 11,407871,88898.97
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,DIOCESAN (BARCHESTER) SCHEME,407877,168248.14
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,407885,118778.16
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,407887,53076.32
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,BRISTOL DIOCESAN BOARD OF FINANCE EDUC. FUND,407891,55182.38
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,WAKEFIELD DIOCESAN COUNCIL OF EDUCATION,407897,161721.24
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,THE TRINITY SCHOOL FUND,407903,26676.00
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,407913,62995.33
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,ST JOSEPH'S CHURCH PRIMARY SCHOOL,407917,35490.33
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,ST MARY'S CHURCH HIGH SCHOOL,407921,55170.00
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,407923,63962.75
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,407925,121060.14
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,EDUCATIONAL DEVELOPMENT LTD - SCHOOLS ACCOUNT,407929,39390.84
DfE,PfS,05/12/2011,Capital Grant,Schools Capital and Revenue Grants,OAKLANDS ROMAN CATHOLIC SCHOOL,407931,113712.01
DfE,PfS,05/12/2011,Technical Costs - Capital,Free School Technical Advice,ST LUKE'S CHURCH OF ENGLAND SCHOOL,407933,8576.40
DfE,PfS,05/12/2011,Building Work - Capital Programme,Free School Capital Costs,ST LUKE'S CHURCH OF ENGLAND SCHOOL,407933,82073.00
DfE,PfS,05/12/2011,"Furniture, Fixtures & Fittings - Capital Programme",Free School Capital Costs,ST LUKE'S CHURCH OF ENGLAND SCHOOL,407933,3653.86
DfE,PfS,05/12/2011,ICT - Capital Programme,Free School Capital Costs,ST LUKE'S CHURCH OF ENGLAND SCHOOL,407933,944.00
DfE,PfS,05/12/2011,VAT Debtor - Academy Trusts,Free School Capital Costs,ST LUKE'S CHURCH OF ENGLAND SCHOOL,407933,18689.03
DfE,PfS,05/12/2011,ICT - Capital Programme,Free School Capital Costs,EDEN PRIMARY FREE SCHOOL ACCOUNT,407935,55461.83
DfE,PfS,05/12/2011,VAT Debtor - Academy Trusts,Free School Capital Costs,EDEN PRIMARY FREE SCHOOL ACCOUNT,407935,11092.37
DfE,PfS,05/12/2011,"Furniture, Fixtures & Fittings - Capital Programme",Free School Capital Costs,NISHKAM SCHOOL TRUST NUMBER 2 ACCOUNT,407937,46530.87
DfE,PfS,05/12/2011,VAT Debtor - Academy Trusts,Free School Capital Costs,NISHKAM SCHOOL TRUST NUMBER 2 ACCOUNT,407937,9306.17
DfE,PfS,05/12/2011,Revenue Grant,Schools Capital and Revenue Grants,REDCAR PRIVATE FINANCE INITIATIVE,407939,555569.60
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,408798,39144.99
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,ROCHESTER DIOCESAN BOARD OF EDUCATION,408804,35043.59
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE EMERGENCY FUND,408806,99994.80
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,ELY DIOCESAN BOARD OF EDUCATION BARCHEST,408810,112339.98
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,CHICHESTER DIOCESAN BOARD OF FINANCE 11,408812,30550.62
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,408814,35284.51
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,DIOCESAN (BARCHESTER) SCHEME,408818,207804.19
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,NORWICH DIOCESAN BOARD OF FINANCE LIMITED,408820,103360.83
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,408822,55224.22
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED,408826,46450.19
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,408830,36653.79
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,408832,58530.46
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,CHURCH HIGH SCHOOL - CHESTER-SCHOOL FUND,408834,93643.71
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,CITY OF YORK COUNCIL NEW EARSWICK PRIMARY SCHOOL,408844,28047.74
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,ST JOSEPHS COLLEGE ACCOUNT,408852,31066.08
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,408856,212167.97
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,408866,94506.66
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,BISHOP STOPFORD SCHOOL ACCOUNT,408870,63095.45
DfE,PfS,08/12/2011,Revenue Grant,Schools Capital and Revenue Grants,ST THOMAS NORE CATHOLIC BIRMINGHAM DIOCESE ACCOUNT,408878,81452.88
DfE,PfS,08/12/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,408904,68158.08
