Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.11.2011 to 30.11.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,03/11/2011,Capital Grant,Schools Capital and Revenue Grants,NORTHAMPTON ROMAN CATHOLIC DIOCESE TRUST,401898,94770,
DfE,PfS,03/11/2011,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,401902,290226.55,
DfE,PfS,03/11/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,401904,234536.68,
DfE,PfS,03/11/2011,Capital Grant,Schools Capital and Revenue Grants,DERBY DIOCESAN COUNCIL OF EDUCATION,401906,27680.29,
DfE,PfS,03/11/2011,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,401908,45490.66,
DfE,PfS,03/11/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,401914,304191.49,
DfE,PfS,03/11/2011,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED,401916,137078.49,
DfE,PfS,03/11/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,401918,291751.96,
DfE,PfS,03/11/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,401922,234665.16,
DfE,PfS,03/11/2011,Capital Grant,Schools Capital and Revenue Grants,POPE PIUS X CHURCH HIGH SCHOOL,401924,66113.17,
DfE,PfS,03/11/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,401926,149805.41,
DfE,PfS,03/11/2011,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE DICESE FOR DURHAM SCHOOLS ACCOUNT,401928,154958.1,
